N	2gram	Medvedev_F	Vvedenie
1	и т	22	45
2	т е	50	40
3	т д	11	39
4	в том	17	38
5	в этом	39	35
6	и в	54	35
7	том что	3	30
8	может быть	30	30
9	не только	14	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	28	21
13	не может	26	19
14	то что	14	19
15	потому что	2	18
16	со стороны	7	16
17	только в	6	16
18	так как	4	15
19	языка и	13	15
20	в общем	8	14
21	и не	34	13
22	что в	10	13
23	в самом	17	13
24	в нем	25	13
25	в их	16	12
26	того что	7	12
27	что такое	2	12
28	точки зрения	21	12
29	в его	30	12
30	как на	5	12
31	этом смысле	3	11
32	в данном	2	11
33	то же	16	11
34	по себе	10	11
35	в ее	10	11
36	как мы	10	11
37	ясно что	3	11
38	вопрос о	3	10
39	не в	16	10
40	прежде всего	34	10
41	но в	9	10
42	в той	3	10
43	между тем	4	10
44	из этих	4	9
45	тем не	2	9
46	и как	6	9
47	все же	8	9
48	смысле этого	4	9
49	но не	5	9
50	не менее	12	9
51	науки о	4	9
52	в истории	10	9
53	это не	4	8
54	с другой	8	8
55	а только	4	8
56	именно в	12	8
57	широком смысле	3	8
58	в качестве	2	8
59	в широком	5	7
60	самом деле	12	7
61	сих пор	7	7
62	как и	18	7
63	как бы	10	7
64	этот вопрос	2	7
65	но и	18	7
66	только как	3	7
67	было бы	10	7
68	в применении	4	7
69	до сих	7	7
70	сказать что	3	6
71	его в	5	6
72	не могут	8	6
73	том чтобы	3	6
74	хотя бы	10	6
75	и даже	7	6
76	применении к	4	6
77	о языке	4	6
78	к истории	2	6
79	тем что	6	6
80	как он	2	6
81	а именно	3	6
82	в какой	3	6
83	так например	3	6
84	с тем	11	6
85	каждой из	3	6
86	и это	4	6
87	а в	11	6
88	уже не	9	6
89	могут быть	7	6
90	в то	14	6
91	один из	4	6
92	и что	2	6
93	и его	27	6
94	все это	11	6
95	же время	13	6
96	вовсе не	18	6
97	вместе с	8	6
98	данном случае	2	5
99	независимо от	5	5
100	с их	2	5
101	в виду	2	5
102	и тем	3	5
103	а как	5	5
104	с этой	4	5
105	что он	8	5
106	так что	2	5
107	т п	11	5
108	что не	4	5
109	от этого	3	5
110	как это	8	5
111	на почве	20	5
112	в различных	2	5
113	не есть	4	5
114	она есть	2	5
115	язык как	8	5
116	другой стороны	5	5
117	в них	4	5
118	в целом	7	5
119	всяком случае	6	5
120	что и	10	5
121	языка в	8	5
122	говорить о	4	5
123	а не	11	5
124	в первом	8	5
125	хотя и	3	5
126	приходим к	2	5
