N	2gram	Losev_Vesc	KFilosof
1	может быть	37	45
2	в его	5	42
3	в нем	6	32
4	не может	44	29
5	и не	57	28
6	и в	44	28
7	в бытии	2	26
8	в котором	4	24
9	для меня	3	22
10	не есть	79	22
11	в себе	23	21
12	и его	4	18
13	только в	23	18
14	в своем	9	17
15	в ее	8	17
16	а не	34	17
17	в этом	17	15
18	не в	14	13
19	для него	8	13
20	точки зрения	10	13
21	но не	9	12
22	и это	17	12
23	к нему	3	12
24	ни в	11	12
25	в своей	6	11
26	во всех	5	11
27	из себя	6	11
28	все эти	5	11
29	это не	9	10
30	в целом	3	10
31	и для	13	10
32	все это	7	10
33	с точки	6	10
34	бытия и	6	10
35	и есть	40	10
36	в их	4	9
37	для нее	2	9
38	но и	19	9
39	как бы	19	9
40	и все	6	9
41	себя в	11	8
42	если бы	8	8
43	не было	4	8
44	со стороны	9	8
45	быть только	6	8
46	жизни и	6	8
47	было бы	24	8
48	в себя	13	8
49	но лишь	2	7
50	для себя	6	7
51	и здесь	5	7
52	должен быть	5	7
53	я должен	4	7
54	совершенно не	11	7
55	то что	47	7
56	уже не	15	7
57	отнюдь не	8	7
58	конечно не	2	7
59	и только	11	7
60	что и	11	7
61	во всем	2	7
62	момент в	6	7
63	вовсе не	11	7
64	ее и	2	6
65	должно быть	8	6
66	отношение к	4	6
67	но эта	2	6
68	в том	15	6
69	смысл и	12	6
70	но все	3	6
71	не имеет	2	6
72	в смысле	22	6
73	и их	11	6
74	я не	7	6
75	но это	14	6
76	он не	4	6
77	не значит	11	6
78	никогда не	5	5
79	принципиально не	3	5
80	от его	2	5
81	его в	8	5
82	все же	18	5
83	я могу	3	5
84	не только	48	5
85	бытия в	2	5
86	мы имеем	8	5
87	но как	3	5
88	его как	2	5
89	хотя бы	9	5
90	то же	12	5
91	жизни в	3	5
92	но ведь	2	5
93	еще не	12	5
94	а в	6	5
95	но в	8	5
96	есть лишь	2	5
97	как и	15	5
98	именно в	2	5
99	что я	26	5
100	в одном	6	5
101	себя и	8	5
102	со всем	5	5
103	я и	8	5
104	с ним	8	5
105	в основе	4	5
106	в каком	6	4
107	что это	18	4
108	тем самым	2	4
109	но можно	3	4
110	том что	13	4
111	нисколько не	7	4
112	что в	11	4
113	могла бы	3	4
114	не как	2	4
115	ни было	12	4
116	чем не	2	4
117	прежде всего	17	4
118	в чем	10	4
119	бытие не	2	4
120	в своих	3	4
121	для нас	2	4
122	меня не	2	4
123	с ними	4	4
124	только как	2	4
125	должна быть	8	4
126	ничего не	12	3
127	и должна	2	3
128	в то	11	3
129	здесь не	2	3
130	сознания и	2	3
131	человека и	3	3
132	когда я	5	3
133	в другом	3	3
134	не я	2	3
135	от того	7	3
136	есть момент	2	3
137	это и	12	3
138	тем что	7	3
139	и тем	7	3
140	для того	3	3
141	я имею	3	3
142	самом деле	7	3
143	в виду	2	3
144	бытие и	6	3
145	себе и	2	3
146	к чему	2	3
147	лишь как	2	3
148	и пр	10	3
149	нет и	4	3
150	и этот	2	3
151	смысл в	2	3
152	не менее	11	3
153	и ни	3	3
154	независимо от	5	3
155	только с	3	3
156	о том	11	3
157	себя не	2	3
158	в ней	14	3
159	в свою	5	3
160	но для	2	3
161	этом смысле	2	3
162	тогда когда	5	3
163	и та	2	3
164	и совершенно	2	3
165	и на	2	3
166	что не	11	3
167	ближе к	2	3
168	того что	16	3
169	мы не	8	3
170	той или	3	3
171	и может	3	3
172	и делает	2	3
173	не быть	4	3
174	один и	2	3
175	из его	2	3
176	на язык	3	3
177	тот же	4	3
178	бы и	9	3
179	а следовательно	4	3
180	быть и	5	3
181	ясно что	10	3
182	не о	2	2
183	и то	14	2
184	чтобы не	2	2
185	для этого	5	2
186	смысла и	8	2
187	ее как	4	2
188	и мы	5	2
189	значило бы	5	2
190	и потому	8	2
191	в данном	6	2
192	ли это	9	2
193	я уже	2	2
194	как действительно	2	2
195	его на	4	2
196	можно и	3	2
197	как оно	4	2
198	говорить о	9	2
199	и ее	19	2
200	и эта	4	2
201	дело в	6	2
202	не потому	7	2
203	то ни	13	2
204	к этому	2	2
205	действительности в	3	2
206	дело не	4	2
207	вопрос о	6	2
208	это было	2	2
209	в это	2	2
210	с ее	10	2
211	к себе	4	2
212	а это	5	2
213	знает и	2	2
214	тем не	11	2
215	как к	5	2
216	абстрактный момент	2	2
217	и как	12	2
218	если я	6	2
219	факта и	2	2
220	оба эти	3	2
221	себе как	2	2
222	в виде	3	2
223	то или	5	2
224	себя или	2	2
225	это только	2	2
226	а с	3	2
227	ибо это	2	2
228	что он	7	2
229	из которых	3	2
230	должен сказать	2	2
231	или как	3	2
232	так и	4	2
233	ни к	3	2
234	было и	2	2
235	отношении к	4	2
236	жизнь и	2	2
237	его и	4	2
238	что есть	8	2
239	это значило	4	2
240	что только	4	2
241	в жизни	5	2
242	с тем	8	2
243	это уже	2	2
244	как в	3	2
245	от этого	3	2
246	только это	4	2
247	где она	2	2
248	тому что	2	2
249	можно ли	7	2
250	она не	9	2
251	которую я	2	2
252	и она	3	2
253	гораздо более	2	2
254	не из	2	2
255	еще более	4	2
256	и само	3	2
257	другое дело	2	2
258	оно не	6	2
259	не нужно	3	2
260	есть именно	7	2
261	мы говорим	6	2
262	если не	3	2
263	но я	2	2
264	чего не	2	2
265	он и	2	2
