N	3gram	Vygotskiy_	Russkaja
1	друг с другом	6	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	34	9
5	в том что	30	7
6	для того чтобы	19	6
7	во всяком случае	5	6
8	на самом деле	3	6
9	до сих пор	4	5
10	на то что	9	4
11	к тому чтобы	2	4
12	не может быть	8	4
13	вместе с тем	5	3
14	в данном случае	5	3
15	той или иной	2	3
16	можно было бы	6	3
17	к тому что	3	2
18	что он не	2	2
19	точно так же	2	2
20	и тем самым	4	2
21	по самому своему	2	2
22	о том что	10	2
23	сама по себе	3	2
24	друг от друга	4	2
