N	3gram	Vinokur_Ku	Analitik
1	в том что	23	25
2	не может быть	5	19
3	по отношению к	8	18
4	в то же	4	16
5	о том что	6	15
6	то же время	4	14
7	в отличие от	3	14
8	в конечном счете	2	11
9	с одной стороны	2	9
10	с другой стороны	12	9
11	по крайней мере	11	9
12	того или иного	5	9
13	в свою очередь	4	9
14	в том чтобы	9	9
15	в этом отношении	8	8
16	не только в	4	8
17	с точки зрения	16	8
18	состоит в том	4	8
19	во всяком случае	8	7
20	что иное как	2	7
21	в свое время	4	7
22	тем не менее	9	6
23	одного и того	2	6
24	не что иное	2	6
25	так или иначе	3	6
26	и того же	2	6
27	в этом случае	4	5
28	в самом деле	14	4
29	и не в	2	4
30	большей или меньшей	2	4
31	том что он	4	4
32	для того чтобы	21	4
33	не в том	5	4
34	в соответствии с	5	4
35	лишь в том	2	4
36	в этом смысле	8	4
37	и т п	39	3
38	в противном случае	2	3
39	речь идет о	3	3
40	хотя бы и	4	3
41	дело не в	3	3
42	в связи с	4	3
43	можно сказать что	2	3
44	сами по себе	2	3
45	и в самом	4	3
46	а в том	2	3
47	в зависимости от	7	3
48	в таких случаях	3	2
49	тех случаях когда	2	2
50	на этот вопрос	3	2
51	что же касается	4	2
52	в тех случаях	2	2
53	более или менее	3	2
54	в особенности же	2	2
55	а с другой	3	2
56	состоит не в	2	2
57	того что в	2	2
58	в той мере	6	2
59	той мере в	6	2
60	можно было бы	11	2
61	к тому что	2	2
62	в том и	3	2
63	мере в какой	6	2
64	в данный момент	2	2
65	заключается в том	2	2
66	и тогда когда	3	2
67	этой точки зрения	4	2
68	с этой точки	3	2
69	до сих пор	5	2
70	смысле этого слова	2	2
71	не говоря уже	2	2
72	на то что	3	2
73	в широком смысле	2	2
