N	2gram	Propp_Morf	Analitik
1	не только	8	71
2	тогда как	2	67
3	и в	17	66
4	в качестве	8	61
5	но и	9	57
6	в том	10	52
7	может быть	61	52
8	в частности	2	51
9	в этом	18	51
10	как и	4	50
11	и не	16	48
12	а не	11	42
13	том что	7	40
14	так и	10	35
15	состоит в	3	30
16	представляет собой	17	30
17	не может	19	29
18	как бы	6	29
19	а в	8	28
20	и его	3	27
21	не в	3	26
22	но не	8	26
23	к тому	5	22
24	и даже	2	22
25	в этой	3	22
26	что в	10	22
27	о том	6	20
28	по отношению	7	19
29	но в	4	19
30	то же	10	19
31	с его	3	19
32	в то	4	18
33	в данном	2	18
34	отношению к	7	18
35	с другой	9	17
36	со стороны	5	17
37	в целом	5	17
38	только в	3	17
39	могут быть	21	16
40	то что	10	16
41	в пределах	3	16
42	что и	10	16
43	прежде всего	14	15
44	в сущности	3	15
45	уже не	4	15
46	между тем	5	15
47	данном случае	2	14
48	не менее	7	14
49	мы имеем	19	14
50	себя в	2	14
51	далеко не	5	14
52	ничего не	5	13
53	точки зрения	7	13
54	в начале	3	13
55	для него	2	13
56	а также	7	13
57	он не	5	13
58	и к	4	12
59	как это	7	12
60	еще не	4	12
61	как в	5	12
62	это не	6	11
63	во второй	2	11
64	и как	6	11
65	не с	2	11
66	можно сказать	2	11
67	все же	9	10
68	однако в	2	10
69	один из	7	10
70	было бы	5	10
71	подобно тому	6	10
72	с одной	2	10
73	здесь не	3	10
74	того что	3	9
75	как уже	3	9
76	одной стороны	2	9
77	другой стороны	5	9
78	во всех	6	9
79	в результате	8	9
80	тому как	5	9
81	говорить о	4	9
82	таким образом	26	9
83	перед нами	14	8
84	роль в	2	8
85	в ходе	5	8
86	не всегда	10	8
87	что он	5	8
88	одной из	2	8
89	этом отношении	2	8
90	хотя и	5	8
91	в основе	2	8
92	о его	4	8
93	дело не	2	8
94	если бы	3	8
95	не является	4	8
96	с точки	6	8
97	иное как	2	7
98	в другом	2	7
99	и тем	3	7
100	в свое	2	7
101	на его	5	7
102	все это	2	7
103	который в	2	7
104	во всяком	2	7
105	одна из	5	7
106	себя и	2	7
107	несмотря на	4	7
108	как будто	2	7
109	героя и	3	7
110	что иное	2	7
111	и для	4	7
112	у него	2	7
113	приводит к	3	7
114	в одном	2	7
115	всяком случае	2	7
116	как мы	8	7
117	в нашем	6	7
118	его в	4	6
119	если в	7	6
120	вопроса о	3	6
121	не что	2	6
122	не знает	2	6
123	ответ на	2	6
124	или в	6	6
125	хотя бы	5	6
126	могла бы	4	6
127	то в	3	6
128	из этих	2	6
129	превращается в	2	6
130	же в	3	6
131	тем не	7	6
132	и более	2	6
133	на этом	4	6
134	из которых	5	6
135	из них	4	6
136	вовсе не	6	6
137	не могут	7	5
138	входит в	4	5
139	а и	3	5
140	но как	3	5
141	со смертью	2	5
142	самом деле	4	5
143	в один	3	5
144	на вопрос	2	5
145	а с	2	5
146	не так	2	5
147	во втором	7	5
148	а а	2	5
149	а затем	10	5
150	и по	3	5
151	все эти	5	5
152	мы не	8	5
153	в первом	5	5
154	этом случае	10	5
155	и здесь	7	5
156	к этому	4	5
157	с другими	2	5
158	связывается с	3	5
159	для того	3	5
160	и их	3	5
161	в этих	17	5
162	тем что	4	5
163	ни в	3	5
164	путь к	2	5
165	в итоге	2	5
166	что мы	2	5
167	в поле	5	5
168	и ее	5	4
169	вслед за	5	4
170	одним из	2	4
171	его и	2	4
172	к нему	3	4
173	и что	3	4
174	потому что	7	4
175	в чем	2	4
176	что же	2	4
177	того чтобы	4	4
178	и тогда	3	4
179	то ни	3	4
180	и т	62	4
181	сказать что	4	4
182	по своему	2	4
183	герой не	2	4
184	с этим	14	4
185	но это	6	4
186	не все	6	4
187	что она	2	4
188	бы в	2	4
189	в которой	3	4
190	представляют собой	16	4
191	об этом	5	4
192	на него	4	4
193	лишь на	2	4
194	ни было	2	4
195	ее в	3	4
196	мы уже	4	4
197	в своих	2	4
198	могли бы	2	4
199	можно отметить	2	4
200	это и	3	4
201	и есть	3	4
