N	2gram	Vygotskiy_	Hudozhes
1	в качестве	25	31
2	в мире	2	24
3	и в	38	23
4	не только	16	20
5	состоит в	4	20
6	в том	59	20
7	может быть	25	19
8	при этом	13	19
9	в частности	4	18
10	и не	16	16
11	внутренней речи	19	14
12	но и	9	14
13	а в	7	13
14	в себе	9	13
15	но не	7	13
16	а не	7	13
17	то же	18	12
18	такого рода	7	12
19	в этом	35	12
20	и его	5	12
21	так и	11	12
22	как бы	17	11
23	точки зрения	27	11
24	представляет собой	6	11
25	в его	22	11
26	но в	4	10
27	по отношению	4	10
28	отношению к	3	10
29	не в	10	9
30	или иной	3	9
31	том что	44	9
32	не может	11	9
33	с другой	11	9
34	в то	5	8
35	в области	9	8
36	в самом	8	7
37	и т.п	3	7
38	по своей	12	7
39	в своей	9	7
40	только в	16	7
41	как это	16	7
42	что в	31	7
43	отличие от	8	7
44	в отличие	8	7
45	в основе	32	7
46	не столько	4	7
47	более или	3	6
48	мы имеем	6	6
49	уже не	3	6
50	другой стороны	5	6
51	приводит к	5	6
52	а также	6	6
53	в нем	4	6
54	с ее	5	6
55	можно сказать	2	6
56	с его	3	6
57	или менее	5	6
58	тем самым	6	5
59	ни в	12	5
60	с другими	3	5
61	той или	2	5
62	или иначе	2	5
63	могут быть	9	5
64	в конечном	2	5
65	между ними	6	5
66	и одновременно	3	5
67	место в	3	5
68	иначе говоря	2	5
69	для того	14	5
70	того чтобы	15	5
71	в виду	4	5
72	в их	12	5
73	не является	13	5
74	что он	13	5
75	не на	2	5
76	то что	27	5
77	не менее	8	5
78	прежде всего	6	5
79	того что	17	5
80	для него	6	5
81	в слове	3	4
82	и то	9	4
83	сказать что	10	4
84	в отношении	14	4
85	его в	8	4
86	или иного	2	4
87	далеко не	2	4
88	это не	5	4
89	для себя	2	4
90	того или	2	4
91	к тому	8	4
92	речи и	11	4
93	между тем	10	4
94	входит в	7	4
95	и т.д	8	4
96	в форме	2	4
97	в другом	3	4
98	однако в	2	4
99	в силу	9	4
100	и как	11	4
101	еще не	6	4
102	к которому	6	4
103	и тем	8	4
104	и что	15	4
105	в этих	4	4
106	он не	6	4
107	по пути	5	4
108	например в	2	4
109	в себя	3	4
110	в своем	9	4
111	хотя и	2	4
112	даже в	5	3
113	направленной на	2	3
114	в жизни	3	3
115	и для	4	3
116	по своему	14	3
117	одно и	7	3
118	как уже	8	3
119	в роли	4	3
120	как и	20	3
121	того же	12	3
122	их в	6	3
123	говоря о	2	3
124	потому что	14	3
125	одной стороны	8	3
126	слова в	8	3
127	том числе	3	3
128	в целом	22	3
129	говорит и	2	3
130	в свою	4	3
131	и к	9	3
132	во всех	3	3
133	одного и	5	3
134	тем не	6	3
135	из этих	5	3
136	связи с	14	3
137	и на	9	3
138	мог бы	5	3
139	тому как	2	3
140	на деле	6	3
141	если бы	12	3
142	в той	2	3
143	не будет	2	3
144	другого в	2	3
145	с точки	11	3
146	и того	5	3
147	или даже	2	3
148	как говорит	7	3
149	с этой	6	3
150	в связи	9	3
151	к области	2	3
152	таким образом	36	3
153	в таком	4	3
154	и сам	4	3
155	в которой	4	3
156	во всей	3	3
157	как правило	2	3
158	этом смысле	7	3
159	в одном	4	3
160	с одной	8	3
161	имеет место	4	3
162	никогда не	11	2
163	о том	6	2
164	в каком	3	2
165	вытекает из	2	2
166	одна из	2	2
167	как в	14	2
168	наших глазах	2	2
169	начиная с	2	2
170	не могли	3	2
171	одно из	2	2
172	видим в	2	2
173	и это	7	2
174	ее в	2	2
175	тому что	3	2
176	и потому	2	2
177	от всех	2	2
178	то в	3	2
179	при всем	2	2
180	идет о	2	2
181	еще и	2	2
182	слова не	3	2
183	столь же	7	2
184	знаков в	2	2
185	в чем	2	2
186	или в	4	2
187	вступает в	3	2
188	именно в	6	2
189	но как	4	2
190	все эти	9	2
191	тем более	2	2
192	человека и	6	2
193	вслед за	4	2
194	оно не	3	2
195	что она	7	2
196	с их	3	2
197	включает в	2	2
198	совпадает с	7	2
199	этой точки	4	2
200	только и	2	2
201	не как	3	2
202	значения и	6	2
203	в глаза	2	2
204	могут служить	2	2
205	так же	26	2
206	внешней речи	6	2
207	отличается от	5	2
208	об этом	2	2
209	может служить	2	2
210	свою очередь	3	2
211	из которых	6	2
212	но на	3	2
213	и по	5	2
214	встречаются в	3	2
215	между собой	15	2
216	всякий раз	2	2
217	в известном	6	2
218	отнюдь не	6	2
219	один из	8	2
220	на котором	3	2
221	в них	3	2
222	по себе	11	2
223	которая не	5	2
224	мышления и	39	2
225	речь идет	4	2
226	роль в	5	2
227	к жизни	2	2
228	на этом	3	2
229	слова и	8	2
230	все это	8	2
231	к другому	2	2
232	с ними	3	2
233	между двумя	3	2
234	которого он	2	2
235	числе и	3	2
236	что и	14	2
237	для возникновения	4	2
238	имеет дело	2	2
239	ни было	2	2
240	и особенно	4	2
241	одним из	6	2
242	не просто	3	2
243	и может	4	2
244	в случае	3	2
245	что каждый	2	2
246	а затем	4	2
247	самом деле	4	2
248	задолго до	2	2
249	и более	4	2
250	этого слова	13	2
251	в нашем	2	2
252	в этой	7	2
253	но только	3	2
254	а с	4	2
255	с ним	4	2
256	который в	4	2
257	для обозначения	4	2
258	в какой	5	2
259	вовсе не	5	2
260	заключается в	22	2
261	имеем дело	2	2
262	если мы	12	2
263	на основе	29	2
264	у него	3	2
265	известном смысле	2	2
266	здесь не	2	2
