N	2gram	Bakhtin_Pr	TeoriaLi
1	в мире	8	26
2	не только	14	24
3	и в	83	24
4	то есть	86	22
5	может быть	23	22
6	в том	22	20
7	при этом	6	20
8	и не	41	17
9	а в	4	15
10	но и	16	14
11	так и	9	14
12	а не	19	14
13	в себе	10	14
14	но не	9	13
15	в этом	24	12
16	то же	10	12
17	но в	12	12
18	в его	15	12
19	том что	9	11
20	точки зрения	17	11
21	своего рода	7	11
22	и его	13	11
23	по отношению	6	10
24	отношению к	5	10
25	как это	2	10
26	что в	5	10
27	не в	10	9
28	с другой	4	9
29	в то	8	9
30	только в	10	9
31	не может	18	8
32	по своей	12	8
33	как бы	27	8
34	в своей	5	8
35	же время	8	8
36	или иной	2	7
37	в своем	2	7
38	а также	4	7
39	мы имеем	4	7
40	отношение к	14	7
41	в области	6	7
42	в самом	7	7
43	место в	3	7
44	и т.п	42	7
45	в нем	21	7
46	тем самым	2	6
47	другой стороны	3	6
48	в первой	2	6
49	не менее	4	6
50	героя и	3	6
51	еще не	10	6
52	то что	14	6
53	или менее	3	6
54	как и	13	6
55	более или	3	6
56	с другими	6	6
57	уже не	5	6
58	между ними	14	6
59	в ее	3	6
60	в основе	6	6
61	с его	4	6
62	как в	10	5
63	и одновременно	6	5
64	ни в	4	5
65	в виду	3	5
66	и тем	4	5
67	и о	3	5
68	в пределах	8	5
69	между тем	2	5
70	могут быть	5	5
71	жизни как	4	5
72	он не	5	5
73	в себя	8	5
74	можно сказать	12	5
75	никогда не	10	4
76	сказать что	12	4
77	в отношении	3	4
78	его в	4	4
79	это не	10	4
80	и ее	8	4
81	в форме	6	4
82	этого слова	3	4
83	и т.д	5	4
84	в их	7	4
85	в этих	8	4
86	что он	6	4
87	по своему	6	4
88	в литературе	8	4
89	далеко не	4	4
90	к тому	2	4
91	речи и	3	4
92	а только	2	4
93	того же	5	4
94	слова в	3	4
95	мира и	3	4
96	в целом	3	4
97	личности и	2	4
98	со своей	2	4
99	отношении к	2	4
100	и что	3	4
101	говорить о	2	4
102	с ее	3	4
103	не знает	8	4
104	в слове	2	4
105	хотя и	10	4
106	но он	3	4
107	даже в	3	3
108	и то	2	3
109	перед нами	17	3
110	и притом	2	3
111	в соответствии	3	3
112	и потому	6	3
113	во всех	15	3
114	авторской позиции	3	3
115	из этих	3	3
116	о чем	2	3
117	в которой	2	3
118	и для	5	3
119	человека с	3	3
120	тем не	2	3
121	или в	7	3
122	в таком	3	3
123	одним из	6	3
124	к области	2	3
125	в романе	9	3
126	и др	18	3
127	есть в	7	3
128	в жизни	14	3
129	в произведении	3	3
130	в роли	2	3
131	или иных	2	3
132	их в	3	3
133	именно в	3	3
134	потому что	9	3
135	том числе	15	3
136	имеем в	3	3
137	прежде всего	20	3
138	к его	2	3
139	человеческой жизни	3	3
140	к действительности	3	3
141	и к	13	3
142	этом смысле	5	3
143	с точки	13	3
144	своей природе	4	3
145	а на	2	3
146	все эти	9	3
147	той или	2	3
148	и по	5	3
149	человека к	3	3
150	в связи	2	3
151	таким образом	9	3
152	нового времени	8	3
153	во всей	5	3
154	например в	8	3
155	тех или	2	3
156	в этой	3	3
157	в одном	4	3
158	как раз	6	3
159	вовсе не	12	3
160	между двумя	4	3
161	может служить	2	2
162	еще и	4	2
163	но она	3	2
164	к одному	2	2
165	не могли	2	2
166	на время	2	2
167	не могут	4	2
168	для всех	2	2
169	слова не	2	2
170	жанровой традиции	8	2
171	так же	4	2
172	если в	2	2
173	жизни на	2	2
174	но как	2	2
175	тем более	2	2
176	не всегда	3	2
177	человека и	10	2
178	дело в	3	2
179	при всей	3	2
180	что она	2	2
181	с их	3	2
182	за пределы	7	2
183	это было	3	2
184	отличается от	2	2
185	об этом	3	2
186	но на	2	2
187	и даже	5	2
188	в конце	5	2
189	и здесь	4	2
190	сама по	2	2
191	собою в	2	2
192	и прежде	6	2
193	но во	2	2
194	я и	2	2
195	превращается в	5	2
196	времени и	4	2
197	казалось бы	4	2
198	такова например	2	2
199	жизни в	4	2
200	у нас	2	2
201	к своему	4	2
202	только на	3	2
203	и другие	14	2
204	мире и	2	2
205	в формах	2	2
206	своей жизни	3	2
207	у него	5	2
208	в рассказе	2	2
209	ведет к	3	2
210	вместе с	5	2
211	при всем	3	2
212	здесь мы	3	2
213	с человеком	3	2
214	в структуре	4	2
215	самим собою	6	2
216	одной из	6	2
217	рассказ о	2	2
218	для понимания	3	2
219	к нему	3	2
220	всей своей	2	2
221	числе и	13	2
222	а для	2	2
223	и это	3	2
224	ее в	4	2
225	в повести	3	2
226	от всех	2	2
227	о том	3	2
228	в произведениях	2	2
229	зрения и	2	2
230	в самой	2	2
231	строго говоря	2	2
232	могли бы	2	2
233	жизнь на	2	2
234	о себе	2	2
235	если мы	5	2
236	образом и	3	2
237	и на	27	2
238	на себя	3	2
239	соответствии с	2	2
240	на этом	4	2
241	в году	2	2
242	из которых	2	2
243	в европейской	2	2
244	он и	2	2
245	один из	7	2
246	в них	4	2
247	по себе	3	2
248	несмотря на	3	2
249	здесь не	5	2
250	жизни а	2	2
251	в той	2	2
252	это своего	2	2
253	к жизни	2	2
254	мы в	2	2
255	что и	4	2
256	а затем	5	2
257	с ними	2	2
258	высказывания и	2	2
259	себя и	3	2
260	могут оказаться	2	2
261	и особенно	3	2
262	и некоторые	2	2
263	все это	11	2
264	что они	2	2
265	как будто	3	2
266	в большинстве	9	2
267	жить и	4	2
268	человеческих отношений	2	2
269	этих двух	5	2
270	я не	6	2
271	xix века	2	2
272	на основе	4	2
273	быть и	2	2
