N	2gram	Savitsky_E	Narrotol
1	не только	18	62
2	и не	14	50
3	но и	14	45
4	а не	2	38
5	в качестве	14	35
6	в частности	5	31
7	может быть	6	30
8	и в	37	30
9	в том	11	29
10	том что	6	28
11	в этом	12	28
12	а в	2	27
13	представляет собой	3	25
14	только в	9	25
15	в данном	3	24
16	как и	7	24
17	не в	5	23
18	то что	6	23
19	то есть	6	22
20	не может	9	20
21	данном случае	2	17
22	в себе	9	17
23	так и	10	17
24	а также	7	17
25	со стороны	5	16
26	в его	2	16
27	но в	14	15
28	можно сказать	4	15
29	иначе говоря	2	15
30	к тому	8	15
31	в своем	14	13
32	в своей	8	13
33	то же	15	13
34	о том	3	13
35	прежде всего	9	12
36	как в	3	12
37	как бы	6	12
38	тем самым	5	11
39	и тем	3	11
40	в этой	2	11
41	если бы	2	11
42	жизни в	3	11
43	в мире	2	11
44	хотя и	2	11
45	никогда не	3	10
46	всего лишь	3	10
47	в то	16	10
48	как это	4	10
49	точки зрения	23	10
50	того что	7	10
51	не является	3	10
52	и все	2	10
53	но не	5	10
54	жизни и	2	10
55	между тем	8	10
56	что в	21	9
57	отнюдь не	9	9
58	той или	4	9
59	далеко не	2	9
60	столь же	5	9
61	потому что	3	9
62	или иной	4	8
63	того чтобы	6	8
64	большей части	2	8
65	мира в	4	8
66	этом отношении	3	8
67	и для	3	8
68	в самом	4	8
69	и к	3	8
70	в той	5	8
71	же время	14	8
72	в таком	3	8
73	он не	2	8
74	в свою	3	7
75	вслед за	6	7
76	в ней	4	7
77	на себя	3	7
78	в ее	8	7
79	имеет место	2	7
80	же в	2	7
81	в силу	2	7
82	также и	7	7
83	с другой	7	7
84	в котором	2	7
85	и на	6	7
86	или в	2	7
87	одной стороны	8	6
88	во втором	2	6
89	в известном	3	6
90	что и	3	6
91	сказать что	4	6
92	известном смысле	3	6
93	то в	4	6
94	в результате	3	6
95	с одной	8	6
96	на то	6	6
97	в случае	2	6
98	таким образом	2	6
99	а именно	2	5
100	к нему	2	5
101	место в	3	5
102	точка зрения	2	5
103	мира и	3	5
104	между собой	2	5
105	было бы	8	5
106	мы не	4	5
107	свою очередь	2	5
108	и то	2	5
109	и от	3	5
110	что это	2	5
111	тем более	4	5
112	бы и	3	5
113	и даже	6	5
114	для того	6	5
115	в пределах	25	5
116	в какой	2	5
117	именно в	4	5
118	в своих	2	5
119	из них	3	5
120	в одном	2	5
121	и того	2	5
122	он сам	2	5
123	как будто	2	5
124	даже в	4	4
125	начиная с	2	4
126	но именно	2	4
127	в области	11	4
128	по своему	7	4
129	в них	3	4
130	она не	2	4
131	что на	2	4
132	не будет	3	4
133	войны и	2	4
134	и по	5	4
135	не на	4	4
136	как мы	5	4
137	хотя бы	15	4
138	исключительно в	2	4
139	к ней	4	4
140	и как	2	4
141	не имеет	4	4
142	и притом	4	4
143	в сфере	3	4
144	и с	2	4
145	для нас	4	4
146	по себе	4	4
147	мог бы	2	4
148	несмотря на	4	4
149	всяком случае	3	4
150	по своей	2	4
151	во всяком	3	4
152	не к	2	4
153	вместе с	2	4
154	и потому	5	3
155	идет о	3	3
156	так же	9	3
157	но как	2	3
158	и другая	2	3
159	с этой	6	3
160	в виде	5	3
161	связано с	3	3
162	одной из	5	3
163	к ним	3	3
164	участие в	2	3
165	между ними	2	3
166	же как	5	3
167	заключает в	3	3
168	или иного	4	3
169	в направлении	4	3
170	того или	4	3
171	существования в	3	3
172	можно было	3	3
173	дело в	3	3
174	только к	2	3
175	во второй	3	3
176	в культуре	3	3
177	в этих	2	3
178	на этот	2	3
179	с точки	17	3
180	говорит о	3	3
181	и что	2	3
182	но еще	2	3
183	она в	3	3
184	и только	3	3
185	как на	3	3
186	наряду с	2	3
187	в каком	4	2
188	мира не	2	2
189	очевидно что	3	2
190	в которых	3	2
191	в будущем	3	2
192	как было	3	2
193	в их	11	2
194	на основании	2	2
195	в общем	3	2
196	могут быть	2	2
197	в процессе	4	2
198	тому или	2	2
199	можно ли	3	2
200	что же	2	2
201	для них	2	2
202	именно к	2	2
203	и во	2	2
204	обстоит дело	3	2
205	вовсе не	6	2
206	если в	2	2
207	и мы	3	2
208	меньшей степени	2	2
209	в россии	5	2
210	какой бы	2	2
211	время в	3	2
212	другой стороны	2	2
213	своему характеру	2	2
214	и еще	2	2
215	бы в	2	2
216	в данной	3	2
217	также в	2	2
218	мы можем	3	2
219	целый ряд	2	2
220	но также	2	2
221	в некотором	4	2
222	по своим	3	2
223	тем что	3	2
224	не есть	2	2
225	или точнее	2	2
226	и наконец	2	2
227	себе не	3	2
228	частности в	2	2
229	в течение	5	2
230	и наиболее	2	2
231	во всех	6	2
232	должна быть	2	2
233	и более	2	2
234	есть в	2	2
235	в последние	6	2
236	когда он	3	2
237	того же	3	2
238	во многом	2	2
239	еще более	2	2
240	более чем	2	2
241	в других	2	2
242	или иному	2	2
243	но с	2	2
244	не можем	2	2
