N	3gram	Tiupa_Vved	Vladivir
1	в том что	10	29
2	о том что	6	22
3	тем не менее	3	18
4	что же касается	2	14
5	во всяком случае	3	12
6	более или менее	2	11
7	к тому же	6	11
8	в то же	5	10
9	не может быть	6	10
10	то же время	4	9
11	на этот раз	2	9
12	а также и	2	8
13	на то что	2	8
14	в данном случае	15	6
15	в отличие от	11	6
16	как мы видели	3	6
17	с другой стороны	2	6
18	не только в	3	5
19	в этом отношении	7	4
20	можно было бы	2	4
21	с одной стороны	9	4
22	в том чтобы	2	4
23	в самом деле	2	3
24	у нас нет	2	3
25	так и не	4	3
26	а с другой	3	3
27	не в том	3	3
28	хотя и не	2	3
29	в свою очередь	5	3
30	а в том	3	3
31	одной стороны и	3	2
32	и все же	6	2
33	но в данном	2	2
