N	2gram	Vinokur_Ku	Otkroven
1	у него	3	22
2	у достоевского	2	19
3	и в	44	19
4	но и	13	13
5	и не	23	13
6	в этом	31	12
7	не только	29	11
8	не в	18	11
9	а не	17	11
10	может быть	25	11
11	и все	4	10
12	в нем	7	10
13	вопрос о	11	10
14	никогда не	2	9
15	в самой	6	9
16	потому что	40	9
17	не было	6	9
18	прежде всего	14	9
19	и он	4	8
20	лишь в	6	7
21	в его	16	7
22	до конца	3	7
23	он не	4	7
24	но он	2	7
25	как и	3	6
26	все это	10	6
27	для него	2	5
28	а в	7	5
29	в том	47	5
30	достоевского и	2	5
31	в самом	20	5
32	то что	14	5
33	в этой	8	5
34	отношение к	2	5
35	и его	8	4
36	что в	25	4
37	только и	3	4
38	есть лишь	3	4
39	того чтобы	25	4
40	и мысли	2	4
41	все эти	17	4
42	т е	54	4
43	не может	13	4
44	что не	10	4
45	с его	4	4
46	в себе	4	3
47	и от	2	3
48	о том	10	3
49	это не	13	3
50	не могут	5	3
51	что он	7	3
52	и вот	4	3
53	было бы	28	3
54	различие между	2	3
55	для того	23	3
56	еще не	10	3
57	и есть	3	3
58	в этих	5	3
59	в своих	2	3
60	когда он	4	3
61	как бы	11	3
62	хотя бы	19	3
63	могут быть	5	3
64	это было	2	3
65	с ним	5	3
66	того что	11	3
67	как к	2	2
68	одно из	3	2
69	и то	7	2
70	сказать что	5	2
71	можно ли	6	2
72	и на	8	2
73	с тем	5	2
74	уже в	5	2
75	что же	11	2
76	и для	3	2
77	и там	2	2
78	что все	6	2
79	не имеет	6	2
80	ничего не	6	2
81	и с	11	2
82	любовь к	2	2
83	что и	5	2
84	ее в	2	2
85	и потому	6	2
86	в ее	2	2
87	в своем	4	2
88	тем что	9	2
89	но в	11	2
90	том что	30	2
91	к этой	3	2
92	что для	3	2
93	все же	17	2
94	в своей	4	2
95	потребность в	3	2
96	так как	16	2
97	по себе	10	2
98	что у	3	2
99	же это	2	2
100	что они	5	2
101	в истории	3	2
102	так что	5	2
103	даже и	5	2
104	не все	4	2
105	должно быть	6	2
106	и о	3	2
107	не есть	4	2
108	к этому	4	2
109	так и	10	2
110	в которой	7	2
111	хотя и	7	2
112	всего в	2	2
113	учение о	4	2
114	в другом	2	2
115	подойти к	3	2
116	и против	2	2
117	чем в	3	2
