N	2gram	Trubetskoy	Narrotol
1	не только	10	62
2	и не	8	50
3	при этом	3	47
4	но и	9	45
5	а не	5	38
6	в качестве	3	35
7	может быть	10	30
8	и в	26	30
9	в том	11	29
10	том что	7	28
11	в этом	15	28
12	а в	4	27
13	состоит в	2	25
14	представляет собой	3	25
15	только в	4	25
16	не в	2	23
17	то что	7	23
18	то есть	4	22
19	не может	4	20
20	в себе	6	17
21	так и	6	17
22	а также	2	17
23	в его	5	16
24	но в	7	15
25	можно сказать	3	15
26	к тому	6	15
27	в своем	3	13
28	то же	4	13
29	о том	6	13
30	уже не	3	13
31	все же	6	12
32	прежде всего	2	12
33	как бы	12	12
34	в нем	4	11
35	в этой	4	11
36	если бы	3	11
37	отношению к	3	11
38	в мире	5	11
39	никогда не	5	10
40	в то	4	10
41	и т.д	6	10
42	один из	2	10
43	точки зрения	13	10
44	того что	3	10
45	и все	2	10
46	но не	8	10
47	жизни и	2	10
48	тому же	5	10
49	между тем	2	10
50	с его	2	10
51	еще не	2	9
52	что он	4	9
53	что в	9	9
54	в рамках	3	9
55	тем не	3	9
56	той или	2	9
57	для него	3	9
58	далеко не	4	9
59	потому что	7	9
60	или иной	2	8
61	но при	2	8
62	не менее	3	8
63	того чтобы	5	8
64	мы имеем	2	8
65	этом отношении	2	8
66	и для	5	8
67	в самом	4	8
68	и к	5	8
69	же время	2	8
70	в таком	3	8
71	он не	4	8
72	в свою	2	7
73	вслед за	2	7
74	в конце	6	7
75	в силу	5	7
76	в глазах	2	7
77	с другой	8	7
78	в котором	4	7
79	и на	2	7
80	одной стороны	7	6
81	вплоть до	2	6
82	не могла	2	6
83	что и	6	6
84	сказать что	2	6
85	из этих	10	6
86	в результате	3	6
87	с одной	7	6
88	на то	2	6
89	к его	2	6
90	все что	2	6
91	таким образом	22	6
92	и у	8	5
93	не всегда	2	5
94	и о	3	5
95	о котором	2	5
96	к нему	7	5
97	свидетельствует о	2	5
98	и здесь	2	5
99	и от	4	5
100	что это	3	5
101	в начале	2	5
102	и даже	3	5
103	только что	2	5
104	для того	5	5
105	именно в	2	5
106	если не	2	5
107	из них	7	5
108	в одном	3	5
109	не было	2	5
110	начиная с	2	4
111	в виду	2	4
112	в области	9	4
113	по своему	2	4
114	в них	2	4
115	ему в	2	4
116	и по	4	4
117	быть и	2	4
118	хотя бы	3	4
119	к этому	3	4
120	и как	3	4
121	не имеет	5	4
122	со всеми	2	4
123	не могло	2	4
124	не с	2	4
125	не вполне	3	4
126	и с	10	4
127	несмотря на	6	4
128	всяком случае	6	4
129	по своей	2	4
130	к жизни	5	4
131	во всяком	6	4
132	не к	2	4
133	вместе с	15	4
134	и потому	6	3
135	так же	5	3
136	за собой	3	3
137	с этой	3	3
138	в виде	4	3
139	на друга	2	3
140	связано с	2	3
141	его не	2	3
142	а с	7	3
143	одно из	2	3
144	одной из	5	3
145	к ним	3	3
146	и это	2	3
147	точно так	3	3
148	же как	3	3
149	все эти	6	3
150	связи с	9	3
151	и тогда	4	3
152	в связи	3	3
153	во время	4	3
154	заключает в	2	3
155	особенно в	2	3
156	в которой	3	3
157	лишь в	5	3
158	должен был	4	3
159	в этих	4	3
160	сих пор	5	3
161	друг на	2	3
162	на этот	4	3
163	приводит к	2	3
164	что мы	2	3
165	только не	2	3
166	с точки	6	3
167	и что	4	3
168	и только	4	3
169	как на	8	3
170	что именно	2	3
171	же самое	2	3
172	и после	2	3
173	до сих	5	3
174	добра и	2	2
175	в которых	4	2
176	когда же	2	2
177	выступает в	2	2
178	наконец в	2	2
179	или менее	5	2
180	так что	3	2
181	людей и	2	2
182	одновременно и	2	2
183	в общем	8	2
184	более или	5	2
185	больше не	2	2
186	те же	2	2
187	в процессе	2	2
188	можно назвать	2	2
189	признать что	2	2
190	если в	3	2
191	но все	7	2
192	в россии	2	2
193	мы можем	2	2
194	целый ряд	4	2
195	мысль о	2	2
196	его смерти	2	2
197	по своим	2	2
198	превращается в	2	2
199	все это	6	2
200	и наконец	2	2
201	как о	3	2
202	одним из	2	2
203	в течение	4	2
204	во всех	2	2
205	отношение к	5	2
206	на нее	3	2
207	и является	2	2
208	когда он	3	2
209	того же	6	2
210	или иначе	3	2
211	к которому	2	2
212	из которых	4	2
213	в других	3	2
214	из него	2	2
215	совершенно иной	2	2
216	после смерти	10	2
217	но с	3	2
218	и сами	2	2
219	ясно что	3	2
