N	3gram	Ircho_Kome	Dialekti
1	с точки зрения	6	46
2	в том что	15	25
3	тем не менее	3	16
4	то же время	11	15
5	в то же	11	14
6	о том что	7	12
7	с другой стороны	2	12
8	в самом деле	13	10
9	т е в	2	10
10	в то время	3	8
11	то время как	3	8
12	говоря уже о	2	7
13	не говоря уже	2	7
14	в связи с	3	7
15	так или иначе	3	7
16	более или менее	2	6
17	для того чтобы	8	6
18	во всяком случае	3	6
19	с одной стороны	4	6
20	и в то	2	6
21	в конце концов	3	5
22	до сих пор	12	5
23	по сравнению с	3	5
24	то же самое	3	4
25	и т п	4	4
26	к тому же	9	4
27	ни в чем	2	4
28	одной стороны и	2	4
29	в этом отношении	2	4
30	и тем более	2	4
31	равно как и	3	4
32	бы то ни	3	3
33	и с этой	2	3
34	в чем же	2	3
35	с самого начала	5	3
36	хотя и не	2	3
37	речь идет о	3	3
38	о том как	5	3
39	но все же	3	3
40	что он не	3	2
41	при всем том	2	2
42	вместе с ним	3	2
43	друг с другом	3	2
44	в чем не	2	2
45	что и в	2	2
46	так как он	2	2
47	в свою очередь	10	2
48	в каждом из	2	2
