N	3gram	Tiupa_Disk	Myshleni
1	в том что	18	133
2	с точки зрения	3	89
3	по отношению к	13	42
4	с одной стороны	12	39
5	с самого начала	2	36
6	то же самое	2	31
7	в этом отношении	4	30
8	в этом случае	3	27
9	с другой стороны	4	26
10	о том что	8	25
11	не может быть	5	23
12	можно сказать что	3	21
13	в отличие от	12	18
14	во всяком случае	2	18
15	состоит в том	3	18
16	одного и того	4	17
17	и того же	4	17
18	в данном случае	6	15
19	и то что	2	15
20	в свою очередь	3	14
21	в первую очередь	3	14
22	подобно тому как	4	14
23	а с другой	4	13
24	одно и то	2	12
25	в том чтобы	2	12
26	и то же	2	12
27	том что в	3	11
28	одной стороны и	3	10
29	в том числе	3	10
30	по своей природе	3	10
31	том числе и	3	10
32	в конечном счете	2	9
33	более или менее	2	9
34	как и в	3	9
35	речь идет о	2	8
36	той или иной	6	8
37	только в том	2	8
38	содержит в себе	3	7
39	потому что в	2	6
40	и не может	3	6
41	только то что	2	6
42	в свое время	3	5
43	в то же	7	5
44	и как бы	5	5
45	едва ли не	2	5
46	прежде всего в	2	5
47	сами по себе	2	5
48	не только в	2	5
49	по аналогии с	2	4
50	мы имеем дело	3	4
51	так и в	4	4
52	в значительной степени	3	4
53	в соответствии с	4	3
54	но при этом	3	3
55	к тому же	4	3
56	того или иного	2	3
57	а не как	2	3
58	то же время	9	3
59	дело в том	3	3
60	и все же	3	2
61	мысли и ее	2	2
62	по себе не	2	2
63	и не только	2	2
64	и т.п но	4	2
65	до известной степени	2	2
66	можно так выразиться	2	2
67	в частности в	2	2
68	в одно и	2	2
69	и может быть	3	2
70	и мн др	3	2
71	в силу своей	2	2
72	если можно так	2	2
73	хотя и в	2	2
74	тот или иной	2	2
75	в большинстве случаев	2	2
76	по сути дела	3	2
