N	2gram	Propp_Russ	Formalny
1	и в	59	95
2	т е	41	94
3	и не	6	78
4	может быть	14	66
5	в этом	18	61
6	не может	6	57
7	и пр	4	53
8	таким образом	10	52
9	и его	2	51
10	так и	8	50
11	точки зрения	3	47
12	в нем	3	42
13	в его	3	42
14	прежде всего	2	41
15	с точки	3	40
16	как и	19	39
17	и т	13	37
18	не в	2	35
19	а не	3	34
20	но и	20	33
21	то же	6	32
22	не только	28	30
23	в пределах	2	28
24	в том	33	26
25	отнюдь не	3	26
26	то что	10	25
27	на самом	3	24
28	при этом	11	24
29	в ней	3	23
30	связи с	6	23
31	было бы	3	23
32	в то	3	22
33	и ее	3	22
34	как бы	18	21
35	что в	35	21
36	и с	12	21
37	в их	5	20
38	не менее	3	20
39	и от	2	20
40	с тем	14	20
41	входит в	4	20
42	как мы	11	20
43	место в	2	20
44	все это	12	19
45	т д	12	19
46	все же	7	18
47	и все	4	18
48	все эти	5	18
49	в связи	4	18
50	и их	4	18
51	только в	4	18
52	как в	10	17
53	так же	7	16
54	потому что	15	16
55	его в	9	15
56	но в	5	15
57	с другими	3	15
58	так как	25	15
59	должно быть	2	15
60	во всех	6	15
61	именно в	3	15
62	и на	14	15
63	что он	2	14
64	только на	4	14
65	в целом	2	14
66	в своем	3	14
67	еще не	7	14
68	в жизни	2	14
69	в этой	4	14
70	и потому	3	14
71	вместе с	16	14
72	до конца	5	13
73	в настоящее	3	13
74	настоящее время	3	13
75	того что	6	13
76	а в	16	13
77	могут быть	3	13
78	для них	5	13
79	что и	8	13
80	независимо от	3	13
81	она не	4	13
82	тем что	7	13
83	как это	11	12
84	того чтобы	6	12
85	там где	3	12
86	и здесь	3	12
87	к тому	4	12
88	и для	3	12
89	оно не	2	12
90	уже не	9	12
91	в большинстве	2	11
92	но не	7	11
93	что они	8	11
94	между тем	9	11
95	друг друга	3	10
96	и др	4	10
97	мы не	11	10
98	не было	3	10
99	в дальнейшем	2	10
100	по существу	7	10
101	мы видели	3	10
102	не является	2	10
103	и как	2	10
104	в своих	3	10
105	главным образом	5	10
106	большинстве случаев	2	10
107	быть и	3	9
108	ничего не	4	9
109	но это	5	9
110	и до	3	9
111	в каждом	2	9
112	у нас	11	9
113	в свою	3	9
114	говорить о	2	9
115	это не	14	8
116	в других	24	8
117	между собой	4	8
118	и те	3	8
119	в них	10	8
120	в области	3	8
121	же как	5	8
122	для этого	6	8
123	что это	4	8
124	с этим	4	8
125	в данном	7	8
126	всех этих	2	8
127	должен быть	2	8
128	и к	3	8
129	для того	6	8
130	следовательно и	2	7
131	том что	33	7
132	свою очередь	2	7
133	что именно	3	7
134	направления в	2	7
135	его от	2	7
136	не на	2	7
137	значение и	2	7
138	к этому	7	7
139	в первый	5	7
140	в особенности	3	7
141	можно говорить	2	7
142	и наконец	2	7
143	в какой	3	7
144	и более	3	7
145	но все	3	7
146	за счет	2	7
147	из них	12	7
148	мы увидим	8	7
149	от этого	2	7
150	данном случае	8	6
151	в которой	3	6
152	ее и	2	6
153	в россии	4	6
154	на этом	6	6
155	и других	9	6
156	у них	2	6
157	в частности	2	6
158	так в	5	6
159	его и	2	6
160	и это	2	6
161	тому что	4	6
162	в этих	3	6
163	один из	10	6
164	он был	2	6
165	этого слова	3	6
166	ее в	7	6
167	его с	4	6
168	из этих	6	6
169	они и	2	6
170	кроме того	3	6
171	такой же	3	6
172	жизнь и	2	6
173	например в	3	6
174	о том	14	6
175	их в	7	6
176	уже в	2	6
177	с ним	2	6
178	должен был	3	5
179	мы должны	3	5
180	не можем	5	5
181	виду что	2	5
182	должно было	5	5
183	или же	2	5
184	в виду	3	5
185	на все	3	5
186	связь между	2	5
187	в основном	4	5
188	мы уже	2	5
189	отличие от	4	5
190	так например	7	5
191	в него	2	5
192	в отличие	4	5
