N	3gram	Medvedev_F	Problemy
1	то же время	13	26
2	в то же	13	26
3	с точки зрения	17	25
4	по отношению к	4	18
5	и т п	11	18
6	в этом смысле	3	16
7	на самом деле	7	15
8	не может быть	11	14
9	в большинстве случаев	5	12
10	но в то	3	11
11	в конце концов	2	11
12	до сих пор	7	10
13	с самого начала	2	9
14	в самом деле	5	9
15	во всяком случае	6	9
16	с другой стороны	4	9
17	и не может	5	8
18	в его целом	8	8
19	в том что	3	8
20	бы то ни	4	7
21	как раз и	4	7
22	и в то	4	7
23	сама по себе	2	7
24	и в этом	6	7
25	и т д	11	7
26	же время не	2	6
27	как и все	2	6
28	в отличие от	2	6
29	сам по себе	2	5
30	в зависимости от	4	5
31	в высшей степени	4	5
32	дело идет о	3	5
33	но все же	2	5
34	и прежде всего	2	4
35	тем не менее	2	4
36	и не в	2	4
37	более или менее	7	4
38	как если бы	2	4
39	может быть и	4	4
40	так и в	6	4
41	и наконец в	2	4
42	сами по себе	4	4
43	а вовсе не	2	4
44	в этом отношении	7	4
45	смысле этого слова	4	4
46	к тому чтобы	2	4
47	что в нем	2	4
48	как мы видели	5	3
49	как мы знаем	2	3
50	в данном случае	2	3
51	и до конца	3	3
52	в самом предмете	2	3
53	как мы увидим	3	3
54	не только не	2	3
55	в настоящее время	11	3
56	т е в	2	3
57	в той же	2	3
58	прежде всего в	5	2
59	что и в	2	2
60	до настоящего времени	3	2
61	начала и до	2	2
62	но в этом	2	2
63	как один из	2	2
64	и всякое иное	2	2
65	в лучшем случае	3	2
66	друг от друга	2	2
67	сводится к тому	2	2
68	к тому что	3	2
69	с начала и	2	2
70	раз и навсегда	2	2
71	в нем и	2	2
72	между этими двумя	2	2
73	вместе с тем	5	2
74	в нем как	2	2
75	для того чтобы	3	2
76	как бы ни	3	2
77	в значительной степени	3	2
78	бы ни были	2	2
79	может войти в	2	2
80	но все эти	2	2
81	в целом ряде	2	2
82	в свою очередь	6	2
83	все эти определения	2	2
