N	3gram	Vygotskiy_	Psycholo
1	в том что	41	78
2	для того чтобы	14	70
3	на то что	5	55
4	в самом деле	4	51
5	заключается в том	18	36
6	о том что	3	34
7	то же самое	9	31
8	с точки зрения	11	29
9	с одной стороны	8	28
10	так же точно	3	24
11	до сих пор	3	23
12	не может быть	5	23
13	с таким образом	3	21
14	с другой стороны	5	20
15	в том чтобы	2	20
16	с самого начала	6	16
17	мы видим что	2	16
18	в зависимости от	6	15
19	во всяком случае	10	14
20	так же как	9	14
21	в этом отношении	9	14
22	в то время	5	14
23	само по себе	3	14
24	можно было бы	8	13
25	заключает в себе	3	13
26	то время как	5	13
27	и в этом	2	13
28	сам по себе	2	12
29	одной и той	5	12
30	этой точки зрения	4	12
31	указывает на то	2	12
32	и той же	5	12
33	мы никогда не	3	11
34	то что в	3	11
35	тот факт что	7	11
36	по сравнению с	4	11
37	только в том	4	10
38	с этой точки	4	10
39	сами по себе	4	10
40	вместе с тем	11	10
41	и то что	3	10
42	в том случае	2	9
43	что он не	2	9
44	мы могли бы	12	9
45	таким образом что	6	9
46	в отличие от	8	9
47	точно так же	4	9
48	и что в	2	9
49	и то же	6	8
50	и как бы	2	8
51	друг с другом	10	8
52	смысле этого слова	10	8
53	речь идет о	2	8
54	по этому поводу	4	8
55	с тем что	4	8
56	бы сказать что	5	7
57	том случае если	2	7
58	на этот вопрос	2	7
59	а с другой	4	7
60	что и в	6	7
61	состоит в том	4	7
62	так как это	2	7
63	в свою очередь	3	7
64	если бы мы	2	7
65	как и в	3	7
66	одно и то	6	7
67	в этом смысле	7	7
68	более или менее	3	6
69	тем не менее	6	6
70	не что иное	2	6
71	так как она	2	6
72	что иное как	2	6
73	того или иного	2	6
74	мы не можем	2	6
75	и тот же	6	6
76	и только после	2	6
77	то что мы	2	6
78	в силу того	2	5
79	и вместе с	2	5
80	что в основе	7	5
81	ни в какой	5	5
82	мы видели что	4	5
83	в собственном смысле	12	5
84	же как и	6	5
85	как если бы	2	5
86	мы видим в	2	5
87	и в результате	3	5
88	один и тот	6	5
89	в том виде	4	5
90	в том смысле	3	5
91	лежит в основе	3	4
92	но так как	2	4
93	имеет в виду	2	4
94	одним и тем	4	4
95	в его основе	4	4
96	и тем же	4	4
97	мы уже говорили	6	4
98	мы говорили выше	2	4
99	из того что	3	4
100	силу того что	2	4
101	одного и того	5	4
102	того и другого	2	4
103	собственном смысле слова	3	4
104	имеет дело с	2	4
105	в этой области	2	4
106	том что в	3	4
107	только потому что	2	4
108	принять во внимание	2	4
109	и того же	5	4
110	так как они	2	4
111	то и другое	5	3
112	заключается только в	2	3
113	мы обратимся к	4	3
114	ничего общего с	2	3
115	во внимание что	2	3
116	со всеми остальными	2	3
117	к выводу что	2	3
118	том виде как	3	3
119	так как в	2	3
120	в этом случае	4	3
121	согласны в том	2	3
122	с тем и	4	3
123	могли бы сказать	5	3
124	и те же	3	3
125	того же самого	3	3
126	из которых каждая	2	3
127	то обстоятельство что	4	3
128	по отношению к	3	3
129	является то что	4	3
130	друг от друга	2	3
131	в последнее время	4	3
132	том смысле что	2	3
133	мы будем иметь	3	3
134	в высшей степени	11	3
135	одни и те	3	3
136	потому что оно	2	2
137	той или иной	2	2
138	как мы видели	4	2
139	мы знаем о	4	2
140	тому или иному	4	2
141	так и в	2	2
142	не могли бы	2	2
143	все же не	2	2
144	все же в	2	2
145	на все другие	2	2
146	том что они	2	2
147	здесь мы имеем	2	2
148	перед нами в	2	2
149	в связи с	8	2
150	имеет место в	2	2
151	так как он	2	2
152	по своему значению	2	2
153	видит в этом	2	2
154	если мы обратимся	4	2
155	и что оно	2	2
156	в такой же	2	2
157	мы видим таким	5	2
158	той и другой	2	2
159	на первый план	5	2
160	мы не станем	5	2
161	это значит что	6	2
162	не больше чем	2	2
163	что мы не	2	2
164	как мы увидим	2	2
165	в одинаковой мере	2	2
166	к одному и	5	2
167	между тем как	4	2
168	не мог бы	3	2
169	и тем самым	3	2
170	до какой степени	3	2
171	не только у	2	2
172	то что с	2	2
173	будем иметь случай	2	2
174	если принять во	2	2
175	того что они	3	2
176	видим таким образом	5	2
177	на каждом шагу	4	2
