N	2gram	Medvedev_F	VeschiIm
1	т е	50	81
2	не есть	4	79
3	и не	34	57
4	не только	14	48
5	то что	14	48
6	не может	26	46
7	и в	54	45
8	может быть	30	39
9	и т	22	39
10	т д	11	38
11	а не	11	37
12	потому что	2	25
13	было бы	10	24
14	в себе	4	23
15	по себе	10	23
16	только в	6	23
17	сказать что	3	22
18	и что	2	22
19	в смысле	2	22
20	что такое	2	20
21	как бы	10	20
22	и ее	15	19
23	но и	18	19
24	что же	6	19
25	есть только	3	18
26	все же	8	18
27	в этом	39	18
28	и это	4	17
29	прежде всего	34	17
30	так как	4	17
31	того что	7	16
32	таким образом	28	16
33	как раз	8	16
34	в том	17	15
35	как и	18	15
36	в ней	15	15
37	уже не	9	15
38	не в	16	14
39	но это	4	14
40	том что	3	13
41	это и	7	13
42	не будет	2	13
43	и для	5	13
44	в самом	17	13
45	то ни	5	13
46	ничего не	5	12
47	вещей и	3	12
48	совершенно не	5	12
49	смысл и	2	12
50	что в	10	12
51	точки зрения	21	12
52	она есть	2	12
53	что и	10	12
54	что они	4	12
55	если она	2	12
56	и как	6	12
57	то же	16	12
58	ни было	2	12
59	еще не	6	12
60	и даже	7	12
61	если мы	5	12
62	и с	17	12
63	бы то	4	12
64	в то	14	11
65	не менее	12	11
66	что не	4	11
67	вовсе не	18	11
68	тем не	2	11
69	и их	13	11
70	и пр	30	11
71	ни в	3	11
72	и только	5	11
73	в чем	2	10
74	что оно	4	10
75	с ее	7	10
76	ясно что	3	10
77	это не	4	9
78	нисколько не	2	9
79	со стороны	7	9
80	так что	2	9
81	в своем	12	9
82	то и	2	9
83	она не	8	9
84	должно быть	13	9
85	хотя бы	10	9
86	бы в	6	9
87	в результате	8	9
88	у нас	6	9
89	на то	2	9
90	но не	5	9
91	но что	2	9
92	говорить о	4	9
93	и его	27	9
94	с ним	3	9
95	в отношении	3	8
96	его в	5	8
97	и потому	9	8
98	даже не	2	8
99	что он	8	8
100	но в	9	8
101	в ее	10	8
102	мы не	6	8
103	все это	11	8
104	должна быть	11	8
105	можно сказать	2	8
106	только и	7	8
107	смысла и	3	8
108	с другими	11	8
109	отличается от	4	8
110	если бы	8	8
111	с тем	11	8
112	для него	9	8
113	не с	2	8
114	с другой	8	8
115	как с	2	8
116	отнюдь не	13	8
117	в действительности	3	7
118	от того	2	7
119	и тем	3	7
120	из них	5	7
121	самом деле	12	7
122	а в	11	7
123	все эти	12	7
124	в сущности	3	7
125	е в	2	7
126	сама по	2	7
127	слова и	5	7
128	тем что	6	7
129	с этой	4	7
130	ни на	5	7
131	оно не	6	7
132	никогда не	6	6
133	вопрос о	3	6
134	независимо от	5	6
135	и все	9	6
136	в нем	25	6
137	для всякого	2	6
138	между ними	3	6
139	должны быть	6	6
140	и до	8	6
141	в своей	16	6
142	как мы	10	6
143	одна из	2	6
144	в данном	2	6
145	и позитивизма	3	6
146	на почве	20	6
147	или иначе	2	6
148	этот вопрос	2	6
149	их в	2	6
150	мы говорим	4	6
151	несмотря на	2	6
152	в той	3	6
153	жизни и	10	6
154	с точки	17	6
155	в одном	2	6
156	и если	2	5
157	как к	5	5
158	должен быть	5	5
159	свою очередь	6	5
160	ничем не	4	5
161	действительности и	3	5
162	вместе с	8	5
163	себе в	2	5
164	как это	8	5
165	точка зрения	3	5
166	даже и	5	5
167	один из	4	5
168	в его	30	5
169	со всем	4	5
170	хотя и	3	5
171	быть и	5	5
172	для этого	6	5
173	же это	2	5
174	во всех	9	5
175	в которой	5	5
176	и здесь	8	5
177	кроме того	3	5
178	как о	8	5
179	в жизни	3	5
180	нет и	2	5
181	от всех	5	5
182	что для	3	5
183	в свою	8	5
184	только не	2	5
185	как она	5	5
186	если же	4	5
187	чем же	3	5
188	она должна	3	4
189	так же	5	4
190	и притом	2	4
191	в конце	2	4
192	отношение к	4	4
193	что именно	2	4
194	при помощи	2	4
195	в их	16	4
196	и чем	3	4
197	так и	24	4
198	в этой	10	4
199	более или	7	4
200	не то	3	4
201	того чтобы	4	4
202	в качестве	2	4
203	не было	7	4
204	социальной действительности	9	4
205	во всяком	6	4
206	в основе	7	4
207	и от	9	4
208	ее как	2	4
209	слово и	2	4
210	то в	3	4
211	с этим	6	4
212	и эта	2	4
213	к ней	3	4
214	на него	3	4
215	в особенности	7	4
216	и вот	2	4
217	его и	2	4
218	от всякого	2	4
219	и о	3	4
220	отношении к	2	4
221	и более	4	4
222	она является	2	4
223	в котором	2	4
224	на этом	2	4
225	явления и	2	4
226	главным образом	5	4
227	или менее	7	4
228	равно как	2	4
229	смысле и	2	4
230	еще более	6	4
231	как таковая	2	4
232	сводится к	6	4
233	сам по	2	4
234	и чисто	2	4
235	же время	13	4
236	он не	8	4
237	этого метода	2	4
238	однако не	5	4
239	от его	3	3
240	перед нами	3	3
241	к одному	2	3
242	но как	2	3
243	можно и	2	3
244	не является	3	3
245	вопроса о	2	3
246	но даже	2	3
247	в другом	2	3
248	но именно	2	3
249	ни о	3	3
250	в виде	2	3
251	только на	8	3
252	в частности	4	3
253	может и	2	3
254	и ни	2	3
255	если он	4	3
256	нужно было	2	3
257	по существу	8	3
258	мы видели	5	3
259	к нему	3	3
260	вещей в	2	3
261	к тому	6	3
262	а только	4	3
263	была бы	4	3
264	и само	2	3
265	в отрыве	2	3
266	одной стороны	5	3
267	другой стороны	5	3
268	в целом	7	3
269	же как	3	3
270	и во	2	3
271	было в	3	3
272	и может	6	3
273	в истории	10	3
274	из его	2	3
275	могла бы	3	3
276	от этого	3	3
277	действительности в	3	3
278	в науке	2	3
279	применении к	4	3
280	то чтобы	2	3
281	превращается в	2	3
282	жизни в	2	3
283	для того	3	3
284	как в	12	3
285	с одной	5	3
286	остановиться на	2	3
287	или другой	2	3
288	но все	4	3
289	сами по	4	3
290	не имеет	2	3
291	в своих	3	3
292	в самой	2	3
293	от чего	3	3
294	же они	2	3
295	он становится	3	3
296	не можем	3	3
297	на язык	5	3
298	к другому	2	3
299	из этого	2	3
300	бы ни	5	3
301	замечаем что	2	3
302	перестает быть	3	3
303	вещах и	2	3
304	или в	2	3
305	отношения к	6	3
306	не к	2	3
307	этих двух	2	3
308	и всякий	2	3
309	отрыве от	2	3
310	но он	2	3
311	не о	7	2
312	данном случае	2	2
313	как ее	4	2
314	чтобы не	2	2
315	тем самым	5	2
316	ее и	3	2
317	следовательно и	2	2
318	к действительности	3	2
319	тому что	3	2
320	бытия в	3	2
321	к этим	2	2
322	для нее	2	2
323	для всего	3	2
324	общения и	3	2
325	не как	7	2
326	едва ли	3	2
327	является в	2	2
328	подходит к	4	2
329	и прежде	3	2
330	очевидно что	2	2
331	и выражения	2	2
332	слово в	2	2
333	конце концов	2	2
334	в виду	2	2
335	но эта	2	2
336	на все	3	2
337	как он	2	2
338	что если	2	2
339	у них	3	2
340	и со	3	2
341	нас не	3	2
342	в работах	3	2
343	действительности как	2	2
344	его от	5	2
345	что о	2	2
346	языка как	11	2
347	и конкретной	2	2
348	не так	4	2
349	совсем не	2	2
350	со всей	3	2
351	но из	2	2
352	социальная жизнь	2	2
353	для определения	2	2
354	метод и	3	2
355	не из	5	2
356	так в	3	2
357	что на	3	2
358	ясности и	2	2
359	всяком случае	6	2
360	от смысла	3	2
361	не столько	5	2
362	и совершенно	2	2
363	понятий и	4	2
364	и этот	2	2
365	связи с	12	2
366	в связи	11	2
367	не на	3	2
368	в первом	8	2
369	в применении	4	2
370	в первой	2	2
371	на их	3	2
372	даже просто	2	2
373	вопрос об	2	2
374	к его	3	2
375	и должна	3	2
376	в россии	4	2
377	что эта	2	2
378	не сможет	2	2
379	здесь не	5	2
380	уже предполагает	2	2
381	его как	5	2
382	к этому	3	2
383	по преимуществу	6	2
384	это было	3	2
385	к истории	2	2
386	смысле что	2	2
387	стороны и	4	2
388	этом отношении	7	2
389	отличии от	2	2
390	но ведь	4	2
391	и другие	3	2
392	исходить из	4	2
393	от одного	2	2
394	одного из	4	2
395	в в	2	2
396	жизнь и	3	2
397	лишь как	7	2
398	же и	2	2
399	на нее	2	2
400	она была	3	2
401	ее к	2	2
402	том чтобы	3	2
403	есть лишь	3	2
404	далеко не	2	2
405	можно говорить	2	2
406	каждой из	3	2
407	учения о	2	2
408	именно в	12	2
409	зависит от	2	2
410	в слове	4	2
411	слова в	2	2
412	когда он	3	2
413	и к	7	2
414	но для	4	2
415	приводит к	4	2
416	в более	2	2
417	образом на	2	2
418	он и	3	2
419	действительности не	2	2
420	и на	10	2
421	раз и	6	2
422	от нее	6	2
423	только как	3	2
424	конечно не	5	2
425	и позитивизм	2	2
426	во всем	3	2
427	этом смысле	3	2
428	той же	2	2
429	во втором	7	2
430	учение о	4	2
431	с его	12	2
432	и чтобы	2	2
433	на основе	6	2
434	тем же	3	2
