N	3gram	Ircho_Kome	DiskursI
1	в том что	13	28
2	в отличие от	3	26
3	по отношению к	5	17
4	с одной стороны	5	14
5	то же время	5	10
6	о том что	6	9
7	в то же	5	8
8	в этом отношении	3	8
9	как и в	2	7
10	в соответствии с	2	6
11	к тому же	12	6
12	то же самое	2	5
13	с другой стороны	6	5
14	в первую очередь	5	5
15	тем не менее	2	4
16	в частности в	2	4
17	не более чем	2	4
18	говоря уже о	4	3
19	в том числе	4	3
20	во всяком случае	4	3
21	в обоих случаях	3	3
22	не говоря уже	4	3
23	то ни было	4	2
24	бы то ни	4	2
25	каждый из них	2	2
26	речь идет о	5	2
27	в большинстве случаев	2	2
28	но и в	2	2
29	с самого начала	2	2
30	в новое время	2	2
31	едва ли не	6	2
32	и столь же	2	2
33	в одном из	4	2
34	по своему происхождению	2	2
