N	2gram	Potebnia_M	FransuaR
1	и в	58	367
2	то есть	69	209
3	в этом	18	112
4	и не	34	101
5	таким образом	21	100
6	и его	7	99
7	в его	7	98
8	прежде всего	8	92
9	не только	32	87
10	но и	26	84
11	как бы	12	82
12	все эти	3	79
13	вовсе не	13	77
14	как и	16	76
15	в нем	26	75
16	но в	12	75
17	и на	8	72
18	в том	38	71
19	как мы	3	71
20	то же	13	66
21	и все	6	66
22	так и	17	65
23	в этой	3	65
24	в них	7	65
25	в сущности	2	64
26	и с	3	64
27	во время	5	63
28	в то	6	63
29	все это	3	62
30	во всех	12	62
31	же время	4	55
32	что в	34	52
33	в своем	3	51
34	только в	36	48
35	так как	29	46
36	том что	21	45
37	то что	24	41
38	жизни и	3	40
39	у него	3	40
40	в самом	5	38
41	точки зрения	8	37
42	в ней	9	37
43	с его	3	36
44	может быть	47	35
45	мы видим	5	35
46	о том	6	35
47	сказать что	5	34
48	и даже	4	34
49	в себе	22	34
50	рядом с	3	32
51	он не	4	32
52	мы видели	5	32
53	тела в	2	32
54	для него	13	32
55	в своей	3	31
56	так же	7	30
57	тела и	2	30
58	никогда не	7	30
59	и потому	7	30
60	той же	3	30
61	один из	2	30
62	потому что	89	30
63	но он	3	30
64	в этих	10	29
65	не может	30	29
66	еще не	9	29
67	его в	3	29
68	не в	23	29
69	при этом	17	29
70	в одном	13	29
71	связи с	6	29
72	что он	5	29
73	из них	2	28
74	всех этих	2	28
75	сих пор	5	27
76	до сих	5	27
77	и их	6	27
78	все же	11	27
79	все они	3	26
80	на самом	2	25
81	но это	7	25
82	того чтобы	4	24
83	в ее	2	24
84	и от	5	24
85	например в	4	24
86	но не	19	24
87	как в	18	24
88	и у	3	24
89	времени и	3	24
90	так сказать	5	23
91	и для	8	23
92	это не	10	23
93	в их	3	23
94	с ним	7	23
95	к нему	2	23
96	и о	3	22
97	связь с	2	22
98	и во	6	22
99	а в	11	22
100	что и	16	22
101	там где	8	22
102	и других	6	22
103	тем что	15	22
104	вместе с	12	22
105	не было	7	22
106	именно в	2	21
107	в своих	4	21
108	в себя	2	21
109	что это	5	21
110	ни в	2	21
111	одним из	2	21
112	есть в	4	21
113	и как	11	21
114	уже в	5	21
115	в виду	2	20
116	с точки	4	20
117	самом деле	2	20
118	и это	3	20
119	в связи	2	20
120	того же	13	19
121	их в	2	19
122	во всем	5	19
123	хотя и	6	19
124	к этому	3	19
125	в эту	2	19
126	было бы	21	19
127	за пределы	4	19
128	далеко не	4	19
129	с другой	13	19
130	с ее	2	19
131	связанные с	3	18
132	мы находим	3	18
133	на этом	3	18
134	здесь не	2	18
135	превращается в	2	18
136	одна из	4	18
137	для того	8	17
138	но все	4	17
139	того что	15	17
140	еще более	2	17
141	такой же	4	17
142	а не	38	17
143	между тем	7	16
144	тот же	5	16
145	ничего не	2	16
146	влияние на	4	16
147	в начале	2	16
148	между ними	2	16
149	в другом	3	16
150	они не	5	16
151	дело в	3	16
152	с одной	7	16
153	одно из	5	15
154	в истории	8	15
155	никто не	3	15
156	и вообще	5	15
157	мысли и	9	15
158	в нашем	2	15
159	как на	5	15
160	в которой	5	15
161	в самой	5	15
162	не мог	3	15
163	не были	2	15
164	из этих	8	15
165	мы не	17	14
166	все что	5	14
167	слов и	5	14
168	и образ	2	14
169	в более	4	14
170	несмотря на	5	14
171	и по	8	14
172	в чем	6	14
173	в котором	5	14
174	образом в	5	14
175	так в	4	13
176	как он	5	13
177	что все	4	13
178	это было	3	13
179	в других	6	13
180	или в	4	13
181	с этим	11	13
182	бы в	6	13
183	в жизни	5	13
184	в мире	3	13
185	и есть	4	13
186	не на	3	13
187	во все	2	13
188	его к	3	13
189	в одной	2	13
190	на все	5	13
191	только на	4	13
192	одной стороны	6	13
193	лишь в	2	12
194	только для	7	12
195	у нас	3	12
196	не могут	10	12
197	начиная с	2	12
198	все то	2	12
199	те же	4	12
200	по своей	2	12
201	главным образом	4	12
202	место в	3	12
203	другой стороны	7	12
204	так например	5	11
205	и более	3	11
206	ни с	2	11
207	из этого	2	11
208	того как	12	11
209	уже не	4	11
210	и что	13	11
211	слова и	7	11
212	между собою	10	11
213	в течение	2	11
214	с ними	2	11
215	что они	6	11
216	и миром	2	11
217	и они	2	10
218	образом и	2	10
219	значительной степени	3	10
220	все остальные	9	10
221	на этот	2	10
222	там же	9	10
223	человека и	2	10
224	в таких	2	10
225	к тому	5	10
226	нас в	2	10
227	что для	5	10
228	для всех	6	10
229	по отношению	15	10
230	к которому	5	10
231	даже и	4	10
232	в целом	3	10
233	все его	2	10
234	но оно	3	10
235	что не	15	9
236	значение и	4	9
237	эти формы	2	9
238	относится к	5	9
239	но как	4	9
240	в разных	2	9
241	и то	4	9
242	но дело	2	9
243	отношению к	13	9
244	для нас	29	9
245	между людьми	2	9
246	том же	3	9
247	в формах	3	9
248	что на	9	9
249	не имеет	9	9
250	в которых	2	9
251	же в	7	9
252	мы можем	10	9
253	о котором	4	9
254	но на	3	9
255	не понимает	2	9
256	отношения к	2	9
257	от него	8	8
258	с этой	3	8
259	следовательно и	2	8
260	так что	23	8
261	с тем	9	8
262	от этого	2	8
263	с самого	5	8
264	и без	4	8
265	языка и	20	8
266	под влиянием	10	8
267	для этого	2	8
268	если бы	23	8
269	после того	3	8
270	мертвых душ	5	8
271	нуждается в	2	8
272	народа и	2	8
273	по поводу	7	8
274	но эти	4	8
275	мы увидим	3	8
276	были и	2	8
277	перестает быть	3	8
278	одном из	3	8
279	и при	6	8
280	более или	6	8
281	того времени	2	8
282	видели что	2	8
283	но с	3	8
284	или менее	6	8
285	не менее	10	8
286	речи и	11	8
287	то время	3	8
288	переходим к	2	8
289	к этим	2	7
290	связанное с	3	7
291	а как	3	7
292	никак не	3	7
293	не как	4	7
294	себе и	2	7
295	что у	2	7
296	в свою	8	7
297	должен быть	2	7
298	тому как	8	7
299	мы будем	3	7
300	есть только	16	7
301	его не	3	7
302	на том	2	7
303	одного из	3	7
304	по этому	2	7
305	во всяком	9	7
306	к ним	3	7
307	где он	2	7
308	подобно тому	7	7
309	в таком	7	7
310	в состоянии	5	7
311	том как	6	7
312	в развитии	2	7
313	на него	6	7
314	думать что	6	7
315	и если	6	7
316	от них	2	7
317	а на	2	7
318	нет ничего	2	7
319	но она	3	7
320	в некоторых	4	7
321	что по	3	7
322	в нее	4	6
323	свою очередь	8	6
324	мы знаем	2	6
325	видит в	2	6
326	переходит в	2	6
327	не была	2	6
328	на их	2	6
329	он может	2	6
330	вряд ли	2	6
331	или даже	3	6
332	не дает	2	6
333	эти явления	3	6
