N	3gram	Potebnia_M	StatiiOP
1	в том что	18	47
2	и т д	6	32
3	для того чтобы	4	19
4	и т п	4	19
5	до сих пор	5	19
6	с точки зрения	3	14
7	во всяком случае	7	13
8	с другой стороны	7	13
9	не может быть	11	11
10	в то же	3	9
11	то же время	3	9
12	на то что	3	9
13	дело в том	3	9
14	на самом деле	2	8
15	тем не менее	10	8
16	не только в	3	8
17	к тому что	2	8
18	не в том	6	7
19	в то время	3	7
20	и в этом	7	7
21	но все же	2	7
22	по крайней мере	6	6
23	по отношению к	13	6
24	так и в	5	6
25	не только не	2	6
26	в одном из	2	6
27	в том смысле	7	6
28	в этом смысле	4	6
29	после того как	3	5
30	с тем что	4	5
31	с самого начала	5	5
32	обратить внимание на	2	5
33	но и в	4	5
34	то что в	2	5
35	в применении к	3	4
36	сами по себе	8	4
37	но это не	2	4
38	в связи с	2	4
39	с одной стороны	6	4
40	что и в	4	4
41	и в том	3	4
42	бы то ни	2	3
43	таким образом в	3	3
44	ни для кого	2	3
45	в том как	4	3
46	только в том	7	3
47	том смысле что	2	3
48	в г д	2	3
49	так как в	2	3
50	более или менее	6	3
51	во многих случаях	2	3
52	только потому что	3	3
53	это не так	2	2
54	все более и	2	2
55	сам по себе	5	2
56	так что в	2	2
57	только тогда когда	5	2
58	не только по	2	2
59	как и в	3	2
60	а между тем	5	2
61	а потому что	2	2
62	что не может	3	2
63	и для самого	2	2
64	но с другой	3	2
65	на этот вопрос	2	2
66	как бы ни	4	2
67	по его словам	2	2
68	более и более	2	2
69	в таком виде	2	2
70	в свою очередь	8	2
