N	2gram	Losev_Dial	Vladivir
1	и в	35	116
2	то что	25	71
3	и не	51	67
4	не только	26	65
5	у него	2	65
6	в этом	18	53
7	в том	20	52
8	том что	18	51
9	что в	19	48
10	но и	17	47
11	в конце	5	41
12	в его	4	40
13	и с	10	39
14	сказать что	19	36
15	и даже	23	36
16	также и	7	36
17	так что	21	35
18	учение о	11	35
19	потому что	23	33
20	еще и	4	32
21	что он	16	32
22	не может	16	31
23	о том	8	30
24	только в	7	30
25	никогда не	18	29
26	как мы	5	29
27	для него	2	29
28	вовсе не	19	27
29	а в	8	27
30	не было	7	26
31	в то	10	25
32	но в	8	25
33	в себе	23	25
34	и то	15	25
35	и его	6	25
36	даже и	3	24
37	точки зрения	25	23
38	может быть	30	23
39	он не	5	23
40	что же	5	23
41	в виде	2	22
42	так как	24	22
43	кроме того	2	22
44	об этом	7	22
45	ни в	20	22
46	в своей	9	21
47	вместе с	3	21
48	а именно	3	20
49	в своем	7	20
50	прежде всего	14	20
51	и что	17	20
52	и потому	6	19
53	и вообще	10	19
54	так и	18	19
55	не менее	5	19
56	как раз	7	19
57	в дальнейшем	6	19
58	таким образом	5	19
59	тем не	3	19
60	не в	12	18
61	не был	3	18
62	как это	8	18
63	как и	10	18
64	хотя и	4	18
65	что и	7	17
66	в этой	3	17
67	то это	6	17
68	а не	24	17
69	и если	5	17
70	уже не	3	16
71	все же	9	16
72	того что	6	16
73	было бы	14	16
74	к тому	6	16
75	и все	11	16
76	в котором	5	16
77	не есть	67	16
78	в связи	3	15
79	но это	12	15
80	к этому	2	15
81	это было	4	15
82	несмотря на	12	15
83	иной раз	7	15
84	то же	21	15
85	и к	8	15
86	в москве	2	14
87	уже в	5	14
88	тут же	2	14
89	все эти	4	14
90	и как	14	14
91	раз и	2	14
92	мы уже	8	14
93	так же	6	13
94	с тем	2	13
95	можно сказать	10	13
96	да и	11	13
97	и от	5	13
98	что это	21	13
99	в результате	2	13
100	не просто	19	13
101	жизни и	9	13
102	то время	3	13
103	во всем	3	13
104	есть только	9	12
105	и у	2	12
106	только на	3	12
107	ничего не	19	12
108	в нем	25	12
109	и по	5	12
110	связи с	3	12
111	во всяком	5	12
112	содержит в	6	12
113	то в	8	12
114	и это	6	12
115	учения о	2	12
116	по себе	39	12
117	всяком случае	3	12
118	в отношении	5	11
119	мы должны	6	11
120	не очень	2	11
121	еще в	2	11
122	или менее	5	11
123	и о	4	11
124	я не	9	11
125	при этом	2	11
126	все это	14	11
127	это есть	13	11
128	никак не	6	11
129	в данном	5	11
130	хотя бы	6	11
131	в которой	3	11
132	то он	2	11
133	на то	5	11
134	более или	5	11
135	но что	10	11
136	конце концов	4	11
137	тому же	3	11
138	даже в	6	10
139	собственно говоря	5	10
140	к нему	12	10
141	в ней	4	10
142	что все	2	10
143	в качестве	2	10
144	можно было	5	10
145	еще не	4	10
146	но не	9	10
147	что для	3	10
148	в самом	6	10
149	отнюдь не	13	10
150	он и	2	10
151	с точки	18	10
152	с ним	9	10
153	это не	18	9
154	для меня	5	9
155	но как	7	9
156	о чем	4	9
157	и притом	7	9
158	оно есть	5	9
159	а с	2	9
160	а только	5	9
161	и можно	3	9
162	по существу	2	9
163	что если	4	9
