N	3gram	Bakhtin_Fr	Problemy
1	то же время	14	26
2	в то же	14	26
3	с точки зрения	5	25
4	на самом деле	4	15
5	не может быть	4	14
6	в большинстве случаев	5	12
7	но в то	6	11
8	до сих пор	3	10
9	с самого начала	3	9
10	в самом деле	2	9
11	с другой стороны	2	9
12	друг с другом	2	8
13	в том что	8	8
14	как бы в	2	7
15	и в то	3	7
16	мы уже говорили	7	7
17	как и все	5	6
18	в отличие от	3	6
19	между тем как	2	6
20	к тому же	3	5
21	подобно тому как	2	5
22	можно было бы	2	5
23	и прежде всего	4	4
24	и не в	2	4
25	в сущности не	2	4
26	более или менее	2	4
27	о том что	5	4
28	как мы сказали	2	4
29	зрения на мир	4	4
30	в этом отношении	7	4
31	все то что	5	3
32	как мы видели	4	3
33	в то время	3	3
34	в данном случае	4	3
35	как мы уже	6	3
36	точку зрения на	3	3
37	потому что она	2	3
38	никак не может	2	3
39	можно сказать что	4	3
40	что и в	2	2
41	то же самое	3	2
42	же как и	2	2
43	он не только	2	2
44	но в общем	2	2
45	таким образом и	2	2
46	в нем не	4	2
47	вместе с тем	2	2
48	дело в том	4	2
49	для того чтобы	8	2
