N	3gram	Tiupa_Narr	Istorich
1	с другой стороны	4	46
2	с одной стороны	7	28
3	так же как	2	27
4	в том что	8	25
5	не может быть	5	24
6	тем не менее	3	23
7	но все же	4	23
8	точно так же	2	22
9	о том что	6	22
10	не только в	2	19
11	в связи с	2	17
12	в данном случае	4	15
13	по отношению к	6	14
14	что иное как	2	11
15	не что иное	2	11
16	можно было бы	2	10
17	более или менее	2	9
18	на том свете	2	9
19	подобно тому как	2	8
20	на первый взгляд	2	7
21	этой точки зрения	2	6
22	к тому же	4	6
23	все же не	4	6
24	в том числе	6	5
25	в отличие от	5	5
26	состоит в том	3	4
27	можно сказать что	4	4
28	с точки зрения	2	4
29	сами по себе	2	4
30	так или иначе	2	4
31	бы то ни	3	3
32	то ни было	3	3
33	и тем самым	3	3
34	а не в	2	2
35	на другой день	2	2
36	в себя и	2	2
37	тогда как в	2	2
38	при всей своей	2	2
39	в таком случае	2	2
40	том числе и	4	2
41	в свою очередь	3	2
42	мы имеем дело	2	2
43	обращает на себя	3	2
