N	3gram	Bakhtin_Fr	RusskieA
1	в том что	8	49
2	вместе с тем	2	11
3	о том что	5	10
4	в данном случае	4	8
5	для того чтобы	8	8
6	подобно тому как	2	8
7	как мы видели	4	6
8	не может быть	4	6
9	так же как	4	6
10	в связи с	5	5
11	в эти дни	2	5
12	мы видели что	2	5
13	в то время	3	4
14	можно было бы	2	4
15	как мы уже	6	4
16	в отличие от	3	4
17	же как и	2	3
18	более или менее	2	3
19	на самом же	4	3
20	с точки зрения	5	3
21	далеко не все	2	3
22	самом же деле	4	3
23	до сих пор	3	3
24	и связанные с	2	2
25	на самом деле	4	2
26	потому что он	3	2
27	можно сказать что	4	2
28	в этом отношении	7	2
29	в большинстве случаев	5	2
30	о том как	2	2
31	так как они	3	2
32	во всех этих	2	2
33	друг с другом	2	2
34	с одной стороны	2	2
35	с другой стороны	2	2
36	во время которого	2	2
