N	2gram	Medvedev_F	NovoeSre
1	а не	11	17
2	и в	54	16
3	не может	26	16
4	совсем не	2	12
5	и не	34	11
6	в эпоху	2	9
7	что в	10	9
8	жизни и	10	8
9	в том	17	8
10	он не	8	8
11	не будет	2	7
12	может быть	30	7
13	как и	18	7
14	к новому	3	7
15	в этом	39	7
16	культуры и	3	7
17	никогда не	6	6
18	в высшей	4	6
19	лишь в	15	6
20	ни в	3	6
21	не в	16	6
22	высшей степени	4	6
23	но это	4	6
24	с его	12	6
25	не только	14	5
26	в жизни	3	5
27	должен быть	5	5
28	все это	11	5
29	в нем	25	5
30	с ее	7	5
31	в ней	15	5
32	и к	7	5
33	должно быть	13	4
34	в них	4	4
35	и для	5	4
36	есть лишь	3	4
37	не имеет	2	4
38	прежде всего	34	4
39	не менее	12	4
40	не было	7	4
41	и потому	9	4
42	перестает быть	3	4
43	эпохи и	2	4
44	то что	14	4
45	это не	4	4
46	потому что	2	4
47	и все	9	4
48	в мире	4	3
49	но и	18	3
50	с другой	8	3
51	в ее	10	3
52	она не	8	3
53	к тому	6	3
54	в россии	4	3
55	и пр	30	3
56	что такое	2	3
57	жизни в	2	3
58	в своей	16	3
59	еще не	6	3
60	жизни не	2	3
61	в истории	10	3
62	перейти к	3	3
63	эти формы	2	3
64	должна быть	11	3
65	в новое	2	3
66	как в	12	3
67	конечно не	5	3
68	не есть	4	3
69	за пределы	2	3
70	сказать что	3	3
71	во всех	9	3
72	вопрос о	3	3
73	это было	3	3
74	в основе	7	3
75	с тем	11	3
76	зависит от	2	2
77	в себе	4	2
78	и должно	4	2
79	и с	17	2
80	одна из	2	2
81	том чтобы	3	2
82	формы и	7	2
83	для этого	6	2
84	но не	5	2
85	нет и	2	2
86	думать что	4	2
87	и от	9	2
88	в русском	2	2
89	не могли	2	2
90	роль в	2	2
91	того чтобы	4	2
92	и это	4	2
93	хотя бы	10	2
94	и заключается	2	2
95	же как	3	2
96	из ее	2	2
97	а в	11	2
98	все время	7	2
99	но в	9	2
100	том что	3	2
101	не к	2	2
102	мысли в	2	2
103	и на	10	2
104	с этим	6	2
105	бытия в	3	2
106	и что	2	2
107	все эти	12	2
108	мы не	6	2
109	в смысле	2	2
110	это и	7	2
111	ни одна	2	2
112	равно как	2	2
113	от всякого	2	2
114	уже не	9	2
115	по существу	8	2
116	с их	2	2
117	как это	8	2
118	другой стороны	5	2
119	так же	5	2
120	так и	24	2
121	могут быть	7	2
122	но для	4	2
123	одной стороны	5	2
124	такой же	2	2
125	в то	14	2
126	не могла	3	2
127	познания и	4	2
128	хотя и	3	2
129	мы говорим	4	2
130	должно было	4	2
131	этом смысле	3	2
132	с одной	5	2
133	место в	8	2
134	и даже	7	2
135	вместе с	8	2
