N	2gram	Medvedev_S	Dialekti
1	и в	3	77
2	может быть	2	71
3	не только	3	66
4	то что	2	59
5	как бы	2	43
6	и что	2	42
7	в том	5	40
8	в этом	5	39
9	то же	2	39
10	том что	2	37
11	что в	2	34
12	но и	2	32
13	все это	7	31
14	было бы	2	29
15	не в	3	26
16	это и	2	23
17	таким образом	2	23
18	должна быть	2	21
19	только в	2	20
20	как же	3	19
21	и мы	2	15
22	и только	3	14
23	в смысле	2	13
24	еще не	2	12
25	тем более	2	12
26	как только	2	11
27	в его	3	10
28	за пределы	2	10
29	в частности	2	10
30	в результате	2	10
31	как будто	2	10
32	только как	2	10
33	в конце	2	7
34	по существу	2	6
35	дело не	2	6
36	диалектический материализм	2	5
37	конце концов	2	5
38	ведь это	2	5
39	главным образом	2	4
40	но ведь	3	4
41	очевидно что	2	3
42	для нас	3	3
43	далеко не	2	3
44	она может	2	2
45	и заключается	2	2
46	исторического развития	2	2
47	к которому	2	2
48	по природе	2	2
