N	3gram	Tiupa_Hudo	VLabPisa
1	и т д	5	16
2	в этом отношении	4	14
3	и т п	10	9
4	не может быть	5	8
5	по отношению к	15	7
6	в конечном счете	4	5
7	в то же	11	5
8	в том что	15	5
9	то же время	11	5
10	к тому что	8	4
11	в связи с	3	4
12	а всего лишь	2	3
13	подобно тому как	4	3
14	для того чтобы	2	3
15	и в то	2	3
16	о том как	4	3
17	о том что	14	3
18	та или иная	4	3
19	с одной стороны	4	2
20	не только не	3	2
21	в этом и	2	2
22	не только для	2	2
23	так и от	2	2
24	не только в	4	2
25	до сих пор	3	2
26	не в том	2	2
27	только в том	4	2
28	приводит к тому	2	2
29	можно было бы	5	2
