N	2gram	Vygotskiy_	Morfolog
1	и т	36	62
2	может быть	35	61
3	т д	10	60
4	таким образом	38	26
5	т е	3	25
6	действующих лиц	3	22
7	могут быть	15	21
8	так как	28	20
9	мы имеем	7	19
10	не может	30	19
11	в этом	21	18
12	в этих	6	17
13	представляет собой	2	17
14	и в	55	17
15	и не	24	16
16	мы видим	8	15
17	с этим	7	14
18	эта форма	2	14
19	прежде всего	5	14
20	по существу	6	13
21	при помощи	27	12
22	связи с	2	12
23	видим что	5	12
24	а не	18	11
25	заметить что	3	11
26	вопрос о	3	10
27	но если	2	10
28	мы увидим	4	10
29	то же	17	10
30	в том	55	10
31	не всегда	2	10
32	то что	47	10
33	так и	6	10
34	что в	39	10
35	что и	27	10
36	в связи	3	10
37	все же	9	9
38	но и	12	9
39	с другой	7	9
40	не только	25	8
41	в тех	2	8
42	в результате	4	8
43	но не	5	8
44	а в	10	8
45	мы не	15	8
46	в качестве	3	8
47	как мы	2	8
48	не могут	6	7
49	том что	30	7
50	если в	2	7
51	тем не	6	7
52	наряду с	3	7
53	или же	2	7
54	не менее	9	7
55	как это	8	7
56	и здесь	3	7
57	точки зрения	32	7
58	один из	6	7
59	потому что	27	7
60	очень часто	4	6
61	но это	3	6
62	во всех	4	6
63	и как	9	6
64	или в	2	6
65	и другие	5	6
66	также и	2	6
67	подобно тому	7	6
68	о том	11	6
69	если мы	21	6
70	большей частью	3	6
71	с точки	12	6
72	может считаться	3	6
73	как бы	11	6
74	вовсе не	7	6
75	одна из	5	5
76	ничего не	4	5
77	они и	2	5
78	и ее	4	5
79	вслед за	10	5
80	хотя бы	4	5
81	мы можем	6	5
82	было бы	14	5
83	об этом	3	5
84	со стороны	5	5
85	что он	17	5
86	как в	17	5
87	то это	3	5
88	далеко не	7	5
89	тому что	7	5
90	к тому	8	5
91	из которых	5	5
92	между тем	6	5
93	в целом	8	5
94	главным образом	3	5
95	другой стороны	7	5
96	на его	3	5
97	тому как	10	5
98	там где	5	5
99	в других	3	5
100	все эти	7	5
101	что они	7	5
102	он не	8	5
103	если же	3	5
104	хотя и	3	5
105	ясно что	22	5
106	сказать что	12	4
107	на самом	6	4
108	его в	3	4
109	тех же	2	4
110	независимо от	3	4
111	так же	29	4
112	в то	8	4
113	можно было	4	4
114	к этому	5	4
115	на него	2	4
116	тем что	7	4
117	не является	5	4
118	еще не	2	4
119	самом деле	19	4
120	показать что	12	4
121	из них	4	4
122	но в	5	4
123	на котором	2	4
124	что его	5	4
125	и для	9	4
126	этой школы	2	4
127	как и	25	4
128	уже не	3	4
129	этот вопрос	2	4
130	и к	5	4
131	на этом	3	4
132	смысле слова	4	4
133	несмотря на	8	4
134	того чтобы	13	4
135	с теми	2	4
136	о его	2	4
137	и наоборот	2	4
138	случае не	2	4
139	от того	6	4
140	в таких	2	3
141	или не	2	3
142	то в	2	3
143	время как	6	3
144	означает что	2	3
145	утверждать что	9	3
146	мы должны	4	3
147	но как	4	3
148	как таковое	2	3
149	в настоящее	2	3
150	в которой	6	3
151	а на	4	3
152	и отсюда	2	3
153	в собственном	4	3
154	то ни	2	3
155	том случае	3	3
156	что это	12	3
157	и их	4	3
158	и у	6	3
159	целый ряд	12	3
160	только что	3	3
161	если бы	10	3
162	не значит	2	3
163	состоит из	2	3
164	это и	3	3
165	есть нечто	4	3
166	и тем	5	3
167	та же	4	3
168	не в	19	3
169	для того	12	3
170	и при	3	3
171	с этой	8	3
172	у нас	4	3
173	форма в	3	3
174	собственном смысле	3	3
175	в какой	6	3
176	того что	15	3
177	приводит к	3	3
178	рассматриваться как	4	3
179	к нему	3	3
180	этой формы	2	3
181	на то	17	3
182	ни в	9	3
183	что такое	2	3
184	если это	2	3
185	состоит в	5	3
186	на нем	2	3
187	с того	2	3
188	но мы	3	3
189	что при	8	3
190	настоящее время	2	3
191	не существует	4	3
192	к чему	2	3
193	в ход	2	3
194	должны рассматриваться	2	3
195	совсем не	3	3
196	и что	28	3
197	то время	6	3
198	и тогда	3	3
199	и по	7	3
200	и его	14	3
201	только в	18	3
202	в сущности	15	3
203	и есть	5	3
204	и только	5	3
205	значение и	3	3
206	что эти	3	3
207	в этой	5	3
208	мы будем	2	3
209	бы то	3	3
210	с его	3	3
211	в одну	2	2
212	и когда	5	2
213	в нее	2	2
214	с этого	2	2
215	в каком	3	2
216	в очень	2	2
217	которое может	2	2
218	как например	2	2
219	действия и	4	2
220	из этих	6	2
221	том как	2	2
222	от него	2	2
223	одной стороны	7	2
224	бы в	3	2
225	ответ на	2	2
226	если она	2	2
227	в глаза	2	2
228	иное как	2	2
229	не что	2	2
230	и даже	11	2
231	с двумя	2	2
232	и тот	4	2
233	или менее	3	2
234	случае если	2	2
235	что она	11	2
236	и таким	4	2
237	же роль	2	2
238	роль в	4	2
239	что именно	4	2
240	этом отношении	7	2
241	не на	2	2
242	в частности	6	2
243	ни было	2	2
244	потому не	4	2
245	показать как	2	2
246	вывод что	2	2
247	его и	4	2
248	не означает	2	2
249	что иное	2	2
250	на вопрос	4	2
251	что ни	2	2
252	в чем	5	2
253	с одной	6	2
254	а потому	5	2
255	всех других	2	2
256	должна быть	3	2
257	а другой	3	2
258	а с	2	2
259	и более	3	2
260	совершается в	2	2
261	увидим что	3	2
262	на этот	2	2
263	с тем	11	2
264	не так	2	2
265	при определении	2	2
266	и этот	3	2
267	в самых	3	2
268	не имеет	3	2
269	но так	2	2
270	во сне	2	2
271	она не	6	2
272	более или	3	2
273	мы получаем	4	2
274	их в	4	2
275	могли бы	3	2
276	можно показать	3	2
277	в своих	12	2
278	ту же	6	2
279	оно не	2	2
280	в которых	5	2
281	не сумеем	5	2
282	однако в	2	2
283	от других	3	2
284	с другими	2	2
285	для нас	5	2
286	в основу	3	2
287	что мы	9	2
288	это можно	3	2
289	что же	4	2
290	точно так	6	2
291	что этот	3	2
292	в одной	3	2
293	всяком случае	7	2
294	как они	2	2
295	должны будем	2	2
296	совершенно другой	3	2
297	и больше	2	2
298	должны быть	6	2
299	может дать	2	2
300	увидеть что	2	2
301	то как	4	2
302	что эта	4	2
303	себя и	3	2
304	исходят из	2	2
305	все это	11	2
306	она в	2	2
307	в основе	13	2
308	у него	4	2
309	как будто	10	2
310	например в	5	2
311	можно сказать	2	2
312	в совершенно	5	2
313	из его	4	2
314	мы получим	2	2
315	который в	3	2
316	это мы	2	2
317	в одном	4	2
318	во всяком	9	2
319	без всякого	2	2
320	чем это	2	2
321	по своему	2	2
322	тем же	4	2
323	тем и	2	2
324	того как	5	2
325	чем в	2	2
