N	2gram	Bakhtin_Fr	Narrotol
1	не только	24	62
2	и не	34	50
3	при этом	10	47
4	но и	20	45
5	в частности	6	31
6	может быть	11	30
7	и в	105	30
8	в том	17	29
9	своего рода	2	28
10	том что	9	28
11	в этом	22	28
12	а в	4	27
13	только в	16	25
14	как и	15	24
15	не в	4	23
16	то что	7	23
17	то есть	71	22
18	не может	9	20
19	в себе	7	17
20	так и	16	17
21	в его	24	16
22	но в	16	15
23	можно сказать	4	15
24	к тому	3	15
25	и т.п	26	15
26	в жизни	7	14
27	и его	24	14
28	в своем	11	13
29	в своей	8	13
30	то же	6	13
31	времени и	9	13
32	у него	2	13
33	о том	5	13
34	уже не	3	13
35	все же	10	12
36	прежде всего	26	12
37	как в	6	12
38	на протяжении	9	12
39	как бы	33	12
40	по отношению	2	11
41	к себе	3	11
42	отличие от	5	11
43	об этом	2	11
44	в нем	16	11
45	в этой	11	11
46	жизни в	8	11
47	отношению к	2	11
48	в отличие	4	11
49	хотя и	4	11
50	никогда не	11	10
51	в то	5	10
52	и т.д	2	10
53	ничего не	3	10
54	один из	5	10
55	точки зрения	10	10
56	того что	3	10
57	не является	4	10
58	и все	7	10
59	но не	7	10
60	жизни и	14	10
61	между тем	5	10
62	с его	9	10
63	еще не	8	9
64	что он	5	9
65	что в	4	9
66	той или	5	9
67	для него	12	9
68	далеко не	6	9
69	потому что	6	9
70	с ним	6	9
71	как раз	3	9
72	или иной	5	8
73	о чем	3	8
74	самом деле	3	8
75	но при	2	8
76	не менее	2	8
77	того чтобы	3	8
78	одна из	5	8
79	и он	3	8
80	мира в	3	8
81	этом отношении	5	8
82	по мысли	2	8
83	в литературе	9	8
84	и для	3	8
85	в самом	7	8
86	и к	7	8
87	в той	5	8
88	же время	5	8
89	в таком	2	8
90	он не	3	8
91	это не	4	7
92	при всей	2	7
93	в конце	3	7
94	в чем	2	7
95	в ней	7	7
96	в целом	3	7
97	в ее	5	7
98	имеет место	2	7
99	же в	4	7
100	из наиболее	2	7
101	также и	3	7
102	с другой	3	7
