N	3gram	Bakhtin_Fr	Dialekti
1	с точки зрения	4	46
2	в том что	2	25
3	не может быть	2	18
4	то же время	13	15
5	в то же	13	14
6	о том что	3	12
7	с другой стороны	5	12
8	подобно тому как	2	9
9	это и есть	2	9
10	только то что	2	8
11	той или иной	2	7
12	вовсе не в	2	7
13	можно сказать что	2	7
14	в связи с	5	7
15	и прежде всего	3	6
16	для того чтобы	5	6
17	может быть и	2	6
18	во всяком случае	2	6
19	как и все	5	6
20	с одной стороны	4	6
21	и в то	2	6
22	на самом деле	5	5
23	в конце концов	3	5
24	до сих пор	6	5
25	одной и той	2	5
26	и той же	2	5
27	по сравнению с	2	5
28	может быть в	2	4
29	в данном случае	3	4
30	но даже и	2	4
31	одной стороны и	2	4
32	в этом отношении	4	4
33	можно было бы	2	4
34	не было ни	3	3
35	но в то	7	3
36	как и в	2	3
37	не только в	3	3
38	но все же	2	3
39	это вовсе не	2	3
40	тех или иных	2	3
41	в той или	2	3
42	некоторые из них	3	2
43	есть и в	2	2
44	дело вовсе не	2	2
45	руки и ноги	3	2
46	прежде всего необходимо	3	2
47	мы видим что	2	2
48	дело в том	2	2
49	мы уже сказали	2	2
50	в свою очередь	2	2
