N	3gram	Losev_Vlad	Problemy
1	то же время	7	26
2	в то же	7	26
3	в этом смысле	4	16
4	не может быть	4	14
5	но в то	2	11
6	в конце концов	6	11
7	во всяком случае	8	9
8	с другой стороны	3	9
9	в том что	13	8
10	бы то ни	2	7
11	как раз и	2	7
12	и в то	3	7
13	и т д	3	7
14	том что он	4	6
15	к тому же	3	5
16	тем не менее	8	4
17	более или менее	5	4
18	о том что	9	4
19	как мы сказали	2	4
20	в этом отношении	2	4
21	хотя и не	2	4
22	в то время	6	3
23	как мы знаем	3	3
24	как мы уже	3	3
25	и до конца	2	3
26	нам кажется что	2	3
27	все это было	2	3
28	на то что	6	3
29	как мы увидим	2	3
30	в настоящее время	2	3
31	то время как	2	3
32	можно сказать что	3	3
33	что и в	2	2
34	в письме к	12	2
35	то что он	6	2
36	и в том	2	2
37	но это не	2	2
38	начала и до	2	2
39	он не только	2	2
40	что он не	3	2
41	но в общем	2	2
42	что же касается	8	2
43	у него в	2	2
44	на этот раз	7	2
45	не только в	3	2
46	с начала и	2	2
47	в том же	3	2
48	раз и навсегда	2	2
49	вместе с тем	2	2
50	дело в том	7	2
51	для того чтобы	3	2
52	в свою очередь	2	2
