N	2gram	Voloshinov	Vvedenie
1	в том	13	38
2	в этом	27	35
3	и в	32	35
4	том что	12	30
5	может быть	50	30
6	не только	18	26
7	для того	8	23
8	того чтобы	9	22
9	таким образом	29	21
10	не может	40	19
11	то что	12	19
12	потому что	2	18
13	со стороны	2	16
14	о том	4	16
15	только в	14	16
16	так как	5	15
17	языка и	28	15
18	и не	42	13
19	что в	5	13
20	в самом	14	13
21	в нем	17	13
22	в их	5	12
23	того что	5	12
24	что такое	3	12
25	точки зрения	48	12
26	в его	10	12
27	как на	2	12
28	этом смысле	2	11
29	в данном	8	11
30	то же	19	11
31	по себе	5	11
32	в ее	9	11
33	как мы	26	11
34	ясно что	6	11
35	вопрос о	6	10
36	не в	13	10
37	прежде всего	19	10
38	но в	13	10
39	в той	6	10
40	между тем	8	10
41	из этих	3	9
42	тем не	3	9
43	и как	8	9
44	все же	13	9
45	смысле этого	7	9
46	но не	2	9
47	не менее	5	9
48	науки о	6	9
49	в истории	5	9
50	это не	5	8
51	можно было	2	8
52	с другой	6	8
53	а только	2	8
54	именно в	6	8
55	широком смысле	2	8
56	в качестве	4	8
57	в широком	2	7
58	и то	4	7
59	самом деле	18	7
60	сих пор	10	7
61	как и	19	7
62	как бы	31	7
63	этот вопрос	5	7
64	смысле слова	4	7
65	но и	17	7
66	в разных	2	7
67	было бы	8	7
68	до сих	10	7
69	сказать что	7	6
70	его в	7	6
71	не могут	4	6
72	истории языка	5	6
73	хотя бы	8	6
74	иное как	2	6
75	и даже	4	6
76	но если	2	6
77	о языке	9	6
78	к истории	2	6
79	тем что	3	6
80	как он	3	6
81	в какой	5	6
82	так например	2	6
83	на этот	3	6
84	и это	6	6
85	а в	5	6
86	культуры как	2	6
87	уже не	2	6
88	могут быть	4	6
89	в то	7	6
90	и что	2	6
91	и его	33	6
92	все это	4	6
93	же время	7	6
94	этом случае	3	6
95	вовсе не	15	6
96	вместе с	2	6
97	независимо от	3	5
98	с их	2	5
99	имеет дело	2	5
100	не что	2	5
101	и т.д	6	5
102	в виду	2	5
103	и тем	4	5
104	а как	7	5
105	одним из	4	5
106	с этой	2	5
107	что он	5	5
108	так что	2	5
109	быть в	2	5
110	что не	4	5
111	от этого	3	5
112	как это	2	5
113	на почве	14	5
114	или вообще	2	5
115	не есть	6	5
116	язык как	13	5
117	другой стороны	7	5
118	уже в	3	5
119	в целом	2	5
120	всяком случае	4	5
121	что и	5	5
122	языка в	17	5
123	говорить о	2	5
124	не просто	2	5
125	а не	15	5
126	в первом	3	5
127	во всяком	8	5
128	еще и	2	4
129	все более	2	4
130	эти области	2	4
131	само по	2	4
132	языке и	2	4
133	в результате	9	4
134	одной стороны	2	4
135	и ее	4	4
136	в области	3	4
137	этот процесс	4	4
138	по отношению	10	4
139	в каждом	8	4
140	только что	2	4
141	должен быть	2	4
142	связана с	4	4
143	этом отношении	4	4
144	но ведь	4	4
145	как о	2	4
146	еще не	7	4
