N	2gram	Medvedev_U	VelikijI
1	и не	8	20
2	и в	14	16
3	то что	7	9
4	а не	10	7
5	не есть	2	6
6	но и	4	5
7	все это	5	5
8	что все	2	4
9	как и	3	4
10	что мы	2	4
11	в его	2	4
12	в этом	7	4
13	что он	2	4
14	превращается в	2	3
15	в том	2	3
16	и для	2	3
17	но в	3	3
18	но это	2	3
19	бы и	2	3
20	хотя бы	5	3
21	в своей	3	3
22	в конце	2	3
23	что и	2	3
24	если не	2	3
25	не в	2	3
26	должна быть	2	3
27	с его	2	3
28	и то	3	2
29	но не	2	2
30	это не	3	2
31	не только	10	2
32	не могут	2	2
33	является в	2	2
34	том что	2	2
35	а между	2	2
36	могут быть	2	2
37	более чем	2	2
38	тем что	2	2
39	вот почему	7	2
40	мы не	2	2
41	конечно не	4	2
42	только в	2	2
43	его и	2	2
44	прежде всего	8	2
45	между тем	2	2
46	мы и	2	2
47	для него	3	2
