N	2gram	Bakhtin_Pr	VerxiiNi
1	и в	59	26
2	таким образом	22	22
3	в этом	40	15
4	вместе с	2	15
5	точки зрения	36	13
6	как бы	40	12
7	в том	17	11
8	не только	26	10
9	из этих	2	10
10	и с	10	10
11	может быть	38	10
12	что в	14	9
13	так как	11	9
14	в области	3	9
15	но и	22	9
16	но не	13	8
17	с другой	3	8
18	и у	6	8
19	и не	66	8
20	как на	4	8
21	но все	8	7
22	к нему	13	7
23	потому что	20	7
24	из них	8	7
25	то что	21	7
26	но в	7	7
27	том что	15	7
28	а с	4	7
29	в отношении	3	6
30	все же	9	6
31	о том	5	6
32	мы должны	6	6
33	в себе	9	6
34	в конце	9	6
35	несмотря на	7	6
36	всяком случае	3	6
37	что и	10	6
38	с точки	21	6
39	и т.д	2	6
40	все эти	12	6
41	все это	12	6
42	и потому	9	6
43	так и	13	6
44	во всяком	5	6
45	никогда не	19	5
46	в мире	10	5
47	и для	5	5
48	не имеет	2	5
49	так же	10	5
50	и к	5	5
51	друг с	4	5
52	отношение к	4	5
53	того чтобы	5	5
54	лишь в	4	5
55	в его	44	5
56	крайней мере	3	5
57	для того	3	5
58	с другом	4	5
59	а не	30	5
60	по крайней	3	5
61	образом в	2	5
62	сих пор	3	5
63	до сих	3	5
64	на этот	2	4
65	и от	3	4
66	что все	5	4
67	далеко не	3	4
68	а в	9	4
69	с другими	11	4
70	в котором	6	4
71	в самом	19	4
72	в нем	38	4
73	не может	31	4
74	в смысле	4	4
75	в которых	2	4
76	что оно	2	4
77	то есть	64	4
78	из которых	3	4
79	то же	15	4
80	и что	2	4
81	и по	4	4
82	в этих	5	4
83	только в	15	4
84	что он	16	4
85	и только	2	4
86	он не	11	4
87	ничем не	2	4
88	в этой	5	4
89	в то	15	4
90	в рамках	2	3
91	в своем	12	3
92	с самого	3	3
93	но с	4	3
94	к ним	3	3
95	точно так	2	3
96	уже не	14	3
97	хотя бы	5	3
98	и нет	2	3
99	к этому	6	3
100	в результате	6	3
101	в которой	6	3
102	русский народ	2	3
103	и даже	4	3
104	и как	10	3
105	из которого	2	3
106	за собой	3	3
107	если бы	12	3
108	же как	5	3
109	при этом	5	3
110	конце концов	7	3
111	не менее	3	3
112	на западе	2	3
113	и другие	4	3
114	в таком	2	3
115	так что	3	3
116	и о	5	3
117	можно сказать	3	3
118	отношению к	17	3
119	в одном	14	3
120	того что	4	3
121	для него	23	3
122	не исчерпывается	3	2
123	мы видели	3	2
124	одно из	2	2
125	сказать что	9	2
126	от них	3	2
127	которые в	2	2
128	для этого	4	2
129	этой точки	3	2
130	с идеей	4	2
131	по сравнению	2	2
132	и это	5	2
133	или иной	3	2
134	не могут	6	2
135	в самой	10	2
136	относится к	2	2
137	он в	3	2
138	мы имеем	2	2
139	ни один	5	2
140	в процессе	4	2
141	мы можем	3	2
142	в начале	3	2
143	между тем	5	2
144	не потому	4	2
145	одним из	11	2
146	только что	3	2
147	благодаря этому	2	2
148	сознании и	3	2
149	не как	15	2
150	именно в	8	2
151	конечно не	7	2
152	отличается от	3	2
153	если не	2	2
154	приводит к	4	2
155	с одним	2	2
156	тогда когда	2	2
157	в образе	4	2
158	те же	3	2
159	среди них	3	2
160	что мы	2	2
161	в них	5	2
162	и особенно	2	2
163	и на	15	2
164	и здесь	5	2
165	уже в	9	2
166	еще не	11	2
167	к другу	4	2
168	все что	6	2
169	так чтобы	3	2
170	наконец в	2	2
171	жизни и	21	2
172	что именно	2	2
173	не было	5	2
174	по своим	4	2
175	превращается в	4	2
176	самого начала	4	2
177	этом отношении	7	2
178	и мир	4	2
179	на пути	2	2
180	от человека	2	2
181	не в	10	2
182	только для	2	2
183	и наконец	5	2
184	то ни	3	2
185	ни было	4	2
186	той или	3	2
187	перестает быть	4	2
188	ее с	3	2
189	и все	4	2
190	же время	10	2
191	героев и	7	2
192	один из	4	2
193	в виду	2	2
194	сравнению с	2	2
195	и перед	3	2
196	должна была	4	2
197	них не	2	2
198	быть даже	2	2
199	людей и	2	2
200	прежде всего	17	2
201	его не	2	2
202	бы то	3	2
203	тот же	4	2
204	с его	14	2
205	во всех	8	2
206	в другое	3	2
207	по существу	5	2
