N	2gram	Tiupa_Hudo	Sovremen
1	не может	9	17
2	точки зрения	11	12
3	может быть	19	12
4	таким образом	3	11
5	и в	23	7
6	в этом	12	7
7	и не	16	6
8	как и	3	6
9	с точки	3	5
10	все эти	2	5
11	прежде всего	5	5
12	это не	4	4
13	не только	20	4
14	в том	20	4
15	как бы	11	4
16	их в	3	4
17	если мы	2	4
18	в целом	3	4
19	а в	13	4
20	и т.д	4	3
21	и потому	2	3
22	но в	10	3
23	при этом	19	3
24	не в	9	3
25	в области	8	3
26	в себе	13	3
27	еще не	4	3
28	одна из	2	3
29	все это	2	3
30	в нем	6	3
31	между собой	2	3
32	а не	13	3
33	и к	3	3
34	что она	2	3
35	в этой	2	3
36	то же	12	3
37	в одном	3	3
38	отличается от	2	3
39	отнюдь не	2	3
40	в системе	3	3
41	и по	2	2
42	быть и	2	2
43	роль в	2	2
44	а на	5	2
45	не менее	5	2
46	в его	11	2
47	он должен	3	2
48	и что	4	2
49	что такое	2	2
50	такого рода	12	2
51	приводит к	6	2
52	свою очередь	2	2
53	из этих	3	2
54	тот или	3	2
55	в самом	7	2
56	что в	7	2
57	времени и	2	2
58	в таком	3	2
59	в которой	3	2
60	у него	2	2
61	самом деле	2	2
62	каждая из	2	2
63	уже не	6	2
64	в свою	3	2
65	то ни	2	2
66	в нашем	2	2
67	могут быть	5	2
68	в отличие	7	2
69	отличие от	7	2
70	с одной	3	2
71	на этом	2	2
72	говорить о	4	2
73	этих двух	2	2
74	или иной	9	2
75	тем не	3	2
76	на котором	2	2
77	о жизни	2	2
78	из которых	2	2
