N	2gram	Propp_Morf	KFilosof
1	может быть	61	45
2	не может	19	29
3	и не	16	28
4	и в	17	28
5	по отношению	7	26
6	отношению к	7	22
7	и его	3	18
8	только в	3	18
9	а не	11	17
10	в этом	18	15
11	не в	3	13
12	для него	2	13
13	точки зрения	7	13
14	но не	8	12
15	к нему	3	12
16	ни в	3	12
17	во всех	6	11
18	все эти	5	11
19	это не	6	10
20	в целом	5	10
21	и для	4	10
22	все это	2	10
23	с точки	6	10
24	и есть	3	10
25	но и	9	9
26	как бы	6	9
27	себя в	2	8
28	если бы	3	8
29	со стороны	5	8
30	было бы	5	8
31	и здесь	7	7
32	то что	10	7
33	уже не	4	7
34	и только	3	7
35	что и	10	7
36	момент в	2	7
37	вовсе не	6	7
38	этот момент	5	7
39	в том	10	6
40	но все	4	6
41	не имеет	2	6
42	и их	3	6
43	но это	6	6
44	он не	5	6
45	не значит	3	6
46	его в	4	5
47	все же	9	5
48	не только	8	5
49	мы имеем	19	5
50	но как	3	5
51	хотя бы	5	5
52	то же	10	5
53	еще не	4	5
54	не знает	2	5
55	а в	8	5
56	но в	4	5
57	как и	4	5
58	в одном	2	5
59	там где	5	5
60	себя и	2	5
61	в основе	2	5
62	в каком	2	4
63	что это	3	4
64	том что	7	4
65	что в	10	4
66	могла бы	4	4
67	не по	2	4
68	ни было	2	4
69	прежде всего	14	4
70	в чем	2	4
71	здесь мы	3	4
72	в своих	2	4
73	входит в	4	4
74	для нас	2	4
75	должна быть	2	4
76	между тем	5	4
77	ничего не	5	3
78	в то	4	3
79	на самом	4	3
80	от него	2	3
81	здесь не	3	3
82	в другом	2	3
83	от того	4	3
84	это и	3	3
85	тем что	4	3
86	и тем	3	3
87	та же	3	3
88	для того	3	3
89	самом деле	4	3
90	к чему	3	3
91	и тот	2	3
92	и пр	45	3
93	по своему	2	3
94	и этот	2	3
95	для этой	3	3
96	не менее	7	3
97	независимо от	4	3
98	о том	6	3
99	что этот	2	3
100	могут быть	21	3
101	но для	3	3
102	и этим	7	3
103	но здесь	2	3
104	того что	3	3
105	мы не	8	3
106	из его	2	3
107	а эта	2	3
108	может дать	2	3
109	быть и	2	3
110	ясно что	5	3
111	с этого	2	2
112	в данном	2	2
113	говорить о	4	2
114	и ее	5	2
115	и отсюда	3	2
116	то ни	3	2
117	к этому	4	2
118	дело не	2	2
119	вопрос о	10	2
120	это было	3	2
121	к себе	2	2
122	другого и	2	2
123	тем не	7	2
124	и как	6	2
125	себя за	2	2
126	в виде	3	2
127	а с	2	2
128	герой и	4	2
129	что он	5	2
130	из которых	5	2
131	и за	2	2
132	нами в	4	2
133	так и	10	2
134	ни к	2	2
135	всех других	2	2
136	его и	2	2
137	с тем	2	2
138	это уже	3	2
139	вытекает из	2	2
140	как в	5	2
141	тому что	5	2
142	она не	2	2
143	он может	2	2
144	на нем	3	2
145	но есть	3	2
146	стороны ее	2	2
147	ни одна	4	2
148	оно не	2	2
149	имеем в	8	2
150	а по	3	2
151	которой все	2	2
152	один из	7	2
153	это можно	2	2
154	чему не	2	2
155	потому что	7	2
156	совсем не	3	2
157	может не	2	2
158	того чтобы	4	2
159	и когда	2	2
160	что эта	2	2
161	знать что	2	2
162	лишь с	2	2
163	в качестве	8	2
164	в этой	3	2
165	мы получим	2	2
166	бы то	3	2
167	с его	3	2
