N	2gram	Voloshinov	Problemy
1	и в	32	106
2	и не	42	90
3	как бы	31	70
4	может быть	50	66
5	в его	10	56
6	в этом	27	52
7	в нем	17	51
8	не может	40	49
9	чужое слово	8	49
10	что он	5	44
11	как и	19	44
12	но и	17	40
13	точки зрения	48	40
14	для него	18	39
15	и его	33	39
16	а не	15	38
17	не только	18	36
18	то же	19	36
19	в пределах	7	35
20	то что	12	33
21	но в	13	33
22	прежде всего	19	32
23	чужого слова	8	29
24	в то	7	29
25	все это	4	29
26	он не	5	29
27	и все	8	28
28	не в	13	27
29	в одном	2	27
30	к другому	7	27
31	же время	7	26
32	к нему	5	25
33	в сущности	17	25
34	с точки	31	25
35	в самом	14	25
36	и с	4	25
37	самом деле	18	24
38	не как	5	24
39	вовсе не	15	24
40	рядом с	7	23
41	слова и	8	23
42	и на	8	23
43	таким образом	29	22
44	в каждом	8	22
45	по себе	5	22
46	как мы	26	21
47	там где	4	21
48	никогда не	7	20
49	все же	13	20
50	потому что	2	20
51	только в	14	20
52	что в	5	19
53	с его	6	19
54	отношению к	9	19
55	слова в	8	19
56	что же	5	19
57	на самом	10	18
58	в себе	5	18
59	по отношению	10	18
60	все эти	8	18
61	уже не	2	18
62	еще не	7	18
63	но не	2	18
64	это не	5	17
65	в том	13	17
66	так и	21	17
67	а в	5	17
68	и к	3	17
69	так же	10	16
70	в другом	5	16
71	если бы	12	16
72	в своей	5	16
73	этом смысле	2	16
74	до конца	6	15
75	и для	15	15
76	у него	2	15
77	на чужое	3	14
78	в отношении	7	14
79	так как	5	14
80	в своем	3	14
81	в конце	5	14
82	лишь в	17	14
83	он и	2	14
84	себя самого	2	14
85	как раз	5	14
86	а как	7	14
87	его в	7	13
88	в романе	2	13
89	и это	6	13
90	большинстве случаев	7	13
91	в целом	2	13
92	себя и	2	13
93	с другими	6	13
94	но все	4	13
95	в большинстве	7	13
96	точка зрения	8	13
97	том что	12	12
98	в одной	4	12
99	слово в	5	12
100	ничего не	9	12
101	так что	2	12
102	к тому	8	12
103	между тем	8	12
104	не знает	4	12
105	что и	5	12
106	при этом	13	12
107	было бы	8	12
108	во всяком	8	12
109	так сказать	19	12
110	за пределы	8	12
111	и даже	4	12
112	и как	8	12
113	как в	5	12
114	себе и	2	12
115	отношении к	8	12
116	в котором	6	12
117	и что	2	12
118	не могут	4	11
119	в форме	3	11
120	слово и	4	11
121	пределах одного	2	11
122	конце концов	3	11
123	она не	2	11
124	дело идет	4	11
125	этого слова	7	11
126	бы и	2	11
127	должно быть	4	11
128	бы в	4	11
129	тем что	3	11
130	сознания и	6	11
131	или как	3	11
132	с другой	6	11
133	более того	7	11
134	входит в	5	11
135	мы уже	7	11
136	к одному	5	10
137	для себя	4	10
138	говорит он	2	10
139	что не	4	10
140	самого начала	9	10
141	до сих	10	10
142	сих пор	10	10
143	лишь как	2	10
144	далеко не	5	10
145	приводит к	3	10
146	той же	5	10
147	в слове	13	10
148	и потому	7	9
149	в единстве	5	9
150	с самого	9	9
151	или в	4	9
152	могут быть	4	9
153	в единство	4	9
154	другой стороны	7	9
155	хотя бы	8	9
156	друг с	2	9
157	человека в	3	9
158	из одного	4	9
159	ни в	7	9
160	всяком случае	4	9
161	в той	6	9
162	мы должны	4	8
163	но как	3	8
164	уже в	3	8
165	его целом	2	8
166	как к	2	8
167	одним из	4	8
168	это и	3	8
169	того что	5	8
170	здесь не	2	8
171	же не	2	8
172	с ними	5	8
173	и до	4	8
174	не на	2	8
175	должна быть	6	8
176	и от	6	8
177	менее всего	5	8
178	что это	3	8
179	бы он	3	8
180	и он	4	8
181	с их	2	8
182	мы увидим	3	8
183	ни было	15	8
184	в результате	9	8
185	о том	4	8
186	и так	2	8
187	с другом	2	8
188	из них	3	8
189	же и	3	8
190	переходим к	3	8
191	вопрос о	6	7
192	были бы	2	7
193	его к	4	7
194	и следовательно	8	7
195	от него	4	7
196	в этих	2	7
197	в их	5	7
198	к своему	2	7
199	точку зрения	4	7
200	в виду	2	7
201	и др	3	7
202	его и	3	7
203	в процессе	31	7
204	к самому	2	7
205	только на	7	7
206	мира и	2	7
207	между ними	6	7
208	как слово	5	7
209	что все	3	7
210	то ни	12	7
