N	3gram	Ircho_Kome	FransuaR
1	в то же	5	55
2	то же время	5	55
3	до сих пор	3	27
4	в том числе	4	27
5	в том что	13	27
6	в большинстве случаев	2	22
7	в этом отношении	3	20
8	для того чтобы	3	17
9	о том что	6	17
10	в связи с	3	16
11	но и в	2	15
12	с одной стороны	5	13
13	в той же	2	13
14	с другой стороны	6	12
15	в отличие от	3	11
16	в конце концов	4	10
17	как и в	2	10
18	по отношению к	5	9
19	таким образом в	2	8
20	после того как	3	8
21	на протяжении всего	3	8
22	можно было бы	3	7
23	в то время	8	7
24	с самого начала	2	6
25	к тому же	12	6
26	в этой же	2	6
27	за то что	4	6
28	в новое время	2	6
29	во всяком случае	4	5
30	то же самое	2	5
31	в это время	3	5
32	и его современников	3	5
33	дошедших до нас	4	4
34	что и в	2	4
35	в одном из	4	4
36	в самом начале	3	4
37	во второй половине	3	4
38	бы то ни	4	3
39	в этом смысле	2	3
40	именно потому что	2	3
41	вместе с тем	4	3
42	друг от друга	2	3
43	о том насколько	2	2
44	для этой цели	2	2
45	каждый из них	2	2
46	как он был	2	2
47	в тех же	3	2
48	то ни было	4	2
49	том что он	4	2
50	то что он	2	2
51	при этом что	2	2
52	видеть в нем	2	2
53	мы можем судить	2	2
54	что у него	3	2
