N	3gram	Propp_Isto	Morfolog
1	и т д	35	60
2	в этих случаях	10	14
3	мы видим что	12	11
4	в этом случае	3	10
5	не может быть	8	9
6	в связи с	5	9
7	таким образом мы	3	7
8	по отношению к	6	7
9	тем не менее	7	6
10	мы увидим ниже	5	6
11	в иное царство	7	6
12	подобно тому как	3	5
13	с другой стороны	7	5
14	как мы увидим	2	5
15	на самом деле	2	4
16	но все же	7	4
17	в том что	6	4
18	образом мы видим	2	4
19	т д но	2	4
20	о том что	5	3
21	бы то ни	2	3
22	то время как	3	3
23	в то время	3	3
24	в большинстве случаев	4	3
25	на первый взгляд	2	3
26	в руки героя	2	3
27	на то что	5	3
28	мы имеем в	4	2
29	то же происходит	2	2
30	в таких случаях	4	2
31	вопрос о том	2	2
32	то что в	2	2
33	дело не в	2	2
34	то ни было	2	2
35	мы увидим что	8	2
36	не что иное	3	2
37	что иное как	3	2
38	для наших целей	2	2
39	но так как	2	2
40	более или менее	5	2
41	мы не будем	4	2
42	но если это	2	2
43	руки героя попадает	2	2
44	с того что	3	2
45	начинается с того	2	2
46	оно может быть	2	2
47	и тем не	2	2
48	мы уже видели	4	2
49	точно так же	8	2
50	героя из дома	2	2
51	о том как	2	2
52	до наших дней	2	2
53	отсюда вывод что	2	2
54	на курьих ножках	5	2
55	если это так	2	2
56	можно было бы	5	2
57	с одной стороны	7	2
