N	3gram	Voloshinov	Vladivir
1	о том что	2	22
2	в связи с	2	12
3	в конце концов	3	11
4	в то же	9	10
5	с точки зрения	5	10
6	не может быть	2	10
7	вместе с тем	2	10
8	то же время	7	9
9	как мы видели	3	6
10	и в то	2	5
11	само собой разумеется	2	5
12	не только в	3	5
13	можно сказать что	2	4
14	как мы уже	3	4
15	не что иное	2	4
16	в этом отношении	2	4
17	мы будем говорить	2	4
18	для того чтобы	7	4
19	что иное как	2	4
20	с самого начала	4	3
21	в самом деле	2	3
22	к тому что	2	3
23	в свою очередь	4	3
24	и то же	5	2
25	но в то	2	2
26	то что мы	4	2
27	как мы увидим	2	2
28	одно и то	5	2
29	и на его	2	2
30	есть не что	2	2
31	в этом случае	3	2
32	мы уже видели	3	2
33	связи с этим	2	2
