N	3gram	Bakhtin_Pr	Komedia
1	в том что	3	29
2	то же время	3	16
3	в то же	3	16
4	в самом деле	3	13
5	для того чтобы	2	11
6	и т п	13	11
7	по отношению к	19	9
8	с одной стороны	3	9
9	с другой стороны	4	8
10	то ни было	2	7
11	бы то ни	3	7
12	с точки зрения	6	6
13	в отличие от	5	6
14	то же самое	2	5
15	в этом отношении	2	5
16	тем не менее	3	5
17	можно было бы	3	4
18	ни в чем	2	3
19	в том же	2	3
20	но и в	2	3
21	в высшей степени	5	3
22	в чем не	2	3
23	в какой мере	2	3
24	в большинстве случаев	5	2
25	на первый план	2	2
26	так и в	2	2
27	не только в	2	2
28	в основе своей	3	2
29	в конечном счете	4	2
30	в этом смысле	3	2
31	и в то	2	2
32	в известной степени	2	2
