N	2gram	Vinokur_Ku	EvropaiE
1	и в	44	37
2	в отношении	2	32
3	в пределах	8	25
4	точки зрения	25	23
5	что в	25	21
6	не только	29	18
7	с точки	16	17
8	в то	4	16
9	хотя бы	19	15
10	то же	12	15
11	в своем	4	14
12	но в	11	14
13	но и	13	14
14	и не	23	14
15	же время	4	14
16	в качестве	12	14
17	в этом	31	12
18	в том	47	11
19	в их	3	11
20	в области	15	11
21	так и	10	10
22	все более	2	9
23	т е	54	9
24	так же	8	9
25	в смысле	2	9
26	не может	13	9
27	отнюдь не	5	9
28	в себе	4	9
29	прежде всего	14	9
30	только в	15	9
31	одной стороны	2	8
32	между тем	11	8
33	в ее	2	8
34	было бы	28	8
35	в своей	4	8
36	с одной	3	8
37	к тому	8	8
38	также и	7	7
39	с другой	14	7
40	а также	3	7
41	как и	3	7
42	так как	16	7
43	между прочим	4	7
44	того что	11	7
45	том что	30	6
46	и даже	5	6
47	может быть	25	6
48	и на	8	6
49	с этой	4	6
50	того чтобы	25	6
51	для того	23	6
52	на то	6	6
53	то что	14	6
54	как бы	11	6
55	вовсе не	18	6
56	но не	11	5
57	от этого	4	5
58	тем самым	5	5
59	и по	4	5
60	и потому	6	5
61	столь же	2	5
62	но если	2	5
63	этой точки	4	5
64	в той	6	5
65	как мы	2	5
66	со стороны	8	5
67	не в	18	5
68	в частности	6	5
69	же как	3	5
70	даже в	4	4
71	сказать что	5	4
72	в каком	6	4
73	вопрос о	11	4
74	не имеет	6	4
75	или иного	5	4
76	или иной	3	4
77	во многих	3	4
78	само по	6	4
79	можно сказать	6	4
80	именно в	7	4
81	в самом	20	4
82	но даже	3	4
83	иными словами	10	4
84	в ней	6	4
85	для нас	6	4
86	по себе	10	4
87	несмотря на	6	4
88	тем более	2	4
89	не на	4	4
90	как это	6	4
91	то ни	2	4
92	того или	6	4
93	чем в	3	4
94	никогда не	2	3
95	европе и	2	3
96	с тем	5	3
97	и от	2	3
98	и для	3	3
99	можно считать	2	3
100	и только	2	3
101	к настоящему	2	3
102	о том	10	3
103	очевидно что	4	3
104	к ним	2	3
105	ли это	4	3
106	идет о	3	3
107	в данном	8	3
108	в общем	4	3
109	всего лишь	3	3
110	вообще не	2	3
111	того же	6	3
112	время в	2	3
113	в которых	8	3
114	в сфере	3	3
115	когда он	4	3
116	можно было	14	3
117	этом смысле	8	3
118	бы и	6	3
119	в свою	4	3
120	потребность в	3	3
121	в результате	8	3
122	мы можем	2	3
123	это так	2	3
124	уже и	3	3
125	из них	4	3
126	в известном	2	3
127	во все	2	3
128	в них	10	3
129	можно ли	6	3
130	всяком случае	8	3
131	на себя	3	3
132	мы видели	3	3
133	что и	5	3
134	там где	7	3
135	и мы	2	3
136	и тем	7	3
137	является ли	2	3
138	по своим	2	3
139	тем что	9	3
140	этом отношении	8	3
141	не является	2	3
142	на долю	3	3
143	потому что	40	3
144	в таком	3	3
145	себе в	3	3
146	как в	6	3
147	в стороне	2	3
148	связано с	3	3
149	как на	4	3
150	большинстве случаев	3	3
151	ее в	2	3
152	во всяком	8	3
153	дело в	2	3
154	есть в	6	2
155	данном случае	2	2
156	и если	4	2
157	представление о	3	2
158	на этот	4	2
159	если в	2	2
160	в его	16	2
161	в известных	3	2
162	не есть	4	2
163	на месте	2	2
164	что это	11	2
165	рано или	2	2
166	и то	7	2
167	что если	4	2
168	утверждать что	2	2
169	меньшей степени	2	2
170	не могут	5	2
171	а в	7	2
172	с этим	6	2
173	мы должны	2	2
174	и сейчас	3	2
175	в котором	4	2
176	ныне в	2	2
177	тому чтобы	2	2
178	с большой	2	2
179	но как	2	2
180	в сторону	2	2
181	далеко не	2	2
182	в своих	2	2
183	или поздно	2	2
184	и еще	4	2
185	только к	2	2
186	в большинстве	3	2
187	во многом	2	2
188	тем меньше	2	2
189	и с	11	2
190	бы в	8	2
191	этот вопрос	7	2
192	в случае	2	2
193	что на	2	2
194	во втором	2	2
195	могут быть	5	2
196	по преимуществу	3	2
197	не говоря	3	2
198	другой стороны	12	2
199	что все	6	2
200	но еще	4	2
201	между ними	2	2
202	тогда когда	7	2
203	на язык	4	2
204	в одном	4	2
205	течением времени	2	2
206	и как	3	2
207	что же	11	2
208	целый ряд	8	2
209	есть не	2	2
210	если бы	21	2
211	которое в	2	2
212	для них	2	2
213	иначе говоря	2	2
214	в этих	5	2
215	но также	6	2
216	в силу	16	2
217	как не	4	2
218	и того	2	2
219	а не	17	2
220	большей части	2	2
221	с течением	2	2
222	и что	11	2
223	то не	2	2
224	свою очередь	4	2
225	же в	5	2
226	и все	4	2
227	или в	5	2
228	наряду с	2	2
229	по сравнению	3	2
230	таким образом	17	2
231	а именно	4	2
232	в истории	3	2
233	он не	4	2
234	как будто	2	2
235	главным образом	3	2
236	случаях когда	2	2
237	следовало бы	2	2
238	что эти	4	2
239	ведь и	2	2
240	говоря уже	2	2
241	в этой	8	2
242	но с	2	2
243	меньше чем	2	2
244	ними и	2	2
245	всего в	2	2
246	хотя и	7	2
247	в какой	7	2
248	должна быть	6	2
249	вместе с	8	2
250	заключается в	3	2
251	на основе	2	2
252	и более	3	2
