N	2gram	Ircho_Kome	Myslijsy
1	потому что	8	182
2	и в	40	121
3	может быть	16	107
4	в том	19	103
5	то что	8	83
6	что в	12	73
7	и не	19	73
8	только в	6	72
9	не только	12	67
10	таким образом	13	64
11	том что	19	59
12	так как	6	59
13	в этом	9	59
14	но и	14	59
15	то же	7	56
16	не в	8	54
17	если бы	4	53
18	в себе	3	53
19	не может	3	52
20	по себе	2	52
21	в сознании	4	46
22	в нем	8	45
23	было бы	8	45
24	как и	12	42
25	так что	6	39
26	вместе с	8	39
27	мы не	4	38
28	что и	10	38
29	так и	17	37
30	при этом	5	37
31	как в	8	37
32	тем что	5	33
33	и что	2	32
34	по отношению	5	30
35	а в	9	30
36	но не	3	29
37	между тем	9	29
38	вовсе не	3	28
39	мы можем	6	28
40	могут быть	3	27
41	с этим	5	27
42	и т	11	26
43	то и	3	26
44	независимо от	5	26
45	отношению к	5	26
46	в то	14	24
47	с тем	5	23
48	от того	3	23
49	того как	3	23
50	как бы	3	23
51	но в	6	22
52	с другой	7	22
53	то это	3	22
54	не менее	6	21
55	в ней	2	20
56	в одном	10	20
57	это не	2	20
58	и как	3	19
59	что это	5	19
60	из этих	5	19
61	но это	2	19
62	тем не	3	19
63	о том	12	19
64	того же	4	19
65	для того	3	18
66	еще не	7	18
67	там же	4	18
68	по поводу	7	18
69	в самом	5	18
70	в его	8	17
71	со стороны	3	17
72	точки зрения	7	17
73	во всяком	4	17
74	уже в	9	17
75	в своем	6	16
76	к тому	15	16
77	в которой	9	16
78	только что	2	16
79	так же	4	16
80	в них	7	16
81	на то	3	16
82	и на	9	16
83	и по	6	15
84	т д	4	15
85	в этих	5	15
86	с одной	5	15
87	и тем	2	15
88	что он	11	15
89	прежде всего	8	15
90	в свою	2	15
91	в действительности	4	14
92	и без	3	14
93	связи с	3	14
94	в истории	10	14
95	столь же	9	14
96	в котором	6	14
97	все же	7	14
98	во всех	4	14
99	же время	5	14
100	и все	4	13
101	не следует	2	13
102	т п	7	13
103	образом в	2	13
104	из них	16	13
105	и его	17	13
106	как на	2	13
107	друг друга	2	12
108	что же	2	12
109	что на	4	12
110	все это	7	12
111	как мы	5	12
112	сих пор	3	12
113	или менее	2	12
114	в чем	3	12
115	только потому	2	12
116	хотя и	6	12
117	все остальные	3	12
118	относится к	2	12
119	другой стороны	6	12
120	в каждом	2	12
121	всяком случае	4	12
122	до сих	3	12
123	и притом	2	11
124	в силу	4	11
125	той же	3	11
126	того чтобы	4	11
127	в первом	2	11
128	только на	2	11
129	в состоянии	3	11
130	все что	3	11
131	и если	2	11
132	и их	3	11
133	его в	6	11
134	указывает на	2	11
