N	2gram	Vinokur_Ku	Sovremen
1	не может	13	17
2	точки зрения	25	12
3	может быть	25	12
4	таким образом	17	11
5	в каждом	3	8
6	и в	44	7
7	в этом	31	7
8	и не	23	6
9	ничего не	6	6
10	как и	3	6
11	в результате	8	6
12	мы можем	2	6
13	что же	11	5
14	с точки	16	5
15	все эти	17	5
16	прежде всего	14	5
17	вопрос о	11	4
18	мы видели	3	4
19	зависимости от	9	4
20	это не	13	4
21	не только	29	4
22	в том	47	4
23	в зависимости	7	4
24	мы должны	2	4
25	как бы	11	4
26	так как	16	4
27	же это	2	4
28	точку зрения	2	4
29	если мы	5	4
30	в целом	5	4
31	вместе с	8	4
32	а в	7	4
33	из них	4	4
34	с помощью	12	4
35	для нас	6	3
36	к действию	2	3
37	и мы	2	3
38	когда мы	3	3
39	и потому	6	3
40	на этой	4	3
41	но в	11	3
42	а все	2	3
43	при этом	6	3
44	не в	18	3
45	все же	17	3
46	мы получаем	2	3
47	было бы	28	3
48	в области	15	3
49	уже в	5	3
50	в себе	4	3
51	еще не	10	3
52	у нас	19	3
53	и все	4	3
54	все это	10	3
55	в нем	7	3
56	а не	17	3
57	в первом	3	3
58	что она	5	3
59	в этой	8	3
60	то же	12	3
61	в одном	4	3
62	отличается от	2	3
63	отнюдь не	5	3
64	так называемых	3	3
65	в конце	5	3
66	в системе	3	3
67	ясно что	7	3
68	может иметь	3	2
69	но все	5	2
70	на его	3	2
71	на этот	4	2
72	о значении	2	2
73	и по	4	2
74	всяком случае	8	2
75	что все	6	2
76	роль в	6	2
77	а на	3	2
78	не менее	12	2
79	той же	5	2
80	первый период	2	2
81	не могут	5	2
82	в его	16	2
83	он должен	2	2
84	с этим	6	2
85	и пр	23	2
86	и что	11	2
87	то и	4	2
88	во всяком	8	2
89	что такое	8	2
90	в науке	4	2
91	приводит к	3	2
92	такие же	2	2
93	свою очередь	4	2
94	из этих	5	2
95	так сказать	5	2
96	в самом	20	2
97	и есть	3	2
98	или же	3	2
99	знаем что	3	2
100	что в	25	2
101	в настоящее	2	2
102	совершенно не	4	2
103	все те	3	2
104	в таком	3	2
105	в которой	7	2
106	у него	3	2
107	из одного	3	2
108	самом деле	17	2
109	в живом	2	2
110	уже не	13	2
111	в свою	4	2
112	то ни	2	2
113	в нашем	8	2
114	возможность и	2	2
115	говорим о	3	2
116	могут быть	5	2
117	в отличие	3	2
118	отличие от	3	2
119	настоящее время	2	2
120	тот же	7	2
121	с одной	3	2
122	на этом	4	2
123	как мы	2	2
124	говорить о	5	2
125	мы с	3	2
126	мы знаем	3	2
127	что это	11	2
128	или иной	3	2
129	тем не	10	2
130	из которых	3	2
131	и даже	5	2
132	и именно	3	2
133	тем же	2	2
