N	2gram	Losev_Dial	EvropaiE
1	и в	35	37
2	в отношении	5	32
3	точки зрения	25	23
4	что в	19	21
5	не только	26	18
6	с точки	18	17
7	в то	10	16
8	отношении к	3	15
9	хотя бы	6	15
10	то же	21	15
11	в своем	7	14
12	но в	8	14
13	но и	17	14
14	и не	51	14
15	же время	9	14
16	в качестве	2	14
17	в этом	18	12
18	в том	20	11
19	в их	5	11
20	в области	2	11
21	так и	18	10
22	т е	49	9
23	так же	6	9
24	в смысле	5	9
25	не может	16	9
26	отнюдь не	13	9
27	в себе	23	9
28	прежде всего	14	9
29	только в	7	9
30	одной стороны	3	8
31	между тем	3	8
32	в ее	3	8
33	думать что	3	8
34	было бы	14	8
35	в своей	9	8
36	с одной	4	8
37	к тому	6	8
38	по своему	4	7
39	также и	7	7
40	с другой	10	7
41	как и	10	7
42	так как	24	7
43	того что	6	7
44	том что	18	6
45	вслед за	2	6
46	во всех	3	6
47	и даже	23	6
48	может быть	30	6
49	стороны и	4	6
50	с этой	3	6
51	для того	2	6
52	на то	5	6
53	то что	25	6
54	как бы	19	6
55	вовсе не	19	6
56	но не	9	5
57	от этого	5	5
58	и по	5	5
59	и потому	6	5
60	но если	6	5
61	этой точки	2	5
62	в той	4	5
63	как мы	5	5
64	со стороны	2	5
65	не в	12	5
66	в виде	2	5
67	в частности	4	5
68	же как	3	5
69	даже в	6	4
70	сказать что	19	4
71	в каком	10	4
72	вопрос о	3	4
73	и притом	7	4
74	не имеет	15	4
75	или иной	4	4
76	само по	7	4
77	можно сказать	10	4
78	то в	8	4
79	независимо от	2	4
80	именно в	4	4
81	в самом	6	4
82	в полной	2	4
83	в ней	4	4
84	по себе	39	4
85	несмотря на	12	4
86	тем более	2	4
87	к ней	4	4
88	ни было	2	4
89	той или	11	4
90	как это	8	4
91	никогда не	18	3
92	с тем	2	3
93	и от	5	3
94	и для	2	3
95	ни на	8	3
96	и только	5	3
97	нельзя ли	2	3
98	о том	8	3
99	к ним	3	3
100	ли это	4	3
101	в данном	5	3
102	в общем	2	3
103	вообще не	2	3
104	в которых	2	3
105	в сфере	2	3
106	когда он	2	3
107	можно было	5	3
108	этом смысле	4	3
109	мира и	2	3
110	бы и	4	3
111	бы ни	3	3
112	и к	8	3
113	в определенном	2	3
114	в результате	2	3
115	мы можем	5	3
116	уже и	5	3
117	не будет	2	3
118	из них	5	3
119	в них	4	3
120	можно ли	3	3
121	всяком случае	3	3
122	что и	7	3
123	друг с	2	3
124	и мы	8	3
125	и тем	2	3
126	тем что	2	3
127	говорит о	6	3
128	этом отношении	2	3
129	не является	3	3
130	потому что	23	3
131	себе не	7	3
132	в таком	4	3
133	с другом	2	3
134	как в	3	3
135	связано с	2	3
136	ее в	2	3
137	во всяком	5	3
138	есть в	2	2
139	и если	5	2
140	в мире	3	2
141	если в	5	2
142	в его	4	2
143	не есть	67	2
144	что это	21	2
145	одна и	5	2
146	и то	15	2
147	что если	4	2
148	утверждать что	3	2
149	к нему	12	2
150	не могут	4	2
151	как же	8	2
152	помнить что	2	2
153	она не	10	2
154	а в	8	2
155	с этим	5	2
156	из того	2	2
157	мы должны	6	2
158	или по	2	2
159	с другими	2	2
160	и сейчас	3	2
161	в котором	5	2
162	заметить что	2	2
163	но как	7	2
164	далеко не	2	2
165	и еще	4	2
166	только к	2	2
167	стороны в	2	2
168	и с	10	2
169	бы в	3	2
170	не нужно	2	2
171	что на	2	2
172	могут быть	6	2
173	другой стороны	7	2
174	если брать	3	2
175	есть ли	3	2
176	что все	2	2
177	бороться с	2	2
178	не дают	2	2
179	тогда когда	6	2
180	по своей	5	2
181	и та	8	2
182	в одном	4	2
183	и можно	3	2
184	и как	14	2
185	мог бы	3	2
186	ко всему	3	2
187	что же	5	2
188	есть не	8	2
189	если бы	12	2
190	которое в	2	2
191	в этих	6	2
192	жизни и	9	2
193	или хотя	2	2
194	в силу	6	2
195	еще более	3	2
196	как не	4	2
197	а не	24	2
198	и тут	6	2
199	мы видим	6	2
200	и что	17	2
201	или точнее	2	2
202	происходит в	2	2
203	то не	4	2
204	можем сказать	3	2
205	же в	2	2
206	точка зрения	3	2
207	и все	11	2
208	или в	2	2
209	по сравнению	2	2
210	таким образом	5	2
211	а именно	3	2
212	это значит	18	2
213	он не	5	2
214	как будто	7	2
215	такой же	2	2
216	главным образом	2	2
217	сравнению с	2	2
218	и эта	3	2
219	что эти	3	2
220	не к	2	2
221	в этой	3	2
222	но с	4	2
223	хотя и	4	2
224	в какой	3	2
225	должна быть	5	2
226	эти последние	3	2
227	вместе с	3	2
228	заключается в	4	2
229	он сам	6	2
230	будет ли	2	2
231	и более	7	2
232	при условии	3	2
