N	3gram	Tiupa_Disk	Vvedenie
1	в том что	18	15
2	о том что	8	13
3	не может быть	5	10
4	в то же	7	6
5	в этом случае	3	6
6	то же время	9	6
7	во всяком случае	2	5
8	с другой стороны	4	5
9	в том чтобы	2	5
10	по крайней мере	3	4
11	не только в	2	4
12	в данном случае	6	4
13	и в особенности	2	4
14	в этом отношении	4	4
15	с одной стороны	12	4
16	по отношению к	13	4
17	в отличие от	12	4
18	с точки зрения	3	4
19	то же самое	2	3
20	той или иной	6	3
21	одной стороны и	3	3
22	большей или меньшей	2	3
23	можно сказать что	3	3
24	в свое время	3	3
25	дело в том	3	3
26	и то что	2	3
27	одно и то	2	2
28	и то же	2	2
29	состоит в том	3	2
30	дело не с	2	2
31	что же касается	4	2
32	подобно тому как	4	2
33	это еще не	2	2
34	как уже было	2	2
35	не в том	3	2
36	в соответствии с	4	2
37	как будто бы	2	2
38	и того же	4	2
39	уже было сказано	2	2
40	только в том	2	2
41	обратить внимание на	2	2
42	одного и того	4	2
43	значении этого термина	2	2
44	не говоря уже	2	2
45	в свою очередь	3	2
