N	4gram	Vygotskiy_	Psycholo
1	заключается в том что	10	23
2	в то время как	4	13
3	одной и той же	3	12
4	с этой точки зрения	7	10
5	заключается в том чтобы	2	9
6	в том что он	3	7
7	не что иное как	2	6
8	один и тот же	5	5
9	так же как и	2	5
10	а с другой стороны	2	4
11	в самом деле если	2	4
12	в том что в	2	4
13	одного и того же	8	4
14	все более и более	3	4
15	то же самое что	2	4
16	состоит в том что	7	4
17	несмотря на то что	2	3
18	мы могли бы сказать	3	3
19	ответ на этот вопрос	2	3
20	есть не что иное	2	2
21	в такой же мере	3	2
22	могли бы сказать что	2	2
23	с одной стороны и	2	2
24	только в том что	2	2
25	но вместе с тем	3	2
26	по самой своей природе	2	2
27	если принять во внимание	2	2
28	к тому что он	2	2
