N	3gram	Bakhtin_Pr	Vvedenie
1	для того чтобы	2	22
2	в том что	3	15
3	в этом смысле	3	10
4	не может быть	11	10
5	тем не менее	3	9
6	в применении к	3	6
7	в то же	3	6
8	в самом деле	3	6
9	то же время	3	6
10	и т п	13	5
11	с другой стороны	4	5
12	не только в	2	4
13	в данном случае	4	4
14	в этом отношении	2	4
15	с одной стороны	3	4
16	по отношению к	19	4
17	в отличие от	5	4
18	с точки зрения	6	4
19	можно было бы	3	4
20	то же самое	2	3
21	той или иной	2	3
22	в строгом смысле	2	3
23	можно сказать что	2	3
24	имеет дело с	4	2
25	не могут быть	2	2
