N	3gram	Tiupa_Hudo	Istorich
1	и т д	5	142
2	до сих пор	3	30
3	с одной стороны	4	28
4	так же как	2	27
5	в том что	15	25
6	не может быть	5	24
7	тем не менее	6	23
8	но все же	2	23
9	о том что	14	22
10	не только в	4	19
11	в связи с	3	17
12	в данном случае	3	15
13	мы уже знаем	2	15
14	о том как	4	15
15	по отношению к	15	14
16	на то что	2	14
17	как и в	5	10
18	можно было бы	5	10
19	же как и	2	9
20	то же самое	3	8
21	с того что	2	8
22	подобно тому как	4	8
23	что у него	2	8
24	что он не	3	7
25	но тем не	2	6
26	все же не	2	6
27	на том что	2	6
28	для того чтобы	2	5
29	том что в	4	5
30	содержит в себе	2	4
31	в этой связи	5	4
32	в это время	2	4
33	в тот момент	3	4
34	состоит в том	3	4
35	с точки зрения	5	4
36	тот момент когда	3	4
37	так или иначе	3	4
38	же самое что	2	4
39	но и для	2	3
40	это своего рода	2	3
41	не только не	3	3
42	при встрече с	2	3
43	как будто бы	3	3
44	дело не только	2	3
45	к тому что	8	3
46	не в том	2	3
47	в противоречие с	2	3
48	то и другое	2	2
49	то что было	2	2
50	в самом деле	5	2
51	в этом и	2	2
52	друг от друга	2	2
53	не было ни	2	2
54	и сам он	2	2
55	к себе и	2	2
56	и т п	10	2
57	только в том	4	2
58	только тем что	2	2
59	на то чтобы	2	2
60	момент когда он	2	2
61	только потому что	2	2
62	не только для	2	2
63	вместо того чтобы	2	2
