N	2gram	Savitsky_P	Dialekti
1	т е	3	159
2	и не	12	120
3	и т	3	82
4	по себе	4	79
5	а не	2	78
6	и в	14	77
7	точки зрения	3	72
8	может быть	5	71
9	не только	17	66
10	то что	4	59
11	и есть	2	55
12	не может	4	53
13	с точки	3	46
14	есть нечто	2	46
15	потому что	3	45
16	как бы	4	43
17	в том	9	40
18	в этом	10	39
19	то же	9	39
20	в себе	3	38
21	том что	4	37
22	прежде всего	3	37
23	это не	3	36
24	она есть	3	35
25	что в	4	34
26	в нем	3	34
27	того что	2	33
28	но и	6	32
29	все это	2	31
30	и как	3	30
31	отнюдь не	2	30
32	было бы	6	29
33	не в	5	26
34	есть не	2	25
35	и пр	5	25
36	говорить о	2	25
37	если бы	4	24
38	и вот	2	23
39	в то	7	23
40	только в	7	20
41	как раз	2	20
42	и с	2	20
43	в своем	4	19
44	что мы	3	19
45	не менее	2	19
46	и это	2	19
47	с другой	5	18
48	хотя бы	8	18
49	же время	7	18
50	должно быть	2	17
51	мы не	3	16
52	да и	2	16
53	и о	5	15
54	в виде	2	15
55	хотя и	3	15
56	и мы	2	15
57	и потому	4	14
58	не было	2	14
59	в силу	2	13
60	но в	9	13
61	в ней	6	13
62	в смысле	6	13
63	и к	4	13
64	могут быть	3	12
65	никак не	2	12
66	именно в	2	12
67	и если	4	12
68	а в	4	12
69	тем более	2	12
70	с этим	2	12
71	но не	3	12
72	не о	2	11
73	мы должны	4	11
74	и тем	2	11
75	в них	2	11
76	есть в	2	11
77	из них	2	11
78	может и	2	10
79	в ее	2	10
80	в его	2	10
81	для того	3	10
82	в частности	2	10
83	в жизни	2	10
84	в котором	4	9
85	быть может	6	9
86	с ними	3	9
87	в отношении	10	8
88	и без	3	8
89	с одной	3	8
90	в сфере	2	8
91	тем самым	3	7
92	в сравнении	3	7
93	думать что	2	7
94	сами по	3	7
95	со стороны	2	7
96	заключается в	3	7
97	в мире	2	7
98	как на	2	7
99	отношения к	2	7
100	с тем	3	6
101	одна из	2	6
102	а я	5	6
103	но о	2	6
104	друг другу	2	6
105	именно как	2	6
106	одной стороны	3	6
107	во всех	2	6
108	стороны и	2	6
109	сравнении с	3	6
110	я и	3	6
111	бы ни	2	6
112	реальность и	2	5
113	если в	2	5
114	по сравнению	2	5
115	например в	2	5
116	в области	11	5
117	может ли	2	5
118	в качестве	9	5
119	отношении к	5	5
120	еще более	2	4
121	главным образом	2	4
122	помнить что	2	4
123	в общем	2	4
124	не нужно	2	4
125	точек зрения	2	4
126	к чему	2	4
127	же в	4	4
128	для нас	2	3
129	тех кто	4	3
130	тот же	3	3
131	но к	2	3
132	в которых	5	3
133	ней не	2	3
134	одних и	2	3
135	вслед за	3	3
136	как факт	2	3
137	во всей	2	3
138	церкви и	2	3
139	не к	2	3
140	она ни	2	3
141	между тем	3	3
142	наряду с	3	2
143	и других	2	2
144	в полной	2	2
145	по характеру	2	2
146	мысль о	2	2
147	творчества и	2	2
148	которое в	2	2
149	духа и	2	2
150	только это	2	2
151	было в	2	2
152	в порядке	3	2
153	эта идея	2	2
154	взгляда на	2	2
155	где бы	2	2
156	но также	4	2
157	осуществляется в	2	2
