N	3gram	Vinokur_St	Problemy
1	то же время	5	26
2	в то же	5	26
3	с точки зрения	10	25
4	по отношению к	3	18
5	и т п	11	18
6	в этом смысле	2	16
7	на самом деле	7	15
8	не может быть	5	14
9	но в то	2	11
10	в конце концов	2	11
11	до сих пор	12	10
12	с самого начала	3	9
13	в самом деле	7	9
14	во всяком случае	8	9
15	с другой стороны	8	9
16	в том что	29	8
17	бы то ни	2	7
18	и в этом	4	7
19	и т д	25	7
20	том что он	6	6
21	по крайней мере	2	5
22	к тому же	2	5
23	в зависимости от	2	5
24	хотя бы и	2	5
25	можно было бы	8	5
26	но все же	3	5
27	тем не менее	4	4
28	более или менее	2	4
29	может быть и	2	4
30	о том что	19	4
31	так и в	5	4
32	как и в	2	4
33	а между тем	2	4
34	сами по себе	2	4
35	в этом отношении	13	4
36	что в нем	2	4
37	ни в одном	2	4
38	в то время	2	3
39	на тему о	2	3
40	для него самого	2	3
41	в данном случае	7	3
42	на то что	5	3
43	не только не	2	3
44	и в самом	3	3
45	на этот вопрос	2	3
46	в настоящее время	2	3
47	т е в	3	3
48	это не значит	3	3
49	в этом случае	3	3
50	в той же	2	3
51	что и в	4	2
52	в письме к	5	2
53	то что он	3	2
54	т е не	2	2
55	то что в	3	2
56	и в том	3	2
57	он не только	2	2
58	что он не	5	2
59	но все это	2	2
60	всяком случае не	2	2
61	что же касается	3	2
62	и только в	3	2
63	но с другой	2	2
64	на этот раз	2	2
65	не только в	4	2
66	к тому что	4	2
67	в том же	3	2
68	я не могу	2	2
69	вместе с тем	2	2
70	дело в том	7	2
71	для того чтобы	13	2
72	как бы ни	2	2
73	в одном из	4	2
74	в значительной степени	2	2
