N	2gram	Nazirov_Tr	VLabPisa
1	в этом	9	29
2	не только	8	26
3	и в	18	26
4	может быть	7	23
5	во сне	2	21
6	и не	7	20
7	не может	5	17
8	в том	2	15
9	в его	3	15
10	прежде всего	4	13
11	все это	4	13
12	в частности	2	12
13	как это	3	12
14	что в	4	11
15	то же	5	10
16	не могут	2	10
17	но и	4	10
18	о том	2	10
19	об этом	4	9
20	для него	3	9
21	в своем	3	8
22	том что	4	8
23	по словам	2	8
24	все эти	3	8
25	это не	5	7
26	в году	9	7
27	в основном	3	7
28	то что	4	7
29	как и	5	7
30	в нем	4	7
31	говорит о	2	7
32	не в	2	6
33	в то	5	6
34	в себе	4	6
35	все же	5	6
36	у него	6	6
37	так и	5	6
38	один из	3	6
39	и его	6	6
40	бы и	2	6
41	никогда не	2	5
42	в одном	2	5
43	перед нами	2	5
44	как говорит	2	5
45	к тому	2	5
46	как бы	7	5
47	в целом	4	5
48	же время	6	5
49	по поводу	2	4
50	одна из	2	4
51	и ее	2	4
52	одном из	2	4
53	что он	6	4
54	в романе	10	4
55	с тем	2	4
56	что все	2	4
57	отнюдь не	3	4
58	в самом	2	4
59	в ее	2	4
60	в этой	4	4
61	с его	2	4
62	так же	4	3
63	и он	3	3
64	в конце	3	3
65	его в	2	3
66	и как	3	3
67	что говорит	2	3
68	что и	2	3
69	о чем	3	2
70	должно быть	3	2
71	что она	2	2
72	из своих	2	2
73	и даже	4	2
74	а как	2	2
75	писателя и	2	2
76	еще не	4	2
77	как у	2	2
78	в известной	2	2
79	но в	6	2
80	в образе	6	2
81	он и	2	2
82	он сам	7	2
83	о его	2	2
84	было в	2	2
85	только о	2	2
86	он не	2	2
87	и сам	3	2
88	который в	2	2
