N	2gram	Propp_Russ	Sovremen
1	не может	6	17
2	точки зрения	3	12
3	может быть	14	12
4	таким образом	10	11
5	мы не	11	9
6	в каждом	2	8
7	не можем	5	7
8	и в	59	7
9	в этом	18	7
10	и не	6	6
11	ничего не	4	6
12	как и	19	6
13	мы можем	2	6
14	с точки	3	5
15	все эти	5	5
16	и наконец	2	5
17	прежде всего	2	5
18	вопрос о	4	4
19	мы видели	3	4
20	это не	14	4
21	не только	28	4
22	в том	33	4
23	мы должны	3	4
24	как бы	18	4
25	их в	7	4
26	так как	25	4
27	в дальнейшем	2	4
28	в целом	2	4
29	вместе с	16	4
30	а в	16	4
31	из них	12	4
32	для нас	12	3
33	следующим образом	9	3
34	когда мы	2	3
35	и потому	3	3
36	на этой	3	3
37	но в	5	3
38	при этом	11	3
39	не в	2	3
40	все же	7	3
41	как он	2	3
42	было бы	3	3
43	в области	3	3
44	уже в	2	3
45	еще не	7	3
46	одна из	12	3
47	у нас	11	3
48	и все	4	3
49	все это	12	3
50	в нем	3	3
51	между собой	4	3
52	а не	3	3
53	и к	3	3
54	на две	3	3
55	что она	4	3
56	в этой	4	3
57	то же	6	3
58	в одном	4	3
59	отнюдь не	3	3
60	но все	3	2
61	на этот	3	2
62	и по	10	2
63	что все	2	2
64	значение в	2	2
65	быть и	3	2
66	а на	8	2
67	не менее	3	2
68	носит название	2	2
69	мы видим	2	2
70	в его	3	2
71	только одну	2	2
72	он должен	2	2
73	с этим	4	2
74	и пр	4	2
75	и что	8	2
76	то и	4	2
77	в и	19	2
78	и во	2	2
79	приводит к	4	2
80	что при	2	2
81	такие же	4	2
82	свою очередь	2	2
83	из этих	6	2
84	ее на	3	2
85	или же	2	2
86	в виде	10	2
87	что в	35	2
88	в настоящее	3	2
89	ни одна	2	2
90	в таком	5	2
91	в которой	3	2
92	у него	2	2
93	такой же	3	2
94	в некоторых	11	2
95	уже не	9	2
96	в свою	3	2
97	в нашем	2	2
98	не будем	5	2
99	могут быть	3	2
100	в один	2	2
101	в отличие	4	2
102	отличие от	4	2
103	настоящее время	3	2
104	тот же	2	2
105	на этом	6	2
106	как мы	11	2
107	говорить о	2	2
108	что это	4	2
109	тем не	3	2
110	из которых	2	2
111	как известно	2	2
112	некоторое время	2	2
