N	3gram	Tiupa_Teor	Problemy
1	то же время	8	26
2	в то же	8	26
3	с точки зрения	3	25
4	по отношению к	10	18
5	в этом смысле	3	16
6	не может быть	5	14
7	но в то	2	11
8	в отношении к	2	10
9	в самом деле	2	9
10	с другой стороны	6	9
11	в том что	10	8
12	бы то ни	2	7
13	и в то	2	7
14	сама по себе	2	7
15	том что он	2	6
16	в отличие от	7	6
17	то ни было	2	6
18	той или иной	3	5
19	подобно тому как	3	5
20	тем не менее	3	4
21	более или менее	6	4
22	может быть и	2	4
23	как и в	2	4
24	и то же	2	3
25	в данном случае	5	3
26	одно и то	2	3
27	не только не	2	3
28	и в самом	2	3
29	можно сказать что	3	3
30	этой точки зрения	2	2
31	в слове о	2	2
32	во всей его	2	2
33	к тому что	2	2
34	для того чтобы	5	2
35	в значительной степени	2	2
36	в свою очередь	3	2
