N	2gram	Vygotskiy_	Tragedij
1	и в	65	18
2	в романе	2	10
3	в этом	37	9
4	не только	16	8
5	и не	20	7
6	и на	7	7
7	как бы	29	7
8	и с	4	7
9	может быть	33	7
10	что он	23	6
11	но в	5	6
12	и его	8	6
13	у него	6	6
14	несмотря на	7	5
15	что это	19	5
16	все же	10	5
17	это не	7	5
18	то же	17	5
19	как и	12	5
20	так и	3	5
21	не может	17	5
22	а я	5	5
23	в то	5	5
24	что в	36	4
25	еще не	3	4
26	в целом	8	4
27	но и	6	4
28	прежде всего	2	4
29	об этом	4	4
30	том что	28	4
31	в этой	20	4
32	и что	29	4
33	так же	12	4
34	и все	14	4
35	все это	12	4
36	в нем	8	4
37	то что	61	4
38	но это	6	4
39	я не	9	4
40	и даже	4	4
41	в себе	9	4
42	один из	7	3
43	что за	4	3
44	и как	10	3
45	в мире	3	3
46	тем самым	4	3
47	что образ	2	3
48	к нему	2	3
49	в своем	8	3
50	при этом	10	3
51	в его	11	3
52	эпизод с	2	3
53	что с	4	3
54	все эти	7	3
55	и он	5	3
56	отнюдь не	2	3
57	с ее	5	3
58	как будто	13	3
59	как в	8	3
60	как это	13	3
61	жизнь и	2	3
62	для него	4	3
63	то есть	30	3
64	в конце	5	3
65	с ним	6	3
66	никогда не	9	2
67	в рассказе	9	2
68	в самом	41	2
69	и то	10	2
70	но все	2	2
71	данном случае	5	2
72	до конца	5	2
73	с тем	14	2
74	одна из	6	2
75	точно так	3	2
76	тем что	7	2
77	перед нами	12	2
78	она должна	3	2
79	в одном	9	2
80	его в	5	2
81	не имеет	8	2
82	в виде	5	2
83	ничего не	4	2
84	то и	3	2
85	имеет в	2	2
86	в данном	5	2
87	бросается в	2	2
88	не могут	2	2
89	как же	2	2
90	в ее	9	2
91	но эта	3	2
92	что все	10	2
93	к тому	18	2
94	говорит о	6	2
95	о том	17	2
96	о его	2	2
97	что и	7	2
98	ни в	6	2
99	не в	12	2
100	столь же	5	2
101	это был	2	2
102	и здесь	9	2
103	потому что	26	2
104	что этот	5	2
105	по словам	2	2
106	не просто	7	2
107	и я	3	2
108	в частности	3	2
109	как у	2	2
110	в таком	6	2
111	еще раз	3	2
112	так что	10	2
113	он не	11	2
114	и ее	4	2
115	ничем не	3	2
116	в первом	3	2
117	бы и	2	2
118	уже не	2	2
119	что она	34	2
120	по мнению	2	2
121	что эти	5	2
122	этими двумя	2	2
123	и это	13	2
124	говорит что	17	2
125	но они	2	2
126	не так	4	2
127	в том	46	2
128	в глаза	3	2
129	создается впечатление	2	2
130	и до	4	2
131	но при	2	2
132	как говорит	2	2
133	не мог	4	2
134	с его	2	2
135	он был	3	2
136	отношение к	2	2
