N	3gram	Vinokur_Vv	KulturaY
1	и т п	5	93
2	и т д	39	42
3	для того чтобы	22	38
4	с точки зрения	4	36
5	в том что	15	33
6	в самом деле	6	29
7	можно было бы	4	25
8	во всяком случае	5	19
9	тем не менее	9	19
10	с другой стороны	5	17
11	в зависимости от	3	16
12	до сих пор	7	14
13	в том чтобы	5	14
14	по крайней мере	4	13
15	по отношению к	4	13
16	в связи с	2	12
17	в этом отношении	4	11
18	и в самом	3	11
19	не может быть	10	11
20	о том что	13	10
21	в этом смысле	10	10
22	вместе с тем	3	9
23	не в том	2	8
24	не только в	4	8
25	в этом случае	6	8
26	само по себе	4	8
27	только в том	2	7
28	после того как	2	7
29	в той мере	6	7
30	той мере в	6	7
31	мере в какой	6	7
32	с одной стороны	4	7
33	и тем не	3	7
34	в свою очередь	2	7
35	в то же	6	6
36	той или иной	3	6
37	хотя бы и	2	6
38	этой точки зрения	2	6
39	то же время	6	6
40	не говоря уже	2	6
41	в свое время	3	6
42	в отличие от	4	6
43	в данном отношении	2	5
44	на этот вопрос	5	5
45	но все же	4	5
46	что же касается	2	5
47	т е в	4	5
48	можно говорить о	3	5
49	в соответствии с	2	5
50	потому что он	2	5
51	в данном случае	4	5
52	и в этом	4	5
53	с этой точки	2	5
54	как мы видели	3	5
55	но также и	10	4
56	точно так же	2	4
57	и потому что	2	4
58	сам по себе	2	4
59	в первом случае	2	4
60	одного и того	2	4
61	заключается в том	3	4
62	состоит в том	2	4
63	так или иначе	4	4
64	смысле этого слова	2	4
65	и того же	2	4
66	в общем случае	4	3
67	широком смысле этого	2	3
68	не трудно видеть	6	3
69	на этой почве	2	3
70	не могут быть	2	3
71	с тем что	3	3
72	не только как	4	3
73	в конце концов	2	3
74	в известном смысле	3	3
75	тех или иных	3	3
76	чтобы понять что	3	3
77	большей или меньшей	3	3
78	обратить внимание на	2	3
79	уже не только	2	3
80	принять во внимание	2	3
81	сама по себе	3	3
82	с течением времени	7	2
83	и то же	2	2
84	не что иное	5	2
85	тем или иным	2	2
86	но дело не	2	2
87	в применении к	6	2
88	и той же	2	2
89	вовсе не в	2	2
90	в строгом смысле	3	2
91	вовсе не только	2	2
92	том или ином	2	2
93	в широком смысле	7	2
94	в другом месте	2	2
95	может быть и	2	2
96	а так как	2	2
97	в собственном смысле	3	2
98	в большей степени	2	2
99	одной и той	2	2
100	что иное как	5	2
101	т е не	2	2
102	только после того	2	2
103	не до конца	2	2
104	в известной мере	2	2
105	также и в	3	2
106	и в особенности	4	2
107	и в том	4	2
108	это еще не	2	2
109	можно сказать что	3	2
110	по сравнению с	4	2
