N	3gram	Tiupa_Disk	StatiiOP
1	в том что	18	47
2	о том что	8	29
3	в этом отношении	4	24
4	с точки зрения	3	14
5	во всяком случае	2	13
6	с другой стороны	4	13
7	не может быть	5	11
8	в то же	7	9
9	то же время	9	9
10	дело в том	3	9
11	не только в	2	8
12	в данном случае	6	7
13	не в том	3	7
14	по крайней мере	3	6
15	по отношению к	13	6
16	так и в	4	6
17	том что в	3	6
18	речь идет о	2	6
19	что же касается	4	5
20	с самого начала	2	5
21	в свое время	3	5
22	обратить внимание на	2	5
23	в одной из	2	5
24	в том чтобы	2	5
25	сами по себе	2	4
26	и мн др	3	4
27	с одной стороны	12	4
28	того или иного	2	4
29	в русской литературе	2	3
30	прежде всего в	2	3
31	можно сказать что	3	3
32	говоря уже о	2	3
33	в первую очередь	3	3
34	в том числе	3	3
35	только в том	2	3
36	не говоря уже	2	3
37	к тому же	4	3
38	в этом случае	3	3
39	а с другой	4	3
40	более или менее	2	3
41	состоит в том	3	3
42	в значительной степени	3	3
43	в наше время	4	3
44	то же самое	2	2
45	это прежде всего	3	2
46	на мой взгляд	3	2
47	как и в	3	2
48	той или иной	6	2
49	в этом жанре	2	2
50	и в то	2	2
51	в отличие от	12	2
52	том числе и	3	2
53	тем что он	2	2
54	и то что	2	2
55	в свою очередь	3	2
56	а не в	2	2
