N	2gram	Bakhtin_KF	Freidism
1	и не	28	34
2	точки зрения	13	31
3	не может	29	30
4	и пр	3	29
5	может быть	45	28
6	и в	28	28
7	в этом	15	28
8	прежде всего	4	26
9	в его	42	25
10	и его	18	22
11	как бы	9	19
12	то что	7	17
13	вовсе не	7	16
14	с точки	10	15
15	все эти	11	15
16	самом деле	3	14
17	так и	2	14
18	в своей	11	14
19	с ним	5	14
20	во всех	11	13
21	и все	9	13
22	но в	5	13
23	как и	5	13
24	по отношению	26	13
25	и потому	2	12
26	том что	4	12
27	то же	5	12
28	что он	2	12
29	ни в	12	12
30	для него	13	12
31	все это	10	12
32	его в	5	11
33	отношению к	22	11
34	только в	18	11
35	никогда не	5	10
36	не только	5	10
37	но и	9	10
38	не в	13	10
39	он не	6	10
40	в том	6	10
41	один из	2	10
42	тот же	3	10
43	конечно не	7	10
44	могут быть	3	9
45	к этому	2	9
46	совершенно не	7	9
47	к нему	12	9
48	в чем	4	9
49	уже не	7	9
50	и на	3	9
51	мы не	3	9
52	а не	17	9
53	с его	2	9
54	все же	5	8
55	было бы	8	8
56	еще не	5	8
57	а в	5	8
58	в ней	3	8
59	при этом	4	8
60	в каком	4	7
61	до конца	3	7
62	в жизни	2	7
63	в то	3	7
64	в себе	21	7
65	что в	4	7
66	и ее	2	7
67	хотя бы	5	7
68	и для	10	7
69	отношение к	6	7
70	быть и	3	7
71	я и	5	7
72	того что	3	7
73	его жизни	3	7
74	но не	12	7
75	в нем	32	7
76	жизни и	8	7
77	в этой	2	7
78	на самом	3	6
79	для этого	2	6
80	мы имеем	5	6
81	человека и	3	6
82	всех этих	3	6
83	сознания и	3	6
84	не менее	3	6
85	для того	3	6
86	и только	7	6
87	в корне	3	6
88	она не	2	6
89	в свою	3	6
90	совсем не	2	6
91	же время	2	6
92	в основе	5	6
93	что это	4	5
94	ничего не	3	5
95	со стороны	8	5
96	от того	3	5
97	со всеми	2	5
98	чем не	4	5
99	не знает	5	5
100	что и	7	5
101	тому что	2	5
102	в своих	4	5
103	это не	10	5
104	в процессе	2	5
105	отнюдь не	7	5
106	того чтобы	2	5
107	не было	8	5
108	в ее	17	5
109	с ними	4	5
110	говорить о	2	5
111	в себя	8	5
112	в мир	2	4
113	его к	2	4
114	подхода к	2	4
115	нисколько не	4	4
116	но это	6	4
117	в области	2	4
118	с ее	2	4
119	в другом	3	4
120	тем не	2	4
121	если бы	8	4
122	и может	3	4
123	в виду	3	4
124	нигде не	3	4
125	это только	2	4
126	но ведь	5	4
127	ничего общего	2	4
128	и за	2	4
129	как в	2	4
130	в своем	17	4
131	только с	3	4
132	ее целом	3	4
133	по своему	3	4
134	едва ли	2	4
135	в котором	24	4
136	потому что	2	4
137	именно в	5	4
138	по себе	2	4
139	в целом	10	4
140	нет и	3	4
141	только как	4	4
142	себя и	5	4
143	то ни	2	4
144	это и	3	4
145	войти в	3	4
146	всех своих	4	4
147	в данном	2	4
148	на язык	3	4
149	я не	6	4
150	не дает	3	4
151	сводится к	2	4
152	конечно в	2	3
153	и то	2	3
154	бы он	2	3
155	в сознании	2	3
156	независимо от	3	3
157	жизни в	5	3
158	к себе	2	3
159	и тот	3	3
160	и как	2	3
161	и содержание	5	3
162	а как	2	3
163	не остается	2	3
164	или как	2	3
165	и ни	3	3
166	себе и	3	3
167	философии культуры	2	3
168	единства и	2	3
169	о том	3	3
170	это уже	2	3
171	и она	2	3
172	один и	3	3
173	оно не	2	3
174	но для	3	3
175	и этим	3	3
176	в одном	5	3
177	целом и	3	3
178	можно ли	2	3
179	себя в	8	3
180	сознания в	2	3
181	действительно ли	2	3
182	которой он	2	3
183	раз и	2	3
184	из него	4	3
185	мир в	12	3
186	и есть	10	3
187	а следовательно	3	3
188	во всей	4	3
189	общего не	2	3
190	между тем	4	3
191	современной философии	7	3
192	на основе	7	3
193	бы то	2	3
194	принципиально не	5	2
195	лежат в	3	2
196	чтобы не	2	2
197	вопрос о	2	2
198	нет в	4	2
199	или иной	2	2
200	отношению ко	4	2
201	ли это	2	2
202	место и	2	2
203	его с	2	2
204	содержание и	2	2
205	для нее	9	2
206	же с	2	2
207	бы и	3	2
208	дело в	2	2
209	должно быть	6	2
210	дело не	2	2
211	это было	2	2
212	не как	4	2
213	его целом	10	2
214	его и	2	2
215	и смерти	2	2
216	как к	2	2
217	для себя	7	2
218	должен быть	7	2
219	ее от	2	2
220	и тем	3	2
221	все они	2	2
222	весь мир	2	2
223	в их	9	2
224	в составе	2	2
225	ни одно	5	2
226	ни было	4	2
227	и та	3	2
228	для нас	4	2
229	в момент	3	2
230	что значит	2	2
231	всей его	2	2
232	должна быть	4	2
233	а с	2	2
234	о нем	4	2
235	в мире	8	2
236	и этот	3	2
237	от этого	2	2
238	думать что	2	2
239	в него	2	2
240	не имеет	6	2
241	сознания как	2	2
242	не есть	22	2
243	к которой	2	2
244	все остальное	2	2
245	но нет	2	2
246	еще более	2	2
247	отказаться от	2	2
248	входит в	4	2
249	но все	6	2
250	он и	2	2
251	этом смысле	3	2
252	тогда когда	3	2
253	из которых	2	2
254	и их	6	2
255	но как	5	2
256	теории и	3	2
257	ко всему	5	2
258	смысл и	6	2
259	в поступке	7	2
260	жизни но	3	2
261	то или	2	2
262	вступить в	2	2
263	всех других	2	2
264	там где	5	2
265	его т.е	2	2
266	человек не	2	2
267	исторический материализм	3	2
268	в качестве	2	2
269	не следует	2	2
270	это есть	2	2
271	как его	4	2
272	рядом с	3	2
273	мира в	6	2
274	или иное	2	2
275	отсюда и	3	2
276	своем месте	2	2
277	ясно что	3	2
