N	2gram	Voloshinov	Literetu
1	а не	5	50
2	и не	10	47
3	не только	4	46
4	и в	12	44
5	может быть	14	43
6	при этом	6	41
7	но и	3	41
8	в том	6	39
9	в этом	4	38
10	том что	5	32
11	то что	5	29
12	то же	5	26
13	как и	5	23
14	в то	2	23
15	не в	4	22
16	так и	4	22
17	того что	3	22
18	не может	16	22
19	в себе	3	20
20	прежде всего	8	19
21	как бы	13	18
22	точки зрения	14	17
23	в его	2	17
24	с другой	4	17
25	в жизни	5	16
26	не менее	3	15
27	только в	6	15
28	по отношению	11	14
29	в своем	2	13
30	как это	2	13
31	с одной	2	13
32	но не	2	13
33	уже не	4	13
34	и его	13	13
35	в данном	2	12
36	в своей	3	12
37	еще не	3	12
38	отношению к	11	12
39	о том	3	12
40	одной стороны	2	12
41	никогда не	5	11
42	данном случае	2	11
43	это не	2	11
44	с его	2	11
45	как в	5	11
46	вместе с	2	11
47	что в	2	10
48	отнюдь не	5	10
49	и на	4	10
50	жизни и	4	10
51	в поэзии	3	9
52	с этой	2	9
53	искусства и	2	9
54	едва ли	2	8
55	все же	4	8
56	но в	5	8
57	уже в	2	8
58	что не	4	8
59	для него	3	8
60	слова и	6	8
61	с точки	2	8
62	художественного творчества	3	8
63	до конца	2	7
64	это как	3	7
65	в художественном	3	7
66	другой стороны	2	7
67	и для	3	7
68	перестает быть	2	7
69	в самом	4	7
70	и с	3	7
71	в нем	6	7
72	он не	2	7
73	тому же	2	7
74	его в	4	6
75	в виду	5	6
76	самом деле	3	6
77	и др	5	6
78	и то	2	6
79	и наконец	3	6
80	в ней	6	6
81	как на	2	6
82	в литературе	4	5
83	так как	9	5
84	более того	2	5
85	между тем	3	5
86	этой точки	3	5
87	что и	2	5
88	себя и	2	5
89	место в	2	5
90	хотя бы	5	5
91	мы не	3	5
92	тем не	3	5
93	ни было	4	5
94	автора и	2	5
95	в себя	2	5
96	в нашем	11	5
97	и к	4	5
98	не к	3	5
99	для нас	7	4
100	нуждается в	3	4
101	как к	3	4
102	все время	6	4
103	только на	3	4
104	в формах	2	4
105	общего с	2	4
106	и все	2	4
107	могут быть	2	4
108	в них	3	4
109	бы то	3	4
110	нет ничего	2	4
111	но это	2	4
112	за пределы	4	4
113	к этому	2	4
114	бы не	2	4
115	художественное произведение	3	4
116	такой же	2	4
117	в пределах	3	4
118	но тем	2	4
119	все они	2	4
120	можно сказать	5	4
121	из этого	3	4
122	и что	2	4
123	то ни	3	4
124	таким образом	12	4
125	на самом	4	3
126	ничего не	2	3
127	и потому	2	3
128	так же	3	3
129	по себе	3	3
130	в отношении	2	3
131	на один	2	3
132	отношение к	4	3
133	в душе	2	3
134	как уже	2	3
135	стороны и	2	3
136	а к	2	3
137	там где	2	3
138	все эти	3	3
139	должна быть	5	3
140	да и	3	3
141	относится к	2	3
142	к предмету	5	3
143	не так	2	3
144	дело в	4	3
145	и подобные	2	3
146	художественного произведения	7	3
147	если бы	9	3
148	и вполне	2	3
149	в особенности	2	3
150	героя и	5	3
151	в этих	2	3
152	за его	2	3
153	подобные им	2	3
154	отношении к	3	3
155	в какой	2	3
156	и является	4	3
157	в чем	2	3
158	в творчестве	3	3
159	когда он	3	3
160	не есть	2	3
161	художественного события	4	3
162	мы в	2	3
163	здесь не	3	3
164	и уже	3	3
165	же самое	2	3
166	с ним	3	3
167	как форма	2	2
168	эти и	2	2
169	еще раз	2	2
170	и притом	2	2
171	не остается	2	2
172	была бы	2	2
173	в такой	3	2
174	к его	2	2
175	тем как	2	2
176	к нему	4	2
177	она не	2	2
178	со словом	2	2
179	но мы	2	2
180	тогда когда	2	2
181	и по	3	2
182	и ее	3	2
183	и более	3	2
184	и героя	6	2
185	одно и	2	2
186	сказать что	7	2
187	с другими	2	2
188	на это	2	2
189	общей для	2	2
190	быть только	2	2
191	от всех	2	2
192	за окном	3	2
193	в котором	3	2
194	оно не	2	2
195	автором и	2	2
196	о ком	2	2
197	мы имеем	2	2
198	но зато	2	2
