N	2gram	Voloshinov	Otkroven
1	и в	42	19
2	но и	16	13
3	и не	14	13
4	в этом	10	12
5	не только	28	11
6	человека в	2	11
7	не в	6	11
8	а не	7	11
9	может быть	13	11
10	и все	4	10
11	человека и	2	10
12	в нем	6	10
13	вопрос о	2	10
14	никогда не	7	9
15	потому что	7	9
16	не было	2	9
17	прежде всего	22	9
18	и он	2	8
19	человек не	2	7
20	лишь в	4	7
21	в его	6	7
22	до конца	2	7
23	нет ничего	2	7
24	он не	2	7
25	как и	12	6
26	все это	4	6
27	для него	3	5
28	а в	5	5
29	в том	3	5
30	в самом	5	5
31	то что	9	5
32	в этой	6	5
33	отношение к	2	5
34	и его	7	4
35	того чтобы	7	4
36	все эти	3	4
37	не может	13	4
38	с его	8	4
39	в себе	10	3
40	и от	7	3
41	о том	4	3
42	это не	3	3
43	к нему	2	3
44	что он	2	3
45	и вот	3	3
46	было бы	7	3
47	для того	9	3
48	еще не	3	3
49	в этих	2	3
50	в своих	2	3
51	как бы	30	3
52	хотя бы	18	3
53	с ним	2	3
54	быть может	3	3
55	того что	4	3
56	и то	5	2
57	сказать что	3	2
58	и на	7	2
59	с тем	8	2
60	уже в	5	2
61	что же	8	2
62	человека все	2	2
63	и для	3	2
64	из всего	2	2
65	природы он	3	2
66	ничего не	8	2
67	и все-таки	2	2
68	и с	5	2
69	что и	3	2
70	и потому	2	2
71	и ни	2	2
72	в ее	3	2
73	тем что	2	2
74	но в	5	2
75	том что	3	2
76	природы и	2	2
77	все же	9	2
78	в своей	2	2
79	так как	8	2
80	что у	3	2
81	своей жизни	5	2
82	даже и	2	2
83	для всякого	2	2
84	должно быть	2	2
85	не есть	2	2
86	в душе	2	2
87	и нет	2	2
88	к этому	2	2
89	и к	4	2
90	так и	7	2
91	в которой	7	2
92	хотя и	3	2
93	его не	2	2
94	всего в	4	2
95	и ивана	2	2
96	подойти к	2	2
97	его в	4	2
