N	2gram	Medvedev_U	EvropaiC
1	таким образом	2	34
2	в том	2	31
3	и в	14	24
4	том что	2	20
5	не может	7	18
6	то что	7	18
7	может быть	6	17
8	до сих	2	15
9	все же	3	15
10	сих пор	2	15
11	в этом	7	13
12	все это	5	13
13	самом деле	2	12
14	между тем	2	12
15	но и	4	11
16	не только	10	10
17	как и	3	10
18	и не	8	9
19	не в	2	9
20	если бы	2	8
21	в самом	2	8
22	а между	2	8
23	для этого	3	7
24	что он	2	7
25	что и	2	7
26	в этой	4	7
27	по существу	2	7
28	только в	2	6
29	все они	2	6
30	в то	3	6
31	должна быть	2	6
32	и для	2	6
33	с другой	4	6
34	в себе	2	5
35	что все	2	5
36	но в	3	5
37	и с	2	5
38	другой стороны	3	5
39	в его	2	5
40	и то	3	4
41	не могут	2	4
42	всех этих	2	4
43	хотя бы	5	4
44	то ни	3	4
45	в конце	2	4
46	и у	2	4
47	и т.д	3	4
48	конце концов	2	4
49	то же	5	4
50	в их	4	4
51	в области	3	4
52	одним из	2	4
53	не есть	2	4
54	что мы	2	4
55	этой области	3	4
56	это не	3	3
57	но даже	2	3
58	ни было	3	3
59	очевидно что	3	3
60	конечно не	4	3
61	у нас	3	3
62	прежде всего	8	3
63	но не	2	3
64	бы то	3	3
65	же не	2	3
66	в сторону	2	3
67	было бы	3	3
68	что она	2	2
69	при таком	2	2
70	на каждом	2	2
71	на первый	2	2
72	в частности	3	2
73	для него	3	2
74	сводится к	2	2
75	же время	3	2
76	и только	5	2
77	не следует	3	2
78	пришлось бы	3	2
79	мы и	2	2
