N	2gram	Losev_Vesc	Russkaja
1	не может	44	22
2	и не	57	19
3	в том	15	17
4	в этом	17	17
5	с другом	2	14
6	и в	44	14
7	друг с	2	14
8	то что	47	13
9	точки зрения	10	11
10	то же	12	11
11	таким образом	16	11
12	в то	11	10
13	но и	19	10
14	же время	4	10
15	не только	48	9
16	том что	13	9
17	может быть	37	9
18	в себе	23	9
19	с точки	6	9
20	во всяком	4	9
21	того чтобы	4	8
22	прежде всего	17	8
23	самого себя	2	7
24	и с	11	7
25	к тому	3	7
26	о том	11	7
27	в данном	6	7
28	мы должны	5	7
29	и если	5	7
30	не будет	13	7
31	отнюдь не	8	7
32	ни к	3	7
33	самом деле	7	7
34	с тем	8	6
35	и для	13	6
36	в своих	3	6
37	в россии	2	6
38	если бы	8	6
39	всяком случае	2	6
40	все это	7	6
41	для того	3	6
42	что он	7	6
43	признать что	2	6
44	в своем	9	6
45	для него	8	6
46	вопрос о	6	5
47	а в	6	5
48	на то	9	5
49	в последние	2	5
50	было бы	24	5
51	хотя бы	9	5
52	из которых	3	5
53	между собой	2	5
54	и на	2	5
55	потому что	25	5
56	в нем	6	5
57	жизни в	3	5
58	в своей	6	5
59	себя и	8	5
60	конечно не	2	5
61	во имя	3	5
62	только в	23	5
63	никогда не	5	5
64	и только	11	5
65	он не	4	5
66	во всех	5	5
67	по существу	3	5
68	а потому	2	5
69	и то	14	4
70	что в	11	4
71	но не	9	4
72	его в	8	4
73	все же	18	4
74	себя в	11	4
75	не в	14	4
76	как и	15	4
77	более или	4	4
78	ли это	9	4
79	как бы	19	4
80	все что	3	4
81	можно было	6	4
82	приводит к	2	4
83	так как	17	4
84	тогда когда	5	4
85	что же	17	4
86	жизни и	6	4
87	в его	5	4
88	со стороны	9	4
89	в их	4	4
90	то ни	13	4
91	во всем	2	4
92	в этой	4	4
93	себе и	2	4
94	вместе с	4	4
95	от того	7	4
96	бы то	12	4
97	или менее	4	4
98	данном случае	2	3
99	да и	5	3
100	одна из	6	3
101	то это	5	3
102	том чтобы	2	3
103	для этого	5	3
104	о котором	2	3
105	и этот	2	3
106	что все	2	3
107	что это	18	3
108	точке зрения	4	3
109	с нею	19	3
110	о которых	2	3
111	что для	5	3
112	себя от	2	3
113	именно в	2	3
114	она может	4	3
115	должно быть	8	3
116	только к	2	3
117	не есть	79	3
118	и потому	8	3
119	что оно	10	3
120	в другом	3	3
121	главным образом	3	3
122	в конце	3	3
123	из них	7	3
124	но если	12	3
125	в самом	13	3
126	и как	12	3
127	можно ли	7	3
128	несмотря на	6	3
129	так чтобы	4	3
130	может не	4	3
131	что и	11	3
132	конце концов	2	3
133	или в	3	3
134	сводится к	4	3
135	он сам	2	3
136	из этого	3	3
137	и во	3	3
138	говорить о	9	3
139	той или	3	3
140	еще не	12	3
141	в виде	3	3
142	того что	16	3
143	в качестве	4	3
144	что они	12	3
145	не было	4	3
146	и ни	3	3
147	и т	37	3
148	мы говорили	2	3
149	тем что	7	3
150	а следовательно	4	3
151	то в	4	3
152	не о	2	2
153	что только	4	2
154	и о	4	2
155	и от	4	2
156	не так	2	2
157	она будет	2	2
158	не к	3	2
159	но она	3	2
160	с этим	4	2
161	есть и	13	2
162	тем самым	2	2
163	следовательно и	2	2
164	для себя	6	2
165	значило бы	5	2
166	тому что	2	2
167	к нему	3	2
168	указывает на	8	2
169	на этой	2	2
170	она не	9	2
171	только с	3	2
172	но в	8	2
173	ни в	11	2
174	в котором	4	2
175	что такое	20	2
176	так же	4	2
177	их в	6	2
178	на себя	5	2
179	на почве	6	2
180	для нее	2	2
181	сама по	7	2
182	и человек	2	2
183	ни от	7	2
184	даже и	5	2
185	в ней	14	2
186	чтобы она	3	2
187	уже не	15	2
188	на это	5	2
189	этот вопрос	6	2
190	в результате	9	2
191	но для	2	2
192	но даже	3	2
193	с самим	4	2
194	даже не	8	2
195	к такому	2	2
196	отношении к	4	2
197	отличается от	8	2
198	если не	3	2
199	в силу	4	2
200	этом и	2	2
201	и даже	12	2
202	а не	34	2
203	для нас	2	2
204	себя как	3	2
205	на такой	2	2
206	по себе	22	2
207	мы можем	4	2
208	не можем	3	2
209	нисколько не	7	2
210	стоять на	2	2
211	к себе	4	2
212	бы его	2	2
213	– не	11	2
214	если они	2	2
215	и тем	7	2
216	по самому	3	2
217	к чему	2	2
218	и вот	4	2
219	тогда как	3	2
220	и что	22	2
221	но это	14	2
222	это только	2	2
223	это учение	4	2
224	сделать это	2	2
225	все эти	5	2
226	совершенно не	11	2
227	бы ни	3	2
228	а с	3	2
229	и тогда	7	2
230	является не	2	2
231	не просто	23	2
232	только на	3	2
233	раз навсегда	3	2
234	в частности	3	2
235	и есть	40	2
236	но совершенно	4	2
237	так что	9	2
238	как будто	2	2
239	должна быть	8	2
240	его и	4	2
241	отношения к	3	2
242	если же	5	2
243	это есть	8	2
244	с ним	8	2
245	быть и	5	2
246	у него	3	2
247	мы уже	3	2
248	и более	4	2
249	ясно что	10	2
