N	2gram	Ircho_Kome	Tragedij
1	и в	40	18
2	в году	3	9
3	в этом	9	9
4	не только	12	8
5	и не	19	7
6	и на	9	7
7	как бы	3	7
8	и с	8	7
9	может быть	16	7
10	же время	5	6
11	что он	11	6
12	но в	6	6
13	и его	17	6
14	в образе	4	6
15	у него	6	6
16	несмотря на	5	5
17	что это	5	5
18	все же	7	5
19	это не	2	5
20	то же	7	5
21	как и	12	5
22	так и	17	5
23	не может	3	5
24	в то	14	5
25	что в	12	4
26	еще не	7	4
27	в целом	6	4
28	но и	14	4
29	прежде всего	8	4
30	об этом	2	4
31	том что	19	4
32	в этой	9	4
33	и что	2	4
34	так же	4	4
35	и все	4	4
36	все это	7	4
37	в нем	8	4
38	то что	8	4
39	но это	2	4
40	и даже	5	4
41	в себе	3	4
42	один из	9	3
43	к людям	2	3
44	и как	3	3
45	в мире	3	3
46	уже в	9	3
47	iii в	7	3
48	к нему	5	3
49	в своем	6	3
50	при этом	5	3
51	в его	8	3
52	в поле	4	3
53	мог бы	3	3
54	отнюдь не	2	3
55	о чем	2	3
56	с ее	2	3
57	и сам	5	3
58	как будто	3	3
59	никто не	3	3
60	как в	8	3
61	как это	7	3
62	жизнь и	2	3
63	в конце	7	3
64	в самом	5	2
65	но все	4	2
66	по поводу	7	2
67	до конца	3	2
68	с тем	5	2
69	одна из	4	2
70	даже если	3	2
71	друг друга	2	2
72	тем что	5	2
73	вопрос о	5	2
74	в одном	10	2
75	его в	6	2
76	в виде	3	2
77	ничего не	4	2
78	то и	3	2
79	имеет в	2	2
80	в ее	2	2
81	к тому	15	2
82	о том	12	2
83	о его	5	2
84	что и	10	2
85	ни в	9	2
86	тут же	2	2
87	не в	8	2
88	столь же	9	2
89	и здесь	6	2
90	это уже	2	2
91	потому что	8	2
92	одном из	4	2
93	и я	2	2
94	в частности	7	2
95	так что	6	2
96	он не	5	2
97	и ее	5	2
98	и за	3	2
99	в первом	2	2
100	из самых	2	2
101	что она	3	2
102	по мнению	2	2
103	и это	3	2
104	но они	2	2
105	отличие от	4	2
106	этим объясняется	3	2
107	в том	19	2
108	с г	2	2
109	который в	2	2
110	в отличие	3	2
111	не мог	4	2
112	еще в	9	2
113	с его	4	2
114	он был	4	2
115	в это	3	2
116	времени в	2	2
117	отношение к	3	2
