N	2gram	Bakhtin_sl	DiskursI
1	в качестве	4	72
2	а не	29	60
3	может быть	40	56
4	не только	37	49
5	и в	69	49
6	как и	8	47
7	при этом	12	46
8	в том	7	44
9	и не	32	44
10	то есть	46	41
11	том что	6	40
12	в этом	21	38
13	в себе	3	37
14	в частности	3	36
15	но и	37	35
16	но не	7	31
17	так и	22	28
18	отличие от	13	28
19	но в	13	28
20	не может	27	27
21	в отличие	12	27
22	по своей	2	26
23	как в	18	25
24	такого рода	2	24
25	еще не	9	23
26	а также	5	20
27	все же	10	19
28	прежде всего	14	19
29	в нем	44	19
30	в своей	8	19
31	в основе	8	18
32	далеко не	7	18
33	по отношению	2	17
34	в данном	5	17
35	то же	17	17
36	с другой	8	17
37	отношению к	2	17
38	точки зрения	24	16
39	только в	9	16
40	роль в	4	15
41	в его	19	15
42	то что	2	15
43	о том	5	15
44	это не	8	14
45	или иной	13	14
46	не в	14	14
47	не менее	4	14
48	одной стороны	7	14
49	можно сказать	2	14
50	не является	3	14
51	с одной	7	14
52	в целом	3	13
53	для него	8	13
54	как бы	16	13
55	данном случае	3	12
56	в своем	9	12
57	и все	9	12
58	того же	7	12
59	жанра в	4	12
60	и на	17	12
61	что в	3	11
62	с его	8	11
63	и как	3	11
64	столь же	2	11
65	не было	4	11
66	а в	10	10
67	а с	2	10
68	не столько	4	10
69	высказывания в	2	10
70	той или	13	10
71	также и	5	10
72	же время	15	10
73	в то	17	9
74	героя в	2	9
75	между тем	5	9
76	в них	11	9
77	уже не	5	9
78	себя в	14	9
79	человека в	5	8
80	этом отношении	2	8
81	этого жанра	3	8
82	и о	3	8
83	как уже	2	8
84	к тому	3	8
85	потому что	2	8
86	не на	6	8
87	хотя и	4	8
88	и даже	11	8
89	жизни в	2	8
90	в этих	8	8
91	не с	5	8
92	в себя	3	8
93	в котором	2	8
94	в одном	4	8
95	из них	3	8
96	он не	5	8
97	перед нами	7	7
98	его в	7	7
99	могут быть	25	7
100	и ее	3	7
101	приводит к	2	7
102	одной из	4	7
103	и для	7	7
104	но это	3	7
105	в процессе	14	7
106	что и	2	7
